season,team_name,points,wins,draws,losses,gf,ga,gd,rank
2003,Man City,35,8,11,14,44,45,-1,15
2003,Portsmouth,35,9,8,17,37,51,-14,16
2003,Everton,34,8,10,16,40,50,-10,17
2003,Leicester,33,6,15,12,45,56,-11,18
2003,Wolves,31,7,10,16,32,65,-33,19
2003,Leeds,26,6,8,19,34,69,-35,20
2004,Chelsea,82,25,7,1,62,12,50,1
2004,Arsenal,71,21,8,4,73,33,40,2
2004,Man United,67,19,10,4,48,20,28,3
2004,Everton,57,17,6,10,40,33,7,4
2004,Liverpool,54,16,6,12,48,35,13,5
2004,Bolton,53,15,8,11,44,38,6,6
2004,Tottenham,48,13,9,12,42,38,4,7
2004,Middlesbrough,46,12,10,11,46,44,2,8
2004,Aston Villa,46,12,10,12,41,42,-1,9
2004,Charlton,45,12,9,13,40,50,-10,10
2004,Man City,44,11,11,12,42,37,5,11
2004,Blackburn,39,9,12,12,29,37,-8,12
2004,Birmingham,38,9,11,14,35,42,-7,13
2004,Newcastle,38,9,11,12,42,51,-9,14
2004,Fulham,35,9,8,16,39,53,-14,15
2004,Portsmouth,35,9,8,17,38,53,-15,16
2004,West Brom,29,5,14,14,32,53,-21,17
2004,Southampton,28,5,13,16,37,55,-18,18
2004,Crystal Palace,27,6,9,19,36,58,-22,19
2004,Norwich,27,5,12,17,37,67,-30,20
2005,Chelsea,91,29,4,5,72,22,50,1
2005,Man United,83,25,8,5,72,34,38,2
2005,Liverpool,82,25,7,6,57,25,32,3
2005,Arsenal,67,20,7,11,68,31,37,4
2005,Tottenham,65,18,11,9,53,38,15,5
2005,Blackburn,63,19,6,13,51,42,9,6
2005,Newcastle,58,17,7,14,47,42,5,7
2005,Bolton,56,15,11,12,49,41,8,8
2005,West Ham,55,16,7,15,52,55,-3,9
2005,Wigan,51,15,6,17,45,52,-7,10
2005,Everton,50,14,8,16,34,49,-15,11
2005,Fulham,48,14,6,18,48,58,-10,12
2005,Charlton,47,13,8,17,41,55,-14,13
2005,Middlesbrough,45,12,9,17,48,58,-10,14
2005,Man City,43,13,4,21,43,48,-5,15
2005,Aston Villa,42,10,12,16,42,55,-13,16
2005,Portsmouth,38,10,8,20,37,62,-25,17
2005,Birmingham,34,8,10,20,28,50,-22,18
2005,West Brom,30,7,9,22,31,58,-27,19
2005,Sunderland,15,3,6,29,26,69,-43,20
2006,Man United,89,28,5,5,83,27,56,1
2006,Chelsea,83,24,11,3,64,24,40,2
2006,Liverpool,68,20,8,10,57,27,30,3
2006,Arsenal,68,19,11,8,63,35,28,4
2006,Tottenham,60,17,9,12,57,54,3,5
2006,Everton,58,15,13,10,52,36,16,6
2006,Bolton,56,16,8,14,47,52,-5,7
2006,Reading,55,16,7,15,52,47,5,8
2006,Portsmouth,54,14,12,12,45,42,3,9
2006,Blackburn,52,15,7,16,52,54,-2,10
2006,Aston Villa,50,11,17,10,43,41,2,11
2006,Middlesbrough,46,12,10,16,44,49,-5,12
2006,Newcastle,43,11,10,17,38,47,-9,13
2006,Man City,42,11,9,18,29,44,-15,14
2006,West Ham,41,12,5,21,35,59,-24,15
2006,Fulham,39,8,15,15,38,60,-22,16
2006,Wigan,38,10,8,20,37,59,-22,17
2006,Sheffield United,38,10,8,20,32,55,-23,18
2006,Charlton,34,8,10,20,34,60,-26,19
2006,Watford,28,5,13,20,29,59,-30,20
2007,Man United,87,27,6,5,80,22,58,1
2007,Chelsea,85,25,10,3,65,26,39,2
2007,Arsenal,83,24,11,3,74,31,43,3
2007,Liverpool,76,21,13,4,67,28,39,4
2007,Everton,65,19,8,11,55,33,22,5
2007,Aston Villa,60,16,12,10,71,51,20,6
2007,Blackburn,58,15,13,10,50,48,2,7
2007,Portsmouth,57,16,9,13,48,40,8,8
2007,Man City,55,15,10,13,45,53,-8,9
2007,West Ham,49,13,10,15,42,50,-8,10
2007,Tottenham,46,11,13,14,66,61,5,11
2007,Newcastle,43,11,10,17,45,65,-20,12
2007,Middlesbrough,42,10,12,16,43,53,-10,13
2007,Wigan,40,10,10,18,34,51,-17,14
2007,Sunderland,39,11,6,21,36,59,-23,15
2007,Bolton,37,9,10,19,36,54,-18,16
2007,Fulham,36,8,12,18,38,60,-22,17
2007,Reading,36,10,6,22,41,66,-25,18
2007,Birmingham,35,8,11,19,46,62,-16,19
2007,Derby,11,1,8,29,20,89,-69,20
2008,Man United,90,28,6,4,68,24,44,1
2008,Liverpool,86,25,11,2,77,27,50,2
2008,Chelsea,83,25,8,5,68,24,44,3
2008,Arsenal,72,20,12,6,68,37,31,4
2008,Everton,63,17,12,9,55,37,18,5
2008,Aston Villa,62,17,11,10,54,48,6,6
2008,Fulham,53,14,11,13,39,34,5,7
2008,Tottenham,51,14,9,15,45,45,0,8
2008,West Ham,51,14,9,15,42,45,-3,9
2008,Man City,50,15,5,18,58,50,8,10
2008,Wigan,45,12,9,17,34,45,-11,11
2008,Stoke,45,12,9,17,38,55,-17,12
2008,Bolton,41,11,8,19,41,53,-12,13
2008,Portsmouth,41,10,11,17,38,57,-19,14
2008,Blackburn,41,10,11,17,40,60,-20,15
2008,Sunderland,36,9,9,20,34,54,-20,16
2008,Hull,35,8,11,19,39,64,-25,17
2008,Newcastle,34,7,13,18,40,59,-19,18
2008,Middlesbrough,32,7,11,20,28,57,-29,19
2008,West Brom,32,8,8,22,36,67,-31,20
2009,Chelsea,86,27,5,6,103,32,71,1
2009,Man United,85,27,4,7,86,28,58,2
2009,Arsenal,75,23,6,9,83,41,42,3
2009,Tottenham,70,21,7,10,67,41,26,4
2009,Man City,67,18,13,7,73,45,28,5
2009,Aston Villa,64,17,13,8,52,39,13,6
2009,Liverpool,63,18,9,11,61,35,26,7
2009,Everton,61,16,13,9,60,49,11,8
2009,Birmingham,50,13,11,14,38,47,-9,9
2009,Blackburn,50,13,11,14,41,55,-14,10
2009,Stoke,47,11,14,13,34,48,-14,11
2009,Fulham,46,12,10,16,39,46,-7,12
2009,Sunderland,44,11,11,16,48,56,-8,13
2009,Bolton,39,10,9,19,42,67,-25,14
2009,Wolves,38,9,11,18,32,56,-24,15
2009,Wigan,36,9,9,20,37,79,-42,16
2009,West Ham,35,8,11,19,47,66,-19,17
2009,Burnley,30,8,6,24,42,82,-40,18
2009,Hull,30,6,12,20,34,75,-41,19
2009,Portsmouth,28,7,7,24,34,66,-32,20
2010,Man United,80,23,11,4,78,37,41,1
2010,Chelsea,71,21,8,9,69,33,36,2
2010,Man City,71,21,8,9,60,33,27,3
2010,Arsenal,68,19,11,8,72,43,29,4
2010,Tottenham,62,16,14,8,55,46,9,5
2010,Liverpool,58,17,7,14,59,44,15,6
2010,Everton,54,13,15,10,51,45,6,7
2010,Fulham,49,11,16,11,49,43,6,8
2010,Aston Villa,48,12,12,14,48,59,-11,9
2010,Sunderland,47,12,11,15,45,56,-11,10
2010,West Brom,47,12,11,15,56,71,-15,11
2010,Newcastle,46,11,13,14,56,57,-1,12
2010,Stoke,46,13,7,18,46,48,-2,13
2010,Bolton,46,12,10,16,52,56,-4,14
2010,Blackburn,43,11,10,17,46,59,-13,15
2010,Wigan,42,9,15,14,40,61,-21,16
2010,Wolves,40,11,7,20,46,66,-20,17
2010,Birmingham,39,8,15,15,37,58,-21,18
2010,Blackpool,39,10,9,19,55,78,-23,19
2010,West Ham,33,7,12,19,43,70,-27,20
2011,Man City,89,28,5,5,93,29,64,1
2011,Man United,89,28,5,5,89,33,56,2
2011,Arsenal,70,21,7,10,74,49,25,3
2011,Tottenham,69,20,9,9,66,41,25,4
2011,Newcastle,65,19,8,11,56,51,5,5
2011,Chelsea,64,18,10,10,65,46,19,6
2011,Everton,56,15,11,12,50,40,10,7
2011,Liverpool,52,14,10,14,47,40,7,8
2011,Fulham,52,14,10,14,48,51,-3,9
2011,West Brom,47,13,8,17,45,52,-7,10
2011,Swansea,47,12,11,15,44,51,-7,11
2011,Norwich,47,12,11,15,52,66,-14,12
2011,Sunderland,45,11,12,15,45,46,-1,13
2011,Stoke,45,11,12,15,36,53,-17,14
2011,Wigan,43,11,10,17,42,62,-20,15
2011,Aston Villa,38,7,17,14,37,53,-16,16
2011,QPR,37,10,7,21,43,66,-23,17
2011,Bolton,36,10,6,22,46,77,-31,18
2011,Blackburn,31,8,7,23,48,78,-30,19
2011,Wolves,25,5,10,23,40,82,-42,20
2012,Man United,89,28,5,5,86,43,43,1
2012,Man City,78,23,9,6,66,34,32,2
2012,Chelsea,75,22,9,7,75,39,36,3
2012,Arsenal,73,21,10,7,72,37,35,4
2012,Tottenham,72,21,9,8,66,46,20,5
2012,Everton,63,16,15,7,55,40,15,6
2012,Liverpool,61,16,13,9,71,43,28,7
2012,West Brom,49,14,7,17,53,57,-4,8
2012,Swansea,46,11,13,14,47,51,-4,9
2012,West Ham,46,12,10,16,45,53,-8,10
2012,Norwich,44,10,14,14,41,58,-17,11
2012,Fulham,43,11,10,17,50,60,-10,12
2012,Stoke,42,9,15,14,34,45,-11,13
2012,Southampton,41,9,14,15,49,60,-11,14
2012,Aston Villa,41,10,11,17,47,69,-22,15
2012,Newcastle,41,11,8,19,45,68,-23,16
2012,Sunderland,39,9,12,17,41,54,-13,17
2012,Wigan,36,9,9,20,47,73,-26,18
2012,Reading,28,6,10,22,43,73,-30,19
2012,QPR,25,4,13,21,30,60,-30,20
2013,Man City,86,27,5,6,102,37,65,1
2013,Liverpool,84,26,6,6,101,50,51,2
2013,Chelsea,82,25,7,6,71,27,44,3
2013,Arsenal,79,24,7,7,68,41,27,4
2013,Everton,72,21,9,8,61,39,22,5
2013,Tottenham,69,21,6,11,55,51,4,6
2013,Man United,64,19,7,12,64,43,21,7
2013,Southampton,56,15,11,12,54,46,8,8
2013,Stoke,50,13,11,14,45,52,-7,9
2013,Newcastle,49,15,4,19,43,59,-16,10
2013,Crystal Palace,45,13,6,19,33,48,-15,11
2013,Swansea,42,11,9,18,54,54,0,12
2013,West Ham,40,11,7,20,40,51,-11,13
2013,Sunderland,38,10,8,20,41,60,-19,14
2013,Aston Villa,38,10,8,20,39,61,-22,15
2013,Hull,37,10,7,21,38,53,-15,16
2013,West Brom,36,7,15,16,43,59,-16,17
2013,Norwich,33,8,9,21,28,62,-34,18
2013,Fulham,32,9,5,24,40,85,-45,19
2013,Cardiff,30,7,9,22,32,74,-42,20
2014,Chelsea,87,26,9,3,73,32,41,1
2014,Man City,79,24,7,7,83,38,45,2
2014,Arsenal,75,22,9,7,71,36,35,3
2014,Man United,70,20,10,8,62,37,25,4
2014,Tottenham,64,19,7,12,58,53,5,5
2014,Liverpool,62,18,8,12,52,48,4,6
2014,Southampton,60,18,6,14,54,33,21,7
2014,Swansea,56,16,8,14,46,49,-3,8
2014,Stoke,54,15,9,14,48,45,3,9
2014,Crystal Palace,48,13,9,16,47,51,-4,10
2014,Everton,47,12,11,15,48,50,-2,11
2014,West Ham,47,12,11,15,44,47,-3,12
2014,West Brom,44,11,11,16,38,51,-13,13
2014,Leicester,41,11,8,19,46,55,-9,14
2014,Newcastle,39,10,9,19,40,63,-23,15
2014,Sunderland,38,7,17,14,31,53,-22,16
2014,Aston Villa,38,10,8,20,31,57,-26,17
2014,Hull,35,8,11,19,33,51,-18,18
2014,Burnley,33,7,12,19,28,53,-25,19
2014,QPR,30,8,6,24,42,73,-31,20
2015,Leicester,81,23,12,3,68,36,32,1
2015,Arsenal,71,20,11,7,65,36,29,2
2015,Tottenham,70,19,13,6,69,35,34,3
2015,Man City,66,19,9,10,71,41,30,4
2015,Man United,66,19,9,10,49,35,14,5
2015,Southampton,63,18,9,11,59,41,18,6
2015,West Ham,62,16,14,8,65,51,14,7
2015,Liverpool,60,16,12,10,63,50,13,8
2015,Stoke,51,14,9,15,41,55,-14,9
2015,Chelsea,50,12,14,12,59,53,6,10
2015,Everton,47,11,14,13,59,55,4,11
2015,Swansea,47,12,11,15,42,52,-10,12
2015,Watford,45,12,9,17,40,50,-10,13
2015,West Brom,43,10,13,15,34,48,-14,14
2015,Crystal Palace,42,11,9,18,39,51,-12,15
2015,Bournemouth,42,11,9,18,45,67,-22,16
2015,Sunderland,39,9,12,17,48,62,-14,17
2015,Newcastle,37,9,10,19,44,65,-21,18
2015,Norwich,34,9,7,22,39,67,-28,19
2015,Aston Villa,17,3,8,27,27,76,-49,20
2016,Chelsea,93,30,3,5,85,33,52,1
2016,Tottenham,86,26,8,4,86,26,60,2
2016,Man City,78,23,9,6,80,39,41,3
2016,Liverpool,76,22,10,6,78,42,36,4
2016,Arsenal,75,23,6,9,77,44,33,5
2016,Man United,69,18,15,5,54,29,25,6
2016,Everton,61,17,10,11,62,44,18,7
2016,Southampton,46,12,10,16,41,48,-7,8
2016,Bournemouth,46,12,10,16,55,67,-12,9
2016,West Brom,45,12,9,17,43,51,-8,10
2016,West Ham,45,12,9,17,47,64,-17,11
2016,Leicester,44,12,8,18,48,63,-15,12
2016,Stoke,44,11,11,16,41,56,-15,13
2016,Crystal Palace,41,12,5,21,50,63,-13,14
2016,Swansea,41,12,5,21,45,70,-25,15
2016,Burnley,40,11,7,20,39,55,-16,16
2016,Watford,40,11,7,20,40,68,-28,17
2016,Hull,34,9,7,22,37,80,-43,18
2016,Middlesbrough,28,5,13,20,27,53,-26,19
2016,Sunderland,24,6,6,26,29,69,-40,20
2017,Man City,100,32,4,2,106,27,79,1
2017,Man United,81,25,6,7,68,28,40,2
2017,Tottenham,77,23,8,7,74,36,38,3
2017,Liverpool,75,21,12,5,84,38,46,4
2017,Chelsea,70,21,7,10,62,38,24,5
2017,Arsenal,63,19,6,13,74,51,23,6
2017,Burnley,54,14,12,12,36,39,-3,7
2017,Everton,49,13,10,15,44,58,-14,8
2017,Leicester,47,12,11,15,56,60,-4,9
2017,Newcastle,44,12,8,18,39,47,-8,10
2017,Crystal Palace,44,11,11,16,45,55,-10,11
2017,Bournemouth,44,11,11,16,45,61,-16,12
2017,West Ham,42,10,12,16,48,68,-20,13
2017,Watford,41,11,8,19,44,64,-20,14
2017,Brighton,40,9,13,16,34,54,-20,15
2017,Huddersfield,37,9,10,19,28,58,-30,16
2017,Southampton,36,7,15,16,37,56,-19,17
2017,Swansea,33,8,9,21,28,56,-28,18
2017,Stoke,33,7,12,19,35,68,-33,19
2017,West Brom,31,6,13,19,31,56,-25,20
2018,Man City,98,32,2,4,95,23,72,1
2018,Liverpool,97,30,7,1,89,22,67,2
2018,Chelsea,72,21,9,8,63,39,24,3
2018,Tottenham,71,23,2,13,67,39,28,4
2018,Arsenal,70,21,7,10,73,51,22,5
2018,Man United,66,19,9,10,65,54,11,6
2018,Wolves,57,16,9,13,47,46,1,7
2018,Everton,54,15,9,14,54,46,8,8
2018,Leicester,52,15,7,16,51,48,3,9
2018,West Ham,52,15,7,16,52,55,-3,10
2018,Watford,50,14,8,16,52,59,-7,11
2018,Crystal Palace,49,14,7,17,51,53,-2,12
2018,Newcastle,45,12,9,17,42,48,-6,13
2018,Bournemouth,45,13,6,19,56,70,-14,14
2018,Burnley,40,11,7,20,45,68,-23,15
2018,Southampton,39,9,12,17,45,65,-20,16
2018,Brighton,36,9,9,20,35,60,-25,17
2018,Cardiff,34,10,4,24,34,69,-35,18
2018,Fulham,26,7,5,26,34,81,-47,19
2018,Huddersfield,16,3,7,28,22,76,-54,20
2019,Liverpool,99,32,3,3,85,33,52,1
2019,Man City,81,26,3,9,102,35,67,2
2019,Man United,66,18,12,8,66,36,30,3
2019,Chelsea,66,20,6,12,69,54,15,4
2019,Leicester,62,18,8,12,67,41,26,5
2019,Tottenham,59,16,11,11,61,47,14,6
2019,Wolves,59,15,14,9,51,40,11,7
2019,Arsenal,56,14,14,10,56,48,8,8
2019,Sheffield United,54,14,12,12,39,39,0,9
2019,Burnley,54,15,9,14,43,50,-7,10
2019,Southampton,52,15,7,16,51,60,-9,11
2019,Everton,49,13,10,15,44,56,-12,12
2019,Newcastle,44,11,11,16,38,58,-20,13
2019,Crystal Palace,43,11,10,17,31,50,-19,14
2019,Brighton,41,9,14,15,39,54,-15,15
2019,West Ham,39,10,9,19,49,62,-13,16
2019,Aston Villa,35,9,8,21,41,67,-26,17
2019,Bournemouth,34,9,7,22,40,65,-25,18
2019,Watford,34,8,10,20,36,64,-28,19
2019,Norwich,21,5,6,27,26,75,-49,20
2020,Man City,86,27,5,6,83,32,51,1
2020,Man United,74,21,11,6,73,44,29,2
2020,Liverpool,69,20,9,9,68,42,26,3
2020,Chelsea,67,19,10,9,58,36,22,4
2020,Leicester,66,20,6,12,68,50,18,5
2020,West Ham,65,19,8,11,62,47,15,6
2020,Tottenham,62,18,8,12,68,45,23,7
2020,Arsenal,61,18,7,13,55,39,16,8
2020,Leeds,59,18,5,15,62,54,8,9
2020,Everton,59,17,8,13,47,48,-1,10
2020,Aston Villa,55,16,7,15,55,46,9,11
2020,Newcastle,45,12,9,17,46,62,-16,12
2020,Wolves,45,12,9,17,36,52,-16,13
2020,Crystal Palace,44,12,8,18,41,66,-25,14
2020,Southampton,43,12,7,19,47,68,-21,15
2020,Brighton,41,9,14,15,40,46,-6,16
2020,Burnley,39,10,9,19,33,55,-22,17
2020,Fulham,28,5,13,20,27,53,-26,18
2020,West Brom,26,5,11,22,35,76,-41,19
2020,Sheffield United,23,7,2,29,20,63,-43,20
2021,Man City,93,29,6,3,99,26,73,1
2021,Liverpool,92,28,8,2,94,26,68,2
2021,Chelsea,74,21,11,6,76,33,43,3
2021,Tottenham,71,22,5,11,69,40,29,4
2021,Arsenal,69,22,3,13,61,48,13,5
2021,Man United,58,16,10,12,57,57,0,6
2021,West Ham,56,16,8,14,60,51,9,7
2021,Leicester,52,14,10,14,62,59,3,8
2021,Brighton,51,12,15,11,42,44,-2,9
2021,Wolves,51,15,6,17,38,43,-5,10
2021,Newcastle,49,13,10,15,44,62,-18,11
2021,Crystal Palace,48,11,15,12,50,46,4,12
2021,Brentford,46,13,7,18,48,56,-8,13
2021,Aston Villa,45,13,6,19,52,54,-2,14
2021,Southampton,40,9,13,16,43,67,-24,15
2021,Everton,39,11,6,21,43,66,-23,16
2021,Leeds,38,9,11,18,42,79,-37,17
2021,Burnley,35,7,14,17,34,53,-19,18
2021,Watford,23,6,5,27,34,77,-43,19
2021,Norwich,22,5,7,26,23,84,-61,20
2022,Man City,89,28,5,5,94,33,61,1
2022,Arsenal,84,26,6,6,88,43,45,2
2022,Man United,75,23,6,9,58,43,15,3
2022,Newcastle,71,19,14,5,68,33,35,4
2022,Liverpool,67,19,10,9,75,47,28,5
2022,Brighton,62,18,8,12,72,53,19,6
2022,Aston Villa,61,18,7,13,51,46,5,7
2022,Tottenham,60,18,6,14,70,63,7,8
2022,Brentford,59,15,14,9,58,46,12,9
2022,Fulham,52,15,7,16,55,53,2,10
2022,Crystal Palace,45,11,12,15,40,49,-9,11
2022,Chelsea,44,11,11,16,38,47,-9,12
2022,Wolves,41,11,8,19,31,58,-27,13
2022,West Ham,40,11,7,20,42,55,-13,14
2022,Bournemouth,39,11,6,21,37,71,-34,15
2022,Nottm Forest,38,9,11,18,38,68,-30,16
2022,Everton,36,8,12,18,34,57,-23,17
2022,Leicester,34,9,7,22,51,68,-17,18
2022,Leeds,31,7,10,21,48,78,-30,19
2022,Southampton,25,6,7,25,36,73,-37,20
2023,Man City,91,28,7,3,96,34,62,1
2023,Arsenal,89,28,5,5,91,29,62,2
2023,Liverpool,82,24,10,4,86,41,45,3
2023,Aston Villa,68,20,8,10,76,61,15,4
2023,Tottenham,66,20,6,12,74,61,13,5
2023,Chelsea,63,18,9,11,77,63,14,6
2023,Newcastle,60,18,6,14,85,62,23,7
2023,Man United,60,18,6,14,57,58,-1,8
2023,West Ham,52,14,10,14,60,74,-14,9
2023,Crystal Palace,49,13,10,15,57,58,-1,10
2023,Brighton,48,12,12,14,55,62,-7,11
2023,Everton,48,13,9,16,40,51,-11,12
2023,Bournemouth,48,13,9,16,54,67,-13,13
2023,Fulham,47,13,8,17,55,61,-6,14
2023,Wolves,46,13,7,18,50,65,-15,15
2023,Brentford,39,10,9,19,56,65,-9,16
2023,Nottm Forest,36,9,9,20,49,67,-18,17
2023,Luton,26,6,8,24,52,85,-33,18
2023,Burnley,24,5,9,24,41,78,-37,19
2023,Sheffield United,16,3,7,28,35,104,-69,20
2024,Liverpool,84,25,9,4,86,41,45,1
2024,Arsenal,74,20,14,4,69,34,35,2
2024,Man City,71,21,8,9,72,44,28,3
2024,Chelsea,69,20,9,9,64,43,21,4
2024,Newcastle,66,20,6,12,68,47,21,5
2024,Aston Villa,66,19,9,10,58,51,7,6
2024,Brighton,61,16,13,9,66,59,7,7
2024,Bournemouth,56,15,11,12,58,46,12,8
2024,Brentford,56,16,8,14,66,57,9,9
2024,Fulham,54,15,9,14,54,54,0,10
2024,Crystal Palace,53,13,14,11,51,51,0,11
2024,Everton,48,11,15,12,42,44,-2,12
2024,West Ham,43,11,10,17,46,62,-16,13
2024,Man United,42,11,9,18,44,54,-10,14
2024,Wolves,42,12,6,20,54,69,-15,15
2024,Tottenham,38,11,5,22,64,65,-1,16
2024,Nott'm Forest,34,10,4,7,35,27,8,17
2024,Nottm Forest,31,9,4,4,23,19,4,18
2024,Leicester,25,6,7,25,33,80,-47,19
2024,Ipswich,22,4,10,24,36,82,-46,20
2024,Southampton,12,2,6,30,26,86,-60,21
