Season,Team_Standardized,Team_Full_Name
2021,GRA,Granada
2021,LEV,Levante
2021,MAL,Mallorca
2021,OSA,Osasuna
2021,RMA,Real Madrid
2021,SEV,Sevilla
2021,RSO,Sociedad
2021,VAL,Valencia
2021,VAL,Vallecano
2021,VIL,Villarreal
2022,ALM,Almeria
2022,ATHB,Ath Bilbao
2022,ATHM,Ath Madrid
2022,BAR,Barcelona
2022,BET,Betis
2022,CAD,Cadiz
2022,CEL,Celta
2022,ELC,Elche
2022,ESP,Espanol
2022,GET,Getafe
2022,GIR,Girona
2022,MAL,Mallorca
2022,OSA,Osasuna
2022,RMA,Real Madrid
2022,SEV,Sevilla
2022,RSO,Sociedad
2022,VAL,Valencia
2022,VAL,Valladolid
2022,VAL,Vallecano
2022,VIL,Villarreal
2023,ALA,Alaves
2023,ALM,Almeria
2023,ATHB,Ath Bilbao
2023,ATHM,Ath Madrid
2023,BAR,Barcelona
2023,BET,Betis
2023,CAD,Cadiz
2023,CEL,Celta
2023,GET,Getafe
2023,GIR,Girona
2023,GRA,Granada
2023,LASP,Las Palmas
2023,MAL,Mallorca
2023,OSA,Osasuna
2023,RMA,Real Madrid
2023,SEV,Sevilla
2023,RSO,Sociedad
2023,VAL,Valencia
2023,VAL,Vallecano
2023,VIL,Villarreal
2024,ALA,Alaves
2024,ATHB,Ath Bilbao
2024,ATHM,Ath Madrid
2024,BAR,Barcelona
2024,BET,Betis
2024,CEL,Celta
2024,ESP,Espanol
2024,GET,Getafe
2024,GIR,Girona
2024,LASP,Las Palmas
2024,LEG,Leganes
2024,MAL,Mallorca
2024,OSA,Osasuna
2024,RMA,Real Madrid
2024,SEV,Sevilla
2024,RSO,Sociedad
2024,VAL,Valencia
2024,VAL,Valladolid
2024,VAL,Vallecano
2024,VIL,Villarreal
