season,date,team1,team2,true_home_team_result,simulated_home_team_result
2024,2025-01-14,WOB,M'G,1,-1
2024,2025-01-12,RBL,WERB,1,1
2024,2025-01-12,AUG,STU,-1,1
2024,2025-01-11,FRE,HOLK,1,1
2024,2025-01-11,HEI,UNI,1,-1
2024,2025-01-11,HOF,WOB,-1,1
2024,2025-01-11,MAI,BOC,1,-1
2024,2025-01-11,STP,EINF,-1,1
2024,2025-01-11,M'G,BAY,-1,0
2024,2025-01-10,DOR,LEVK,-1,1
2024,2024-12-22,BOC,HEI,1,0
2024,2024-12-22,WOB,DOR,-1,0
2024,2024-12-21,EINF,MAI,-1,0
2024,2024-12-21,HOF,M'G,-1,-1
2024,2024-12-21,HOLK,AUG,1,0
2024,2024-12-21,STU,STP,-1,-1
2024,2024-12-21,WERB,UNI,1,-1
2024,2024-12-21,LEVK,FRE,1,0
2024,2024-12-20,BAY,RBL,1,-1
2024,2024-12-15,HEI,STU,-1,0
2024,2024-12-15,DOR,HOF,0,1
2024,2024-12-15,RBL,EINF,1,0
2024,2024-12-14,AUG,LEVK,-1,1
2024,2024-12-14,MAI,BAY,1,1
2024,2024-12-14,M'G,HOLK,1,-1
2024,2024-12-14,UNI,BOC,0,1
2024,2024-12-14,STP,WERB,-1,1
2024,2024-12-13,FRE,WOB,1,-1
2024,2024-12-08,WOB,MAI,1,0
2024,2024-12-08,HOF,FRE,0,0
2024,2024-12-07,BAY,HEI,1,-1
2024,2024-12-07,BOC,WERB,-1,-1
2024,2024-12-07,EINF,AUG,0,-1
2024,2024-12-07,HOLK,RBL,-1,0
2024,2024-12-07,LEVK,STP,1,1
2024,2024-12-07,M'G,DOR,0,1
2024,2024-12-06,STU,UNI,1,1
2024,2024-12-01,MAI,HOF,1,1
2024,2024-12-01,HEI,EINF,-1,1
2024,2024-11-30,AUG,BOC,1,-1
2024,2024-11-30,FRE,M'G,1,1
2024,2024-11-30,RBL,WOB,-1,0
2024,2024-11-30,UNI,LEVK,-1,0
2024,2024-11-30,WERB,STU,0,1
2024,2024-11-30,DOR,BAY,0,1
2024,2024-11-29,STP,HOLK,1,1
2024,2024-11-24,HOLK,MAI,-1,-1
2024,2024-11-24,M'G,STP,1,-1
2024,2024-11-23,DOR,FRE,1,0
2024,2024-11-23,HOF,RBL,1,0
2024,2024-11-23,LEVK,HEI,1,0
2024,2024-11-23,STU,BOC,1,0
2024,2024-11-23,WOB,UNI,1,-1
2024,2024-11-23,EINF,WERB,1,-1
2024,2024-11-22,BAY,AUG,1,1
2024,2024-11-10,AUG,HOF,0,1
2024,2024-11-10,STU,EINF,-1,-1
2024,2024-11-10,HEI,WOB,-1,0
2024,2024-11-09,BOC,LEVK,0,-1
2024,2024-11-09,MAI,DOR,1,0
2024,2024-11-09,STP,BAY,-1,1
2024,2024-11-09,WERB,HOLK,1,-1
2024,2024-11-09,RBL,M'G,0,-1
2024,2024-11-08,UNI,FRE,0,0
2024,2024-11-03,FRE,MAI,0,-1
2024,2024-11-03,M'G,WERB,1,1
2024,2024-11-02,BAY,UNI,1,1
2024,2024-11-02,EINF,BOC,1,0
2024,2024-11-02,HOF,STP,-1,0
2024,2024-11-02,HOLK,HEI,1,-1
2024,2024-11-02,WOB,AUG,0,-1
2024,2024-11-02,DOR,RBL,1,0
2024,2024-11-01,LEVK,STU,0,-1
2024,2024-10-27,BOC,BAY,-1,0
2024,2024-10-27,UNI,EINF,0,-1
2024,2024-10-27,HEI,HOF,0,1
2024,2024-10-26,AUG,DOR,1,0
2024,2024-10-26,RBL,FRE,1,-1
2024,2024-10-26,STP,WOB,0,-1
2024,2024-10-26,STU,HOLK,1,-1
2024,2024-10-26,WERB,LEVK,0,-1
2024,2024-10-25,MAI,M'G,0,1
2024,2024-10-20,HOLK,UNI,-1,1
2024,2024-10-20,WOB,WERB,-1,1
2024,2024-10-19,FRE,AUG,1,0
2024,2024-10-19,HOF,BOC,1,0
2024,2024-10-19,LEVK,EINF,1,1
2024,2024-10-19,MAI,RBL,-1,1
2024,2024-10-19,M'G,HEI,1,0
2024,2024-10-19,BAY,STU,1,0
2024,2024-10-18,DOR,STP,1,-1
2024,2024-10-06,HEI,RBL,-1,0
2024,2024-10-06,EINF,BAY,0,-1
2024,2024-10-06,STU,HOF,0,0
2024,2024-10-05,BOC,WOB,-1,0
2024,2024-10-05,LEVK,HOLK,0,-1
2024,2024-10-05,UNI,DOR,1,1
2024,2024-10-05,WERB,FRE,-1,-1
2024,2024-10-05,STP,MAI,-1,-1
2024,2024-10-04,AUG,M'G,1,-1
2024,2024-09-29,HOLK,EINF,-1,1
2024,2024-09-29,HOF,WERB,-1,1
2024,2024-09-28,FRE,STP,-1,0
2024,2024-09-28,MAI,HEI,-1,1
2024,2024-09-28,M'G,UNI,1,1
2024,2024-09-28,RBL,AUG,1,0
2024,2024-09-28,WOB,STU,0,-1
2024,2024-09-28,BAY,LEVK,0,-1
2024,2024-09-27,DOR,BOC,1,1
2024,2024-09-22,LEVK,WOB,1,-1
2024,2024-09-22,STU,DOR,1,1
2024,2024-09-22,STP,RBL,0,1
2024,2024-09-21,BOC,HOLK,0,-1
2024,2024-09-21,HEI,FRE,-1,1
2024,2024-09-21,UNI,HOF,1,-1
2024,2024-09-21,WERB,BAY,-1,1
2024,2024-09-21,EINF,M'G,1,1
2024,2024-09-20,AUG,MAI,-1,-1
2024,2024-09-15,AUG,STP,1,0
2024,2024-09-15,MAI,WERB,-1,-1
2024,2024-09-14,FRE,BOC,1,0
2024,2024-09-14,HOF,LEVK,-1,1
2024,2024-09-14,M'G,STU,-1,1
2024,2024-09-14,RBL,UNI,0,1
2024,2024-09-14,WOB,EINF,-1,1
2024,2024-09-14,HOLK,BAY,-1,1
2024,2024-09-13,DOR,HEI,1,1
2024,2024-09-01,HEI,AUG,1,-1
2024,2024-09-01,BAY,FRE,1,-1
2024,2024-08-31,BOC,M'G,-1,0
2024,2024-08-31,EINF,HOF,1,-1
2024,2024-08-31,HOLK,WOB,-1,0
2024,2024-08-31,STU,MAI,0,-1
2024,2024-08-31,WERB,DOR,0,-1
2024,2024-08-31,LEVK,RBL,-1,0
2024,2024-08-30,UNI,STP,1,1
2024,2024-08-25,WOB,BAY,-1,-1
2024,2024-08-25,STP,HEI,-1,0
2024,2024-08-24,AUG,WERB,0,0
2024,2024-08-24,FRE,STU,1,1
2024,2024-08-24,HOF,HOLK,1,0
2024,2024-08-24,MAI,UNI,0,0
2024,2024-08-24,RBL,BOC,1,0
2024,2024-08-24,DOR,EINF,1,0
2024,2024-08-23,M'G,LEVK,-1,0
2023,2024-05-18,DOR,DAR,1,0
2023,2024-05-18,EINF,RBL,0,-1
2023,2024-05-18,HEI,KOL,1,1
2023,2024-05-18,HOF,BAY,1,-1
2023,2024-05-18,LEVK,AUG,1,1
2023,2024-05-18,STU,M'G,1,-1
2023,2024-05-18,UNI,FRE,1,0
2023,2024-05-18,WERB,BOC,1,1
2023,2024-05-18,WOB,MAI,-1,-1
2023,2024-05-12,DAR,HOF,-1,1
2023,2024-05-12,BAY,WOB,1,-1
2023,2024-05-12,BOC,LEVK,-1,-1
2023,2024-05-11,KOL,UNI,1,0
2023,2024-05-11,FRE,HEI,0,0
2023,2024-05-11,M'G,EINF,0,0
2023,2024-05-11,RBL,WERB,0,1
2023,2024-05-11,MAI,DOR,1,1
2023,2024-05-10,AUG,STU,-1,-1
2023,2024-05-05,UNI,BOC,-1,-1
2023,2024-05-05,EINF,LEVK,-1,0
2023,2024-05-05,HEI,MAI,0,1
2023,2024-05-04,DOR,AUG,1,-1
2023,2024-05-04,STU,BAY,1,-1
2023,2024-05-04,WERB,M'G,0,0
2023,2024-05-04,WOB,DAR,1,-1
2023,2024-05-04,KOL,FRE,0,1
2023,2024-05-03,HOF,RBL,0,1
2023,2024-04-28,M'G,UNI,0,-1
2023,2024-04-28,MAI,KOL,0,0
2023,2024-04-28,DAR,HEI,-1,0
2023,2024-04-27,AUG,WERB,-1,0
2023,2024-04-27,BAY,EINF,1,-1
2023,2024-04-27,FRE,WOB,-1,-1
2023,2024-04-27,RBL,DOR,1,-1
2023,2024-04-27,LEVK,STU,0,1
2023,2024-04-26,BOC,HOF,1,-1
2023,2024-04-21,WERB,STU,1,-1
2023,2024-04-21,DOR,LEVK,0,1
2023,2024-04-21,FRE,MAI,0,1
2023,2024-04-20,KOL,DAR,-1,1
2023,2024-04-20,HEI,RBL,-1,0
2023,2024-04-20,HOF,M'G,1,1
2023,2024-04-20,WOB,BOC,1,1
2023,2024-04-20,UNI,BAY,-1,0
2023,2024-04-19,EINF,AUG,1,1
2023,2024-04-14,DAR,FRE,-1,0
2023,2024-04-14,LEVK,WERB,1,-1
2023,2024-04-13,BAY,KOL,1,1
2023,2024-04-13,BOC,HEI,0,1
2023,2024-04-13,MAI,HOF,1,-1
2023,2024-04-13,M'G,DOR,-1,0
2023,2024-04-13,RBL,WOB,1,1
2023,2024-04-13,STU,EINF,1,-1
2023,2024-04-12,AUG,UNI,1,-1
2023,2024-04-07,HOF,AUG,1,0
2023,2024-04-07,WOB,M'G,-1,0
2023,2024-04-06,KOL,BOC,1,1
2023,2024-04-06,FRE,RBL,-1,1
2023,2024-04-06,HEI,BAY,1,-1
2023,2024-04-06,MAI,DAR,1,1
2023,2024-04-06,UNI,LEVK,-1,0
2023,2024-04-06,DOR,STU,-1,0
2023,2024-04-05,EINF,WERB,0,-1
2023,2024-03-31,AUG,KOL,0,-1
2023,2024-03-31,STU,HEI,0,1
2023,2024-03-31,BOC,DAR,0,1
2023,2024-03-30,EINF,UNI,0,1
2023,2024-03-30,LEVK,HOF,1,-1
2023,2024-03-30,M'G,FRE,-1,1
2023,2024-03-30,RBL,MAI,0,0
2023,2024-03-30,WERB,WOB,-1,-1
2023,2024-03-30,BAY,DOR,-1,1
2023,2024-03-17,FRE,LEVK,-1,-1
2023,2024-03-17,DOR,EINF,1,-1
2023,2024-03-16,DAR,BAY,-1,0
2023,2024-03-16,HEI,M'G,0,0
2023,2024-03-16,MAI,BOC,1,0
2023,2024-03-16,UNI,WERB,1,-1
2023,2024-03-16,WOB,AUG,-1,1
2023,2024-03-16,HOF,STU,-1,1
2023,2024-03-15,KOL,RBL,-1,0
2023,2024-03-10,BOC,FRE,-1,1
2023,2024-03-10,EINF,HOF,1,-1
2023,2024-03-10,LEVK,WOB,1,-1
2023,2024-03-09,AUG,HEI,1,1
2023,2024-03-09,BAY,MAI,1,0
2023,2024-03-09,M'G,KOL,0,0
2023,2024-03-09,RBL,DAR,1,-1
2023,2024-03-09,WERB,DOR,-1,1
2023,2024-03-08,STU,UNI,1,0
2023,2024-03-03,KOL,LEVK,-1,0
2023,2024-03-03,HOF,WERB,1,-1
2023,2024-03-02,BOC,RBL,-1,-1
2023,2024-03-02,DAR,AUG,-1,-1
2023,2024-03-02,HEI,EINF,-1,0
2023,2024-03-02,MAI,M'G,0,1
2023,2024-03-02,UNI,DOR,-1,0
2023,2024-03-02,WOB,STU,-1,0
2023,2024-03-01,FRE,BAY,0,-1
2023,2024-02-25,EINF,WOB,0,-1
2023,2024-02-25,DOR,HOF,-1,-1
2023,2024-02-25,AUG,FRE,1,-1
2023,2024-02-24,M'G,BOC,1,-1
2023,2024-02-24,STU,KOL,0,-1
2023,2024-02-24,UNI,HEI,0,-1
2023,2024-02-24,WERB,DAR,0,0
2023,2024-02-24,BAY,RBL,1,1
2023,2024-02-23,LEVK,MAI,1,-1
2023,2024-02-18,FRE,EINF,0,-1
2023,2024-02-18,BOC,BAY,1,1
2023,2024-02-17,DAR,STU,-1,0
2023,2024-02-17,HEI,LEVK,-1,1
2023,2024-02-17,HOF,UNI,-1,0
2023,2024-02-17,MAI,AUG,1,-1
2023,2024-02-17,WOB,DOR,0,0
2023,2024-02-17,RBL,M'G,1,0
2023,2024-02-16,KOL,WERB,-1,0
2023,2024-02-11,STU,MAI,1,-1
2023,2024-02-11,HOF,KOL,0,0
2023,2024-02-10,AUG,RBL,0,1
2023,2024-02-10,EINF,BOC,0,0
2023,2024-02-10,M'G,DAR,0,0
2023,2024-02-10,UNI,WOB,1,-1
2023,2024-02-10,WERB,HEI,-1,1
2023,2024-02-10,LEVK,BAY,1,1
2023,2024-02-09,DOR,FRE,1,0
2023,2024-02-07,MAI,UNI,0,-1
2023,2024-02-04,WOB,HOF,0,0
2023,2024-02-04,RBL,UNI,1,0
2023,2024-02-03,BAY,M'G,1,-1
2023,2024-02-03,BOC,AUG,0,1
2023,2024-02-03,DAR,LEVK,-1,1
2023,2024-02-03,FRE,STU,-1,-1
2023,2024-02-03,MAI,WERB,-1,-1
2023,2024-02-03,KOL,EINF,1,-1
2023,2024-02-02,HEI,DOR,0,-1
2023,2024-01-28,UNI,DAR,1,-1
2023,2024-01-28,DOR,BOC,1,-1
2023,2024-01-27,AUG,BAY,-1,-1
2023,2024-01-27,HOF,HEI,0,0
2023,2024-01-27,STU,RBL,1,-1
2023,2024-01-27,WERB,FRE,1,-1
2023,2024-01-27,WOB,KOL,0,1
2023,2024-01-27,LEVK,M'G,0,-1
2023,2024-01-26,EINF,MAI,1,0
2023,2024-01-24,BAY,UNI,1,1
2023,2024-01-21,BAY,WERB,-1,1
2023,2024-01-21,M'G,AUG,-1,-1
2023,2024-01-20,BOC,STU,1,0
2023,2024-01-20,DAR,EINF,0,-1
2023,2024-01-20,KOL,DOR,-1,0
2023,2024-01-20,FRE,HOF,1,-1
2023,2024-01-20,HEI,WOB,0,-1
2023,2024-01-20,RBL,LEVK,-1,1
2023,2024-01-14,BOC,WERB,0,-1
2023,2024-01-14,M'G,STU,1,0
2023,2024-01-13,AUG,LEVK,-1,1
2023,2024-01-13,KOL,HEI,0,0
2023,2024-01-13,FRE,UNI,0,1
2023,2024-01-13,MAI,WOB,0,0
2023,2024-01-13,RBL,EINF,-1,-1
2023,2024-01-13,DAR,DOR,-1,0
2023,2024-01-12,BAY,HOF,1,0
2023,2023-12-20,UNI,KOL,1,-1
2023,2023-12-20,EINF,M'G,1,-1
2023,2023-12-20,HEI,FRE,1,1
2023,2023-12-20,LEVK,BOC,1,0
2023,2023-12-20,STU,AUG,1,1
2023,2023-12-20,WOB,BAY,-1,0
2023,2023-12-19,WERB,RBL,0,-1
2023,2023-12-19,DOR,MAI,0,0
2023,2023-12-19,HOF,DAR,0,-1
2023,2023-12-17,FRE,KOL,1,0
2023,2023-12-17,LEVK,EINF,1,-1
2023,2023-12-17,BAY,STU,1,1
2023,2023-12-16,AUG,DOR,0,0
2023,2023-12-16,BOC,UNI,1,0
2023,2023-12-16,DAR,WOB,-1,0
2023,2023-12-16,MAI,HEI,-1,0
2023,2023-12-16,RBL,HOF,1,1
2023,2023-12-15,M'G,WERB,0,-1
2023,2023-12-10,STU,LEVK,0,-1
2023,2023-12-10,KOL,MAI,0,0
2023,2023-12-09,EINF,BAY,1,-1
2023,2023-12-09,HEI,DAR,1,0
2023,2023-12-09,UNI,M'G,1,-1
2023,2023-12-09,WERB,AUG,1,1
2023,2023-12-09,WOB,FRE,-1,-1
2023,2023-12-09,DOR,RBL,-1,-1
2023,2023-12-08,HOF,BOC,1,0
2023,2023-12-03,MAI,FRE,-1,0
2023,2023-12-03,LEVK,DOR,0,1
2023,2023-12-03,AUG,EINF,1,-1
2023,2023-12-02,BOC,WOB,1,1
2023,2023-12-02,M'G,HOF,1,-1
2023,2023-12-02,RBL,HEI,1,1
2023,2023-12-02,STU,WERB,1,-1
2023,2023-12-01,DAR,KOL,-1,-1
2023,2023-11-26,HEI,BOC,0,1
2023,2023-11-26,HOF,MAI,0,-1
2023,2023-11-25,DOR,M'G,1,0
2023,2023-11-25,FRE,DAR,0,1
2023,2023-11-25,UNI,AUG,0,0
2023,2023-11-25,WERB,LEVK,-1,-1
2023,2023-11-25,WOB,RBL,1,1
2023,2023-11-25,EINF,STU,-1,-1
2023,2023-11-24,KOL,BAY,-1,1
2023,2023-11-12,LEVK,UNI,1,-1
2023,2023-11-12,WERB,EINF,0,1
2023,2023-11-12,RBL,FRE,1,-1
2023,2023-11-11,AUG,HOF,0,-1
2023,2023-11-11,BAY,HEI,1,-1
2023,2023-11-11,DAR,MAI,0,-1
2023,2023-11-11,STU,DOR,1,0
2023,2023-11-11,BOC,KOL,0,0
2023,2023-11-10,M'G,WOB,1,1
2023,2023-11-05,WOB,WERB,0,0
2023,2023-11-05,HEI,STU,1,1
2023,2023-11-04,KOL,AUG,0,-1
2023,2023-11-04,FRE,M'G,0,0
2023,2023-11-04,HOF,LEVK,-1,0
2023,2023-11-04,MAI,RBL,1,-1
2023,2023-11-04,UNI,EINF,-1,0
2023,2023-11-04,DOR,BAY,-1,0
2023,2023-11-03,DAR,BOC,-1,0
2023,2023-10-29,EINF,DOR,0,-1
2023,2023-10-29,LEVK,FRE,1,0
2023,2023-10-28,AUG,WOB,1,1
2023,2023-10-28,BAY,DAR,1,0
2023,2023-10-28,M'G,HEI,1,1
2023,2023-10-28,STU,HOF,-1,0
2023,2023-10-28,WERB,UNI,1,0
2023,2023-10-28,RBL,KOL,1,0
2023,2023-10-27,BOC,MAI,0,0
2023,2023-10-22,KOL,M'G,1,0
2023,2023-10-22,HEI,AUG,-1,1
2023,2023-10-21,DAR,RBL,-1,-1
2023,2023-10-21,FRE,BOC,1,-1
2023,2023-10-21,HOF,EINF,-1,-1
2023,2023-10-21,UNI,STU,-1,-1
2023,2023-10-21,WOB,LEVK,-1,-1
2023,2023-10-21,MAI,BAY,-1,0
2023,2023-10-20,DOR,WERB,1,-1
2023,2023-10-08,LEVK,KOL,1,0
2023,2023-10-08,BAY,FRE,1,0
2023,2023-10-08,EINF,HEI,1,1
2023,2023-10-07,AUG,DAR,-1,0
2023,2023-10-07,DOR,UNI,1,1
2023,2023-10-07,RBL,BOC,0,-1
2023,2023-10-07,STU,WOB,1,-1
2023,2023-10-07,WERB,HOF,-1,1
2023,2023-10-06,M'G,MAI,0,1
2023,2023-10-01,DAR,WERB,1,1
2023,2023-10-01,FRE,AUG,1,-1
2023,2023-09-30,BOC,M'G,-1,-1
2023,2023-09-30,KOL,STU,-1,1
2023,2023-09-30,HEI,UNI,1,1
2023,2023-09-30,MAI,LEVK,-1,-1
2023,2023-09-30,WOB,EINF,1,0
2023,2023-09-30,RBL,BAY,0,0
2023,2023-09-29,HOF,DOR,-1,0
2023,2023-09-24,LEVK,HEI,1,-1
2023,2023-09-24,EINF,FRE,0,0
2023,2023-09-23,AUG,MAI,1,-1
2023,2023-09-23,BAY,BOC,1,0
2023,2023-09-23,DOR,WOB,1,-1
2023,2023-09-23,M'G,RBL,-1,-1
2023,2023-09-23,UNI,HOF,-1,0
2023,2023-09-23,WERB,KOL,1,0
2023,2023-09-22,STU,DAR,1,0
2023,2023-09-17,HEI,WERB,1,1
2023,2023-09-17,DAR,M'G,0,1
2023,2023-09-16,KOL,HOF,-1,0
2023,2023-09-16,FRE,DOR,-1,-1
2023,2023-09-16,MAI,STU,-1,-1
2023,2023-09-16,RBL,AUG,1,0
2023,2023-09-16,WOB,UNI,1,0
2023,2023-09-16,BOC,EINF,0,-1
2023,2023-09-15,BAY,LEVK,0,-1
2023,2023-09-03,EINF,KOL,0,0
2023,2023-09-03,UNI,RBL,-1,-1
2023,2023-09-02,AUG,BOC,0,-1
2023,2023-09-02,HOF,WOB,1,0
2023,2023-09-02,LEVK,DAR,1,-1
2023,2023-09-02,STU,FRE,1,1
2023,2023-09-02,WERB,MAI,1,-1
2023,2023-09-02,M'G,BAY,-1,1
2023,2023-09-01,DOR,HEI,0,1
2023,2023-08-27,MAI,EINF,0,0
2023,2023-08-27,BAY,AUG,1,1
2023,2023-08-26,BOC,DOR,0,-1
2023,2023-08-26,DAR,UNI,-1,0
2023,2023-08-26,KOL,WOB,-1,1
2023,2023-08-26,FRE,WERB,1,1
2023,2023-08-26,HEI,HOF,-1,1
2023,2023-08-26,M'G,LEVK,-1,-1
2023,2023-08-25,RBL,STU,1,-1
2023,2023-08-20,UNI,MAI,1,1
2023,2023-08-20,EINF,DAR,1,-1
2023,2023-08-19,AUG,M'G,0,1
2023,2023-08-19,HOF,FRE,-1,0
2023,2023-08-19,LEVK,RBL,1,-1
2023,2023-08-19,STU,BOC,1,1
2023,2023-08-19,WOB,HEI,1,0
2023,2023-08-19,DOR,KOL,1,1
2023,2023-08-18,WERB,BAY,-1,1
2022,2023-05-27,BOC,LEVK,1,1
2022,2023-05-27,DOR,MAI,0,0
