season,team,points,wins,draws,losses,rank
2009,ATA,43,11,10,17,16
2009,JUV,42,9,15,14,17
2009,NAP,42,9,15,14,18
2009,BOLG,39,9,12,17,19
2009,PAR,38,9,11,18,20
2010,BRES,64,17,13,8,1
2010,BARI,63,17,12,9,2
2010,LAZ,61,16,13,9,3
2010,CHI,57,16,9,13,4
2010,SAM,56,17,5,16,5
2010,GEN,54,13,15,10,6
2010,CAT,52,12,16,10,7
2010,BOLG,50,12,14,12,8
2010,ROM,50,12,14,12,9
2010,UDI,50,13,11,14,10
2010,MIL,48,11,15,12,11
2010,NAP,48,13,9,16,12
2010,PAL,48,11,15,12,13
2010,CAG,47,12,11,15,14
2010,FIO,47,11,14,13,15
2010,PAR,46,11,13,14,16
2010,CES,45,11,12,15,17
2010,JUV,45,10,15,13,18
2010,LEC,44,10,14,14,19
2010,INT,39,9,12,17,20
2011,LAZ,64,16,16,6,1
2011,ATA,62,17,11,10,2
2011,LEC,62,17,11,10,3
2011,NOV,59,15,14,9,4
2011,BOLG,58,15,13,10,5
2011,GEN,56,14,14,10,6
2011,CAT,53,13,14,11,7
2011,MIL,53,14,11,13,8
2011,INT,51,13,12,13,9
2011,NAP,51,11,18,9,10
2011,FIO,49,12,13,13,11
2011,PAR,48,13,9,16,12
2011,UDI,48,11,15,12,13
2011,CAG,47,9,20,9,14
2011,PAL,46,12,10,16,15
2011,JUV,45,10,15,13,16
2011,SIE,43,10,13,15,17
2011,ROM,40,9,13,16,18
2011,CHI,37,6,19,13,19
2011,CES,30,5,15,18,20
2012,ROM,62,17,11,10,1
2012,CAT,61,17,10,11,2
2012,MIL,58,16,10,12,3
2012,PAL,57,15,12,11,4
2012,PAR,57,14,15,9,5
2012,PES,57,14,15,9,6
2012,INT,55,14,13,11,7
2012,SAM,52,13,13,12,8
2012,UDI,51,11,18,9,9
2012,CAG,50,10,20,8,10
2012,JUV,50,12,14,12,11
2012,LAZ,50,12,14,12,12
2012,BOLG,47,12,11,15,13
2012,FIO,46,12,10,16,14
2012,SIE,45,10,15,13,15
2012,CHI,44,10,14,14,16
2012,GEN,44,11,11,16,17
2012,TOR,44,9,17,12,18
2012,ATA,38,8,14,16,19
2012,NAP,38,9,11,18,20
2013,JUV,60,16,12,10,1
2013,CAT,59,15,14,9,2
2013,LAZ,57,16,9,13,3
2013,NAP,56,15,11,12,4
2013,BOLG,55,13,16,9,5
2013,LIVO,54,15,9,14,6
2013,UDI,51,12,15,11,7
2013,GEN,50,11,17,10,8
2013,INT,50,10,20,8,9
2013,MIL,50,13,11,14,10
2013,SAS,50,12,14,12,11
2013,TOR,50,11,17,10,12
2013,VER,50,11,17,10,13
2013,ROM,48,11,15,12,14
2013,ATA,45,9,18,11,15
2013,CHI,45,9,18,11,16
2013,FIO,45,10,15,13,17
2013,SAM,43,10,13,15,18
2013,CAG,41,10,11,17,19
2013,PAR,40,10,10,18,20
2014,LAZ,61,17,10,11,1
2014,PAL,61,17,10,11,2
2014,VER,61,18,7,13,3
2014,CES,59,16,11,11,4
2014,FIO,54,12,18,8,5
2014,JUV,54,13,15,10,6
2014,PAR,54,13,15,10,7
2014,MIL,53,13,14,11,8
2014,SAS,51,13,12,13,9
2014,NAP,49,12,13,13,10
2014,INT,48,11,15,12,11
2014,UDI,48,12,12,14,12
2014,CHI,47,10,17,11,13
2014,ROM,46,12,10,16,14
2014,SAM,46,12,10,16,15
2014,TOR,46,10,16,12,16
2014,ATA,45,10,15,13,17
2014,EMP,44,10,14,14,18
2014,CAG,42,8,18,12,19
2014,GEN,38,8,14,16,20
2015,MIL,67,19,10,9,1
2015,CARP,63,16,15,7,2
2015,LAZ,58,13,19,6,3
2015,SAS,57,16,9,13,4
2015,JUV,54,14,12,12,5
2015,CHI,53,15,8,15,6
2015,EMP,52,12,16,10,7
2015,NAP,52,13,13,12,8
2015,UDI,52,12,16,10,9
2015,ATA,51,13,12,13,10
2015,VER,50,13,11,14,11
2015,TOR,48,13,9,16,12
2015,FRO,47,11,14,13,13
2015,BOLG,46,11,13,14,14
2015,PAL,46,10,16,12,15
2015,SAM,46,10,16,12,16
2015,FIO,45,10,15,13,17
2015,ROM,43,11,10,17,18
2015,INT,40,9,13,16,19
2015,GEN,38,7,17,14,20
2016,BOLG,61,18,7,13,1
2016,EMP,60,14,18,6,2
2016,SAM,59,16,11,11,3
2016,PAL,58,14,16,8,4
2016,ROM,57,15,12,11,5
2016,CHI,56,14,14,10,6
2016,NAP,55,14,13,11,7
2016,CAG,54,13,15,10,8
2016,CRO,50,11,17,10,9
2016,FIO,49,12,13,13,10
2016,JUV,48,14,6,18,11
2016,LAZ,48,13,9,16,12
2016,UDI,47,12,11,15,13
2016,GEN,46,11,13,14,14
2016,SAS,46,10,16,12,15
2016,ATA,44,9,17,12,16
2016,INT,44,11,11,16,17
2016,MIL,44,10,14,14,18
2016,TOR,43,9,16,13,19
2016,PES,38,7,17,14,20
2017,CAG,69,18,15,5,1
2017,JUV,62,16,14,8,2
2017,BOLG,56,15,11,12,3
2017,FIO,56,14,14,10,4
2017,ROM,54,13,15,10,5
2017,SAM,54,15,9,14,6
2017,TOR,54,14,12,12,7
2017,CHI,53,14,11,13,8
2017,MIL,53,14,11,13,9
2017,BEN,52,13,13,12,10
2017,NAP,52,14,10,14,11
2017,SAS,52,12,16,10,12
2017,VER,51,13,12,13,13
2017,GEN,50,13,11,14,14
2017,ATA,46,11,13,14,15
2017,INT,42,9,15,14,16
2017,CRO,40,9,13,16,17
2017,UDI,40,7,19,12,18
2017,LAZ,39,9,12,17,19
2017,SPA,36,8,12,18,20
2018,BOLG,77,23,8,7,1
2018,ATA,64,17,13,8,2
2018,SAS,57,15,12,11,3
2018,UDI,57,16,9,13,4
2018,JUV,56,15,11,12,5
2018,EMP,55,15,10,13,6
2018,CHI,52,14,10,14,7
2018,LAZ,52,13,13,12,8
2018,ROM,52,12,16,10,9
2018,SAM,52,12,16,10,10
2018,NAP,50,13,11,14,11
2018,SPA,50,12,14,12,12
2018,GEN,49,12,13,13,13
2018,PAR,47,12,11,15,14
2018,TOR,45,10,15,13,15
2018,INT,44,10,14,14,16
2018,MIL,43,10,13,15,17
2018,CAG,40,10,10,18,18
2018,FIO,40,9,13,16,19
2018,FRO,35,7,14,17,20
2019,ATA,63,17,12,9,1
2019,MIL,63,15,18,5,2
2019,BRES,60,15,15,8,3
2019,SAS,58,15,13,10,4
2019,BOLG,57,15,12,11,5
2019,FIO,57,14,15,9,6
2019,GEN,57,14,15,9,7
2019,JUV,56,14,14,10,8
2019,LAZ,49,11,16,11,9
2019,NAP,49,12,13,13,10
2019,INT,48,12,12,14,11
2019,ROM,48,11,15,12,12
2019,LEC,47,12,11,15,13
2019,UDI,47,12,11,15,14
2019,VER,47,12,11,15,15
2019,SPA,46,11,13,14,16
2019,SAM,45,10,15,13,17
2019,TOR,38,8,14,16,18
2019,PAR,35,6,17,15,19
2019,CAG,31,5,16,17,20
2020,ROM,64,16,16,6,1
2020,NAP,59,16,11,11,2
2020,CRO,58,15,13,10,3
2020,FIO,58,15,13,10,4
2020,MIL,57,13,18,7,5
2020,BOLG,56,15,11,12,6
2020,CAG,54,15,9,14,7
2020,UDI,53,15,8,15,8
2020,ATA,52,13,13,12,9
2020,LAZ,52,15,7,16,10
2020,SAM,50,14,8,16,11
2020,SPE,50,13,11,14,12
2020,TOR,48,14,6,18,13
2020,BEN,47,12,11,15,14
2020,INT,47,13,8,17,15
2020,JUV,46,10,16,12,16
2020,PAR,46,12,10,16,17
2020,SAS,45,12,9,17,18
2020,VER,45,10,15,13,19
2020,GEN,42,11,9,18,20
2021,SAL,69,19,12,7,1
2021,FIO,56,14,14,10,2
2021,MIL,56,15,11,12,3
2021,SAM,56,14,14,10,4
2021,EMP,55,14,13,11,5
2021,SAS,54,13,15,10,6
2021,ROM,53,13,14,11,7
2021,SPE,53,14,11,13,8
2021,ATA,52,14,10,14,9
2021,INT,51,12,15,11,10
2021,UDI,51,12,15,11,11
2021,BOLG,50,11,17,10,12
2021,NAP,48,12,12,14,13
2021,VEN,48,11,15,12,14
2021,JUV,47,11,14,13,15
2021,VER,47,12,11,15,16
2021,LAZ,46,12,10,16,17
2021,TOR,39,8,15,15,18
2021,GEN,38,5,23,10,19
2021,CAG,34,7,13,18,20
2022,MIL,65,17,14,7,1
2022,ATA,60,15,15,8,2
2022,VER,56,15,11,12,3
2022,TOR,55,14,13,11,4
2022,JUV,54,13,15,10,5
2022,FIO,53,12,17,9,6
2022,INT,53,15,8,15,7
2022,LAZ,53,13,14,11,8
2022,ROM,53,13,14,11,9
2022,SAS,50,11,17,10,10
2022,BOLG,49,12,13,13,11
2022,LEC,49,11,16,11,12
2022,SPE,49,11,16,11,13
2022,UDI,47,12,11,15,14
2022,CRE,46,10,16,12,15
2022,MON,44,10,14,14,16
2022,SAL,43,8,19,11,17
2022,NAP,41,9,14,15,18
2022,EMP,38,8,14,16,19
2022,SAM,38,7,17,14,20
2023,CAG,64,17,13,8,1
2023,LAZ,64,17,13,8,2
2023,ROM,62,17,11,10,3
2023,LEC,61,17,10,11,4
2023,FRO,58,15,13,10,5
2023,INT,53,12,17,9,6
2023,VER,53,12,17,9,7
2023,MIL,51,12,15,11,8
2023,SAL,50,13,11,14,9
2023,TOR,50,12,14,12,10
2023,JUV,48,10,18,10,11
2023,MON,48,12,12,14,12
2023,SAS,47,11,14,13,13
2023,BOLG,46,12,10,16,14
2023,GEN,46,9,19,10,15
2023,ATA,41,8,17,13,16
2023,UDI,41,8,17,13,17
2023,NAP,40,10,10,18,18
2023,EMP,39,7,18,13,19
2023,FIO,35,6,17,15,20
2024,TOR,73,20,13,5,1
2024,FIO,60,16,12,10,2
2024,CAG,59,15,14,9,3
2024,COM,59,15,14,9,4
2024,JUV,55,16,7,15,5
2024,MIL,54,15,9,14,6
2024,NAP,54,13,15,10,7
2024,VEN,54,12,18,8,8
2024,ROM,51,14,9,15,9
2024,ATA,49,13,10,15,10
2024,INT,48,13,9,16,11
2024,MON,48,12,12,14,12
2024,VER,48,12,12,14,13
2024,EMP,47,13,8,17,14
2024,LEC,46,11,13,14,15
2024,PAR,46,12,10,16,16
2024,GEN,45,12,9,17,17
2024,UDI,45,11,12,15,18
2024,BOLG,42,10,12,16,19
2024,LAZ,42,10,12,16,20
