season,team,points,wins,draws,losses,rank
2007,EVE,52,14,10,14,10
2007,MANU,50,13,11,14,11
2007,CHE,49,11,16,11,12
2007,WIG,48,12,12,14,13
2007,LIVP,47,10,17,11,14
2007,NEW,45,10,15,13,15
2007,POR,44,10,14,14,16
2007,WHU,44,9,17,12,17
2007,FUL,43,11,10,17,18
2007,BIR,38,7,17,14,19
2007,BLBN,34,5,19,14,20
2008,MID,65,17,14,7,1
2008,ARS,64,18,10,10,2
2008,FUL,62,18,8,12,3
2008,MANU,62,17,11,10,4
2008,WIG,59,15,14,9,5
2008,NEW,55,13,16,9,6
2008,AVL,54,13,15,10,7
2008,HUL,52,13,13,12,8
2008,STO,51,11,18,9,9
2008,TOT,51,13,12,13,10
2008,BLBN,49,11,16,11,11
2008,LIVP,49,13,10,15,12
2008,SUN,48,11,15,12,13
2008,WBA,48,11,15,12,14
2008,CHE,46,13,7,18,15
2008,POR,46,11,13,14,16
2008,EVE,44,11,11,16,17
2008,WHU,39,8,15,15,18
2008,BOLN,34,6,16,16,19
2008,MANC,33,8,9,21,20
2009,MANC,62,16,14,8,1
2009,AVL,61,18,7,13,2
2009,WOLV,60,16,12,10,3
2009,ARS,57,15,12,11,4
2009,BLBN,56,15,11,12,5
2009,WHU,56,16,8,14,6
2009,BUR,55,17,4,17,7
2009,FUL,55,15,10,13,8
2009,HUL,55,14,13,11,9
2009,STO,53,13,14,11,10
2009,MANU,52,13,13,12,11
2009,TOT,51,13,12,13,12
2009,EVE,48,10,18,10,13
2009,CHE,46,10,16,12,14
2009,BOLN,45,9,18,11,15
2009,SUN,44,10,14,14,16
2009,BIR,41,11,8,19,17
2009,LIVP,40,8,16,14,18
2009,POR,39,8,15,15,19
2009,WIG,39,8,15,15,20
2010,SUN,70,20,10,8,1
2010,WHU,65,18,11,9,2
2010,AVL,62,16,14,8,3
2010,FUL,60,17,9,12,4
2010,LIVP,58,16,10,12,5
2010,BLPL,56,15,11,12,6
2010,WOLV,56,14,14,10,7
2010,TOT,54,13,15,10,8
2010,EVE,53,15,8,15,9
2010,NEW,51,13,12,13,10
2010,MANC,49,12,13,13,11
2010,WIG,49,12,13,13,12
2010,BIR,47,12,11,15,13
2010,CHE,47,10,17,11,14
2010,WBA,46,11,13,14,15
2010,STO,44,10,14,14,16
2010,BLBN,41,9,14,15,17
2010,ARS,40,10,10,18,18
2010,MANU,34,6,16,16,19
2010,BOLN,32,5,17,16,20
2011,EVE,63,18,9,11,1
2011,QPR,60,17,9,12,2
2011,ARS,59,14,17,7,3
2011,WIG,58,14,16,8,4
2011,SUN,56,14,14,10,5
2011,WBA,56,15,11,12,6
2011,NEW,51,13,12,13,7
2011,WOLV,51,10,21,7,8
2011,CHE,49,11,16,11,9
2011,LIVP,49,13,10,15,10
2011,FUL,48,11,15,12,11
2011,TOT,48,11,15,12,12
2011,MANC,46,11,13,14,13
2011,MANU,46,9,19,10,14
2011,SWA,46,10,16,12,15
2011,AVL,45,12,9,17,16
2011,BLBN,44,10,14,14,17
2011,NOR,43,10,13,15,18
2011,BOLN,42,10,12,16,19
2011,STO,42,9,15,14,20
2012,LIVP,62,17,11,10,1
2012,STO,60,17,9,12,2
2012,NOR,57,14,15,9,3
2012,SUN,56,15,11,12,4
2012,SWA,56,14,14,10,5
2012,REA,55,14,13,11,6
2012,EVE,52,13,13,12,7
2012,FUL,52,14,10,14,8
2012,MANU,52,13,13,12,9
2012,WHU,52,12,16,10,10
2012,MANC,51,14,9,15,11
2012,CHE,49,12,13,13,12
2012,NEW,46,10,16,12,13
2012,WIG,46,11,13,14,14
2012,AVL,45,10,15,13,15
2012,QPR,44,8,20,10,16
2012,TOT,44,10,14,14,17
2012,ARS,43,10,13,15,18
2012,SOU,43,9,16,13,19
2012,WBA,41,9,14,15,20
2013,WBA,71,19,14,5,1
2013,CARD,57,14,15,9,2
2013,CHE,57,16,9,13,3
2013,NEW,57,13,18,7,4
2013,AVL,56,15,11,12,5
2013,CRY,55,14,13,11,6
2013,STO,53,13,14,11,7
2013,SWA,53,12,17,9,8
2013,NOR,52,12,16,10,9
2013,SOU,51,10,21,7,10
2013,EVE,50,12,14,12,11
2013,WHU,50,11,17,10,12
2013,MANU,48,11,15,12,13
2013,SUN,47,11,14,13,14
2013,ARS,46,11,13,14,15
2013,TOT,43,10,13,15,16
2013,FUL,42,9,15,14,17
2013,LIVP,39,9,12,17,18
2013,MANC,38,9,11,18,19
2013,HUL,34,8,10,20,20
2014,MANU,64,18,10,10,1
2014,HUL,60,16,12,10,2
2014,SUN,60,16,12,10,3
2014,AVL,59,15,14,9,4
2014,WHU,58,14,16,8,5
2014,CHE,56,15,11,12,6
2014,EVE,55,14,13,11,7
2014,STO,52,14,10,14,8
2014,CRY,50,11,17,10,9
2014,LEIC,50,11,17,10,10
2014,MANC,50,12,14,12,11
2014,SWA,50,12,14,12,12
2014,LIVP,46,12,10,16,13
2014,SOU,45,11,12,15,14
2014,BUR,44,12,8,18,15
2014,QPR,44,10,14,14,16
2014,TOT,43,9,16,13,17
2014,WBA,42,7,21,10,18
2014,ARS,41,10,11,17,19
2014,NEW,38,8,14,16,20
2015,LEIC,66,18,12,8,1
2015,NEW,63,16,15,7,2
2015,SWA,58,16,10,12,3
2015,SUN,55,14,13,11,4
2015,BOU,54,15,9,14,5
2015,CHE,54,13,15,10,6
2015,SOU,53,13,14,11,7
2015,STO,52,12,16,10,8
2015,WBA,51,13,12,13,9
2015,WHU,51,10,21,7,10
2015,CRY,50,12,14,12,11
2015,MANC,50,13,11,14,12
2015,NOR,49,11,16,11,13
2015,MANU,48,11,15,12,14
2015,WAT,46,11,13,14,15
2015,ARS,45,11,12,15,16
2015,TOT,45,12,9,17,17
2015,EVE,42,10,12,16,18
2015,LIVP,39,9,12,17,19
2015,AVL,37,8,13,17,20
2016,SWA,57,16,9,13,1
2016,LEIC,56,14,14,10,2
2016,MID,56,15,11,12,3
2016,SOU,55,13,16,9,4
2016,LIVP,54,15,9,14,5
2016,TOT,54,13,15,10,6
2016,WAT,54,14,12,12,7
2016,CRY,53,12,17,9,8
2016,STO,53,14,11,13,9
2016,MANU,52,12,16,10,10
2016,ARS,51,13,12,13,11
2016,BOU,51,12,15,11,12
2016,WBA,51,13,12,13,13
2016,SUN,50,13,11,14,14
2016,WHU,50,12,14,12,15
2016,BUR,46,12,10,16,16
2016,CHE,46,11,13,14,17
2016,EVE,45,8,21,9,18
2016,HUL,40,10,10,18,19
2016,MANC,33,5,18,15,20
2017,ARS,67,17,16,5,1
2017,LIVP,64,17,13,8,2
2017,WBA,61,16,13,9,3
2017,MANC,57,15,12,11,4
2017,WHU,57,14,15,9,5
2017,BOU,55,16,7,15,6
2017,TOT,55,14,13,11,7
2017,LEIC,52,14,10,14,8
2017,BHA,51,14,9,15,9
2017,CHE,51,13,12,13,10
2017,MANU,51,13,12,13,11
2017,SOU,50,13,11,14,12
2017,WAT,50,12,14,12,13
2017,SWA,48,11,15,12,14
2017,EVE,46,10,16,12,15
2017,BUR,45,10,15,13,16
2017,CRY,45,10,15,13,17
2017,NEW,38,9,11,18,18
2017,STO,37,8,13,17,19
2017,HUD,31,5,16,17,20
2018,WOLV,63,16,15,7,1
2018,BOU,61,17,10,11,2
2018,EVE,60,16,12,10,3
2018,CRY,58,17,7,14,4
2018,LIVP,58,16,10,12,5
2018,MANU,57,14,15,9,6
2018,SOU,57,16,9,13,7
2018,FUL,56,14,14,10,8
2018,TOT,56,15,11,12,9
2018,WAT,53,13,14,11,10
2018,ARS,52,14,10,14,11
2018,HUD,52,12,16,10,12
2018,WHU,52,11,19,8,13
2018,CHE,50,13,11,14,14
2018,BUR,45,11,12,15,15
2018,CARD,45,11,12,15,16
2018,LEIC,39,9,12,17,17
2018,MANC,38,9,11,18,18
2018,NEW,37,9,10,19,19
2018,BHA,28,4,16,18,20
2019,NEW,60,17,9,12,1
2019,LIVP,58,15,13,10,2
2019,MANU,56,14,14,10,3
2019,MANC,54,15,9,14,4
2019,SHU,54,14,12,12,5
2019,SOU,52,12,16,10,6
2019,WAT,52,13,13,12,7
2019,AVL,50,13,11,14,8
2019,CRY,50,12,14,12,9
2019,EVE,50,11,17,10,10
2019,NOR,50,11,17,10,11
2019,BHA,49,11,16,11,12
2019,LEIC,49,11,16,11,13
2019,WOLV,48,12,12,14,14
2019,BOU,47,9,20,9,15
2019,WHU,47,12,11,15,16
2019,TOT,46,10,16,12,17
2019,CHE,45,10,15,13,18
2019,ARS,43,10,13,15,19
2019,BUR,41,9,14,15,20
2020,NEW,68,18,14,6,1
2020,EVE,63,18,9,11,2
2020,ARS,58,16,10,12,3
2020,AVL,57,15,12,11,4
2020,WBA,57,15,12,11,5
2020,MANU,55,15,10,13,6
2020,SOU,54,15,9,14,7
2020,TOT,52,14,10,14,8
2020,BUR,51,13,12,13,9
2020,CRY,51,13,12,13,10
2020,LEIC,51,14,9,15,11
2020,WOLV,51,13,12,13,12
2020,LIVP,50,13,11,14,13
2020,MANC,50,13,11,14,14
2020,SHU,48,13,9,16,15
2020,CHE,44,11,11,16,16
2020,LEE,44,10,14,14,17
2020,WHU,44,11,11,16,18
2020,FUL,42,10,12,16,19
2020,BHA,39,9,12,17,20
2021,TOT,63,17,12,9,1
2021,NEW,61,17,10,11,2
2021,AVL,59,15,14,9,3
2021,SOU,58,16,10,12,4
2021,CRY,57,14,15,9,5
2021,MANC,56,15,11,12,6
2021,WOLV,56,13,17,8,7
2021,EVE,55,13,16,9,8
2021,ARS,50,10,20,8,9
2021,LIVP,50,12,14,12,10
2021,WHU,50,11,17,10,11
2021,WAT,48,12,12,14,12
2021,MANU,46,8,22,8,13
2021,NOR,46,11,13,14,14
2021,BHA,45,12,9,17,15
2021,CHE,43,11,10,17,16
2021,LEE,43,10,13,15,17
2021,BRNT,41,9,14,15,18
2021,LEIC,41,9,14,15,19
2021,BUR,35,8,11,19,20
2022,BRNT,66,18,12,8,1
2022,WOLV,62,16,14,8,2
2022,CHE,61,17,10,11,3
2022,MANU,60,14,18,6,4
2022,NOTF,60,15,15,8,5
2022,WHU,58,15,13,10,6
2022,AVL,57,13,18,7,7
2022,LEE,54,14,12,12,8
2022,BHA,49,10,19,9,9
2022,TOT,49,11,16,11,10
2022,CRY,48,13,9,16,11
2022,LEIC,47,10,17,11,12
2022,MANC,47,11,14,13,13
2022,BOU,46,10,16,12,14
2022,NEW,45,11,12,15,15
2022,EVE,44,10,14,14,16
2022,SOU,42,9,15,14,17
2022,LIVP,38,7,17,14,18
2022,ARS,34,6,16,16,19
2022,FUL,29,6,11,21,20
2023,EVE,67,19,10,9,1
2023,SHU,62,17,11,10,2
2023,WOLV,56,14,14,10,3
2023,WHU,55,16,7,15,4
2023,MANU,54,14,12,12,5
2023,BRNT,53,12,17,9,6
2023,BHA,52,12,16,10,7
2023,LUT,52,12,16,10,8
2023,LIVP,49,12,13,13,9
2023,NEW,49,12,13,13,10
2023,NOTF,49,11,16,11,11
2023,TOT,48,12,12,14,12
2023,AVL,47,11,14,13,13
2023,CRY,47,9,20,9,14
2023,FUL,47,10,17,11,15
2023,BOU,46,10,16,12,16
2023,MANC,43,8,19,11,17
2023,BUR,42,10,12,16,18
2023,CHE,40,8,16,14,19
2023,ARS,39,8,15,15,20
2024,LIVP,69,19,12,7,1
2024,TOT,62,17,11,10,2
2024,BHA,60,16,12,10,3
2024,FUL,56,14,14,10,4
2024,MANC,56,16,8,14,5
2024,NOTF,54,16,6,16,6
2024,ARS,53,15,8,15,7
2024,NEW,53,13,14,11,8
2024,WOLV,53,13,14,11,9
2024,EVE,52,13,13,12,10
2024,IPS,51,12,15,11,11
2024,AVL,50,13,11,14,12
2024,MANU,49,12,13,13,13
2024,LEIC,48,11,15,12,14
2024,BRNT,46,11,13,14,15
2024,BOU,45,12,9,17,16
2024,SOU,44,12,8,18,17
2024,CHE,42,9,15,14,18
2024,CRY,41,10,11,17,19
2024,WHU,41,11,8,19,20
