season,team,points,wins,draws,losses,rank
2023,MIL,49,11,16,11,10
2023,SAL,49,12,13,13,11
2023,SAS,49,11,16,11,12
2023,BOLG,48,12,12,14,13
2023,FRO,47,12,11,15,14
2023,GEN,46,12,10,16,15
2023,ATA,45,10,15,13,16
2023,LEC,44,9,17,12,17
2023,VER,44,11,11,16,18
2023,CAG,42,11,9,18,19
2023,UDI,37,8,13,17,20
2024,ROM,67,18,13,7,1
2024,INT,63,17,12,9,2
2024,JUV,63,17,12,9,3
2024,MON,61,16,13,9,4
2024,PAR,61,15,16,7,5
2024,LEC,59,15,14,9,6
2024,COM,57,16,9,13,7
2024,CAG,54,13,15,10,8
2024,TOR,51,13,12,13,9
2024,VEN,51,13,12,13,10
2024,UDI,50,13,11,14,11
2024,NAP,49,14,7,17,12
2024,GEN,48,12,12,14,13
2024,BOLG,45,10,15,13,14
2024,EMP,45,11,12,15,15
2024,MIL,44,11,11,16,16
2024,FIO,43,9,16,13,17
2024,LAZ,41,10,11,17,18
2024,ATA,34,7,13,18,19
2024,VER,31,7,10,21,20
