season,team,points,wins,draws,losses,rank
2009,HAM,34,5,19,10,17
2009,MAI,28,5,13,16,18
2010,HAM,60,15,15,4,1
2010,MAI,59,15,14,5,2
2010,STU,54,15,9,10,3
2010,SCH,52,13,13,8,4
2010,NUR,50,13,11,10,5
2010,DOR,45,10,15,9,6
2010,FRE,44,11,11,12,7
2010,STP,44,11,11,12,8
2010,KAI,43,10,13,11,9
2010,M'G,43,10,13,11,10
2010,WERB,43,11,10,13,11
2010,HOF,42,12,6,16,12
2010,WOB,42,10,12,12,13
2010,KOL,41,9,14,11,14
2010,BAY,38,9,11,14,15
2010,EINF,38,9,11,14,16
2010,LEVK,38,7,17,10,17
2010,HAN,33,7,12,15,18
2011,HOF,58,16,10,8,1
2011,MAI,57,16,9,9,2
2011,NUR,57,16,9,9,3
2011,FRE,55,15,10,9,4
2011,LEVK,51,13,12,9,5
2011,STU,48,12,12,10,6
2011,HAN,47,12,11,11,7
2011,DOR,45,9,18,7,8
2011,WERB,45,11,12,11,9
2011,KOL,44,12,8,14,10
2011,HERT,43,10,13,11,11
2011,AUG,42,10,12,12,12
2011,KAI,42,10,12,12,13
2011,SCH,42,11,9,14,14
2011,WOB,38,8,14,12,15
2011,M'G,37,9,10,15,16
2011,HAM,34,7,13,14,17
2011,BAY,30,6,12,16,18
2012,WERB,57,16,9,9,1
2012,MAI,55,15,10,9,2
2012,HAM,54,14,12,8,3
2012,M'G,51,13,12,9,4
2012,FRE,50,13,11,10,5
2012,DOR,49,12,13,9,6
2012,EINF,49,13,10,11,7
2012,GREF,48,12,12,10,8
2012,STU,47,12,11,11,9
2012,WOB,46,13,7,14,10
2012,HAN,45,11,12,11,11
2012,FORD,44,11,11,12,12
2012,HOF,42,10,12,12,13
2012,BAY,40,9,13,12,14
2012,AUG,38,8,14,12,15
2012,SCH,35,7,14,13,16
2012,NUR,34,8,10,16,17
2012,LEVK,31,6,13,15,18
2013,WERB,59,17,8,9,1
2013,HAM,57,15,12,7,2
2013,M'G,53,14,11,9,3
2013,DOR,51,13,12,9,4
2013,HOF,50,12,14,8,5
2013,HAN,48,13,9,12,6
2013,HERT,48,12,12,10,7
2013,MAI,47,10,17,7,8
2013,BRA,46,12,10,12,9
2013,LEVK,43,9,16,9,10
2013,SCH,43,11,10,13,11
2013,STU,43,8,19,7,12
2013,FRE,42,10,12,12,13
2013,NUR,41,8,17,9,14
2013,WOB,36,9,9,16,15
2013,AUG,34,7,13,14,16
2013,BAY,34,7,13,14,17
2013,EINF,30,6,12,16,18
2014,HERT,58,16,10,8,1
2014,EINF,54,14,12,8,2
2014,STU,53,13,14,7,3
2014,PAD,52,15,7,12,4
2014,AUG,49,13,10,11,5
2014,HAM,49,12,13,9,6
2014,SCH,49,10,19,5,7
2014,HAN,47,12,11,11,8
2014,HOF,47,13,8,13,9
2014,FRE,46,10,16,8,10
2014,BAY,45,12,9,13,11
2014,M'G,41,11,8,15,12
2014,LEVK,40,10,10,14,13
2014,DOR,39,8,15,11,14
2014,MAI,39,9,12,13,15
2014,KOL,34,7,13,14,16
2014,WERB,33,5,18,11,17
2014,WOB,32,5,17,12,18
2015,ING,62,17,11,6,1
2015,HAN,57,16,9,9,2
2015,HERT,55,15,10,9,3
2015,WERB,52,13,13,8,4
2015,HAM,47,12,11,11,5
2015,SCH,47,10,17,7,6
2015,M'G,46,12,10,12,7
2015,STU,46,11,13,10,8
2015,WOB,46,12,10,12,9
2015,BAY,43,10,13,11,10
2015,DAR,43,11,10,13,11
2015,DOR,43,12,7,15,12
2015,EINF,43,9,16,9,13
2015,KOL,39,9,12,13,14
2015,LEVK,39,10,9,15,15
2015,MAI,39,10,9,15,16
2015,HOF,38,8,14,12,17
2015,AUG,30,6,12,16,18
2016,MAI,54,15,9,10,1
2016,SCH,54,14,12,8,2
2016,M'G,53,15,8,11,3
2016,AUG,52,14,10,10,4
2016,FRE,52,14,10,10,5
2016,EINF,51,14,9,11,6
2016,WERB,49,12,13,9,7
2016,BAY,48,12,12,10,8
2016,DAR,46,12,10,12,9
2016,DOR,45,11,12,11,10
2016,HERT,44,11,11,12,11
2016,KOL,43,12,7,15,12
2016,HAM,42,10,12,12,13
2016,RBL,42,11,9,14,14
2016,HOF,39,9,12,13,15
2016,ING,39,9,12,13,16
2016,WOB,38,10,8,16,17
2016,LEVK,32,6,14,14,18
2017,LEVK,59,16,11,7,1
2017,AUG,55,15,10,9,2
2017,HOF,54,14,12,8,3
2017,DOR,48,11,15,8,4
2017,FRE,48,12,12,10,5
2017,KOL,48,12,12,10,6
2017,M'G,48,11,15,8,7
2017,EINF,45,12,9,13,8
2017,MAI,45,11,12,11,9
2017,HAM,44,10,14,10,10
2017,HERT,44,11,11,12,11
2017,WOB,44,10,14,10,12
2017,RBL,43,9,16,9,13
2017,WERB,38,8,14,12,14
2017,SCH,37,9,10,15,15
2017,BAY,36,7,15,12,16
2017,HAN,35,7,14,13,17
2017,STU,34,8,10,16,18
2018,EINF,61,18,7,9,1
2018,HAN,55,15,10,9,2
2018,HERT,55,14,13,7,3
2018,FRE,53,14,11,9,4
2018,NUR,52,14,10,10,5
2018,BAY,49,15,4,15,6
2018,M'G,47,12,11,11,7
2018,STU,47,12,11,11,8
2018,LEVK,45,10,15,9,9
2018,DOR,44,12,8,14,10
2018,RBL,44,11,11,12,11
2018,SCH,44,11,11,12,12
2018,MAI,43,10,13,11,13
2018,FORD,39,7,18,9,14
2018,AUG,38,8,14,12,15
2018,WERB,36,7,15,12,16
2018,WOB,34,7,13,14,17
2018,HOF,31,8,7,19,18
2019,LEVK,56,16,8,10,1
2019,WOB,56,16,8,10,2
2019,FRE,55,14,13,7,3
2019,M'G,52,14,10,10,4
2019,HOF,50,14,8,12,5
2019,KOL,50,13,11,10,6
2019,FORD,48,12,12,10,7
2019,AUG,47,12,11,11,8
2019,HERT,46,12,10,12,9
2019,EINF,45,11,12,11,10
2019,PAD,45,10,15,9,11
2019,WERB,45,13,6,15,12
2019,BAY,44,12,8,14,13
2019,SCH,44,12,8,14,14
2019,RBL,41,9,14,11,15
2019,UNI,38,9,11,14,16
2019,DOR,33,8,9,17,17
2019,MAI,30,6,12,16,18
2020,BAY,59,16,11,7,1
2020,STU,55,14,13,7,2
2020,LEVK,54,14,12,8,3
2020,FRE,53,14,11,9,4
2020,RBL,53,13,14,7,5
2020,WOB,52,12,16,6,6
2020,KOL,51,12,15,7,7
2020,EINF,44,12,8,14,8
2020,M'G,44,11,11,12,9
2020,AUG,42,11,9,14,10
2020,DOR,41,11,8,15,11
2020,BIE,40,7,19,8,12
2020,WERB,40,10,10,14,13
2020,HOF,37,8,13,13,14
2020,MAI,36,8,12,14,15
2020,SCH,36,8,12,14,16
2020,HERT,35,6,17,11,17
2020,UNI,35,8,11,15,18
2021,BIE,62,17,11,6,1
2021,DOR,56,15,11,8,2
2021,KOL,52,13,13,8,3
2021,STU,50,14,8,12,4
2021,BOC,49,14,7,13,5
2021,LEVK,49,13,10,11,6
2021,BAY,48,12,12,10,7
2021,EINF,47,10,17,7,8
2021,AUG,46,12,10,12,9
2021,HERT,45,11,12,11,10
2021,MAI,44,11,11,12,11
2021,WOB,44,10,14,10,12
2021,GREF,42,10,12,12,13
2021,M'G,42,10,12,12,14
2021,UNI,42,8,18,8,15
2021,FRE,37,9,10,15,16
2021,RBL,35,9,8,17,17
2021,HOF,23,3,14,17,18
2022,M'G,51,12,15,7,1
2022,WOB,51,12,15,7,2
2022,BAY,50,13,11,10,3
2022,KOL,50,10,20,4,4
2022,SCH,49,12,13,9,5
2022,BOC,48,12,12,10,6
2022,DOR,46,11,13,10,7
2022,FRE,46,10,16,8,8
2022,HOF,45,9,18,7,9
2022,LEVK,45,10,15,9,10
2022,HERT,44,11,11,12,11
2022,STU,44,12,8,14,12
2022,EINF,42,10,12,12,13
2022,RBL,39,7,18,9,14
2022,MAI,37,7,16,11,15
2022,WERB,35,6,17,11,16
2022,AUG,34,8,10,16,17
2022,UNI,34,6,16,12,18
2023,WERB,55,16,7,11,1
2023,RBL,53,15,8,11,2
2023,EINF,52,14,10,10,3
2023,WOB,51,13,12,9,4
2023,BAY,50,13,11,10,5
2023,HEI,49,13,10,11,6
2023,KOL,48,10,18,6,7
2023,HOF,47,11,14,9,8
2023,BOC,46,12,10,12,9
2023,DAR,45,10,15,9,10
2023,M'G,45,11,12,11,11
2023,LEVK,43,12,7,15,12
2023,MAI,43,10,13,11,13
2023,STU,42,11,9,14,14
2023,DOR,41,9,14,11,15
2023,AUG,39,11,6,17,16
2023,FRE,38,9,11,14,17
2023,UNI,30,5,15,14,18
2024,MAI,55,15,10,9,1
2024,RBL,54,13,15,6,2
2024,DOR,53,14,11,9,3
2024,M'G,52,14,10,10,4
2024,STP,52,14,10,10,5
2024,STU,52,15,7,12,6
2024,HEI,50,13,11,10,7
2024,UNI,50,14,8,12,8
2024,FRE,48,12,12,10,9
2024,LEVK,48,13,9,12,10
2024,HOLK,47,13,8,13,11
2024,BOC,44,9,17,8,12
2024,WOB,43,10,13,11,13
2024,HOF,39,8,15,11,14
2024,AUG,37,8,13,13,15
2024,BAY,36,9,9,16,16
2024,EINF,34,8,10,16,17
2024,WERB,28,8,4,22,18
