season,team,points,wins,draws,losses,rank
2006,WAT,40,8,16,14,18
2006,WIG,38,7,17,14,19
2006,BOLN,29,5,14,19,20
2007,EVE,61,16,13,9,1
2007,SUN,61,17,10,11,2
2007,FUL,60,16,12,10,3
2007,MANC,59,14,17,7,4
2007,REA,57,13,18,7,5
2007,MANU,52,13,13,12,6
2007,BOLN,51,12,15,11,7
2007,WHU,51,11,18,9,8
2007,AVL,50,12,14,12,9
2007,BLBN,49,12,13,13,10
2007,LIVP,49,12,13,13,11
2007,POR,49,13,10,15,12
2007,DER,48,12,12,14,13
2007,NEW,46,11,13,14,14
2007,ARS,44,9,17,12,15
2007,MID,44,11,11,16,16
2007,BIR,43,9,16,13,17
2007,CHE,43,10,13,15,18
2007,TOT,42,10,12,16,19
2007,WIG,41,7,20,11,20
2008,SUN,59,16,11,11,1
2008,WHU,59,17,8,13,2
2008,FUL,58,14,16,8,3
2008,WIG,58,15,13,10,4
2008,TOT,56,14,14,10,5
2008,MANC,54,15,9,14,6
2008,BOLN,53,15,8,15,7
2008,CHE,52,13,13,12,8
2008,HUL,52,10,22,6,9
2008,MID,52,12,16,10,10
2008,POR,52,12,16,10,11
2008,STO,51,12,15,11,12
2008,ARS,49,11,16,11,13
2008,EVE,46,12,10,16,14
2008,WBA,46,11,13,14,15
2008,MANU,44,10,14,14,16
2008,AVL,42,8,18,12,17
2008,LIVP,42,10,12,16,18
2008,NEW,42,10,12,16,19
2008,BLBN,37,7,16,15,20
2009,MANU,72,20,12,6,1
2009,AVL,68,20,8,10,2
2009,SUN,59,16,11,11,3
2009,BOLN,55,15,10,13,4
2009,LIVP,55,14,13,11,5
2009,CHE,54,15,9,14,6
2009,FUL,54,14,12,12,7
2009,MANC,54,15,9,14,8
2009,BLBN,53,15,8,15,9
2009,POR,52,13,13,12,10
2009,BIR,49,13,10,15,11
2009,WOLV,49,13,10,15,12
2009,BUR,47,10,17,11,13
2009,EVE,47,13,8,17,14
2009,WHU,47,12,11,15,15
2009,ARS,45,10,15,13,16
2009,STO,45,12,9,17,17
2009,HUL,43,10,13,15,18
2009,TOT,42,11,9,18,19
2009,WIG,40,9,13,16,20
2010,BIR,67,19,10,9,1
2010,BLPL,64,18,10,10,2
2010,CHE,61,16,13,9,3
2010,MANU,57,15,12,11,4
2010,SUN,56,15,11,12,5
2010,WBA,55,16,7,15,6
2010,FUL,54,13,15,10,7
2010,AVL,52,13,13,12,8
2010,BOLN,51,13,12,13,9
2010,STO,51,13,12,13,10
2010,EVE,50,12,14,12,11
2010,WOLV,50,12,14,12,12
2010,TOT,48,11,15,12,13
2010,ARS,47,10,17,11,14
2010,LIVP,47,12,11,15,15
2010,NEW,46,10,16,12,16
2010,BLBN,44,10,14,14,17
2010,MANC,41,10,11,17,18
2010,WHU,40,10,10,18,19
2010,WIG,33,6,15,17,20
2011,NOR,64,16,16,6,1
2011,BOLN,60,16,12,10,2
2011,MANC,59,15,14,9,3
2011,WBA,58,15,13,10,4
2011,FUL,56,15,11,12,5
2011,LIVP,53,12,17,9,6
2011,ARS,52,12,16,10,7
2011,EVE,52,13,13,12,8
2011,STO,51,13,12,13,9
2011,SWA,50,14,8,16,10
2011,NEW,49,12,13,13,11
2011,WOLV,48,12,12,14,12
2011,AVL,47,11,14,13,13
2011,WIG,47,10,17,11,14
2011,BLBN,46,11,13,14,15
2011,QPR,45,10,15,13,16
2011,CHE,44,10,14,14,17
2011,SUN,44,11,11,16,18
2011,TOT,43,11,10,17,19
2011,MANU,38,7,17,14,20
2012,STO,62,18,8,12,1
2012,MANC,60,15,15,8,2
2012,AVL,59,15,14,9,3
2012,NOR,58,16,10,12,4
2012,WBA,58,13,19,6,5
2012,LIVP,56,14,14,10,6
2012,EVE,55,16,7,15,7
2012,SOU,55,14,13,11,8
2012,NEW,53,15,8,15,9
2012,MANU,52,13,13,12,10
2012,REA,52,12,16,10,11
2012,WHU,52,13,13,12,12
2012,ARS,47,12,11,15,13
2012,QPR,47,10,17,11,14
2012,SWA,47,12,11,15,15
2012,CHE,44,10,14,14,16
2012,SUN,42,9,15,14,17
2012,WIG,41,10,11,17,18
2012,TOT,39,10,9,19,19
2012,FUL,32,4,20,14,20
2013,MANU,58,16,10,12,1
2013,CHE,56,16,8,14,2
2013,SWA,56,15,11,12,3
2013,TOT,56,16,8,14,4
2013,WHU,56,15,11,12,5
2013,CARD,55,14,13,11,6
2013,LIVP,55,14,13,11,7
2013,SOU,53,14,11,13,8
2013,STO,52,13,13,12,9
2013,ARS,51,13,12,13,10
2013,MANC,51,14,9,15,11
2013,FUL,50,12,14,12,12
2013,NEW,50,12,14,12,13
2013,SUN,50,14,8,16,14
2013,CRY,49,11,16,11,15
2013,EVE,49,13,10,15,16
2013,HUL,49,13,10,15,17
2013,AVL,48,11,15,12,18
2013,WBA,44,10,14,14,19
2013,NOR,36,8,12,18,20
2014,EVE,65,17,14,7,1
2014,HUL,57,14,15,9,2
2014,QPR,57,14,15,9,3
2014,CRY,56,14,14,10,4
2014,LEIC,54,13,15,10,5
2014,SOU,54,14,12,12,6
2014,SWA,54,12,18,8,7
2014,CHE,52,12,16,10,8
2014,MANC,52,13,13,12,9
2014,MANU,51,12,15,11,10
2014,TOT,49,12,13,13,11
2014,WHU,47,11,14,13,12
2014,BUR,46,10,16,12,13
2014,SUN,46,12,10,16,14
2014,AVL,45,11,12,15,15
2014,LIVP,44,9,17,12,16
2014,NEW,43,9,16,13,17
2014,WBA,43,9,16,13,18
2014,ARS,40,7,19,12,19
2014,STO,38,8,14,16,20
2015,WBA,67,19,10,9,1
2015,SOU,61,18,7,13,2
2015,LEIC,59,16,11,11,3
2015,BOU,57,16,9,13,4
2015,MANU,57,16,9,13,5
2015,ARS,56,15,11,12,6
2015,LIVP,56,15,11,12,7
2015,STO,55,14,13,11,8
2015,CHE,54,14,12,12,9
2015,WHU,54,15,9,14,10
2015,NOR,52,13,13,12,11
2015,AVL,51,12,15,11,12
2015,TOT,50,13,11,14,13
2015,WAT,47,11,14,13,14
2015,EVE,46,10,16,12,15
2015,NEW,44,11,11,16,16
2015,SUN,42,9,15,14,17
2015,CRY,41,11,8,19,18
2015,MANC,40,9,13,16,19
2015,SWA,37,9,10,19,20
2016,LEIC,63,18,9,11,1
2016,SUN,63,18,9,11,2
2016,WAT,63,17,12,9,3
2016,WHU,61,16,13,9,4
2016,CRY,57,15,12,11,5
2016,WBA,57,14,15,9,6
2016,BOU,55,14,13,11,7
2016,MID,54,16,6,16,8
2016,TOT,54,14,12,12,9
2016,MANU,52,14,10,14,10
2016,SOU,52,14,10,14,11
2016,BUR,51,14,9,15,12
2016,MANC,51,14,9,15,13
2016,EVE,47,12,11,15,14
2016,STO,47,11,14,13,15
2016,HUL,45,10,15,13,16
2016,ARS,41,8,17,13,17
2016,LIVP,41,10,11,17,18
2016,SWA,38,10,8,20,19
2016,CHE,34,7,13,18,20
2017,BOU,62,17,11,10,1
2017,MANU,62,17,11,10,2
2017,STO,62,17,11,10,3
2017,WHU,62,18,8,12,4
2017,NEW,61,17,10,11,5
2017,ARS,55,13,16,9,6
2017,TOT,54,13,15,10,7
2017,HUD,53,14,11,13,8
2017,CHE,51,14,9,15,9
2017,BUR,50,12,14,12,10
2017,EVE,50,12,14,12,11
2017,SOU,50,13,11,14,12
2017,CRY,49,12,13,13,13
2017,SWA,47,12,11,15,14
2017,WAT,46,12,10,16,15
2017,LIVP,42,9,15,14,16
2017,WBA,42,10,12,16,17
2017,BHA,41,9,14,15,18
2017,LEIC,40,9,13,16,19
2017,MANC,40,9,13,16,20
2018,CARD,60,17,9,12,1
2018,CHE,59,15,14,9,2
2018,WHU,58,15,13,10,3
2018,LIVP,57,14,15,9,4
2018,LEIC,55,15,10,13,5
2018,ARS,54,15,9,14,6
2018,BUR,54,13,15,10,7
2018,MANU,52,13,13,12,8
2018,BHA,51,13,12,13,9
2018,MANC,49,12,13,13,10
2018,TOT,49,12,13,13,11
2018,WOLV,49,12,13,13,12
2018,CRY,48,11,15,12,13
2018,HUD,48,13,9,16,14
2018,FUL,47,10,17,11,15
2018,NEW,46,10,16,12,16
2018,BOU,45,10,15,13,17
2018,SOU,42,9,15,14,18
2018,WAT,42,9,15,14,19
2018,EVE,41,8,17,13,20
2019,ARS,65,19,8,11,1
2019,BUR,64,17,13,8,2
2019,CRY,60,15,15,8,3
2019,LEIC,58,14,16,8,4
2019,MANC,58,14,16,8,5
2019,AVL,56,12,20,6,6
2019,CHE,56,15,11,12,7
2019,WHU,54,15,9,14,8
2019,WOLV,52,13,13,12,9
2019,BHA,51,14,9,15,10
2019,SHU,49,13,10,15,11
2019,NEW,46,12,10,16,12
2019,SOU,46,10,16,12,13
2019,WAT,46,11,13,14,14
2019,EVE,45,11,12,15,15
2019,TOT,45,11,12,15,16
2019,NOR,43,9,16,13,17
2019,BOU,40,8,16,14,18
2019,MANU,38,7,17,14,19
2019,LIVP,36,8,12,18,20
2020,NEW,65,19,8,11,1
2020,MANC,62,16,14,8,2
2020,ARS,61,17,10,11,3
2020,LIVP,60,16,12,10,4
2020,WBA,58,15,13,10,5
2020,LEE,57,15,12,11,6
2020,TOT,56,15,11,12,7
2020,CRY,55,15,10,13,8
2020,BUR,52,12,16,10,9
2020,BHA,51,14,9,15,10
2020,CHE,51,13,12,13,11
2020,MANU,51,13,12,13,12
2020,AVL,49,13,10,15,13
2020,EVE,49,13,10,15,14
2020,WHU,45,11,12,15,15
2020,FUL,44,9,17,12,16
2020,WOLV,43,12,7,19,17
2020,SOU,42,9,15,14,18
2020,LEIC,41,9,14,15,19
2020,SHU,31,7,10,21,20
2021,LEIC,65,18,11,9,1
2021,AVL,61,15,16,7,2
2021,TOT,61,16,13,9,3
2021,ARS,58,15,13,10,4
2021,NEW,58,17,7,14,5
2021,BRNT,57,16,9,13,6
2021,EVE,57,14,15,9,7
2021,MANU,57,14,15,9,8
2021,SOU,54,14,12,12,9
2021,BUR,52,12,16,10,10
2021,MANC,50,13,11,14,11
2021,LEE,49,11,16,11,12
2021,WOLV,49,11,16,11,13
2021,WAT,44,12,8,18,14
2021,WHU,44,9,17,12,15
2021,CHE,42,10,12,16,16
2021,CRY,41,9,14,15,17
2021,LIVP,37,9,10,19,18
2021,BHA,36,5,21,12,19
2021,NOR,34,6,16,16,20
2022,MANU,68,19,11,8,1
2022,CRY,63,18,9,11,2
2022,ARS,62,17,11,10,3
2022,LEE,62,18,8,12,4
2022,MANC,56,14,14,10,5
2022,BRNT,53,15,8,15,6
2022,NOTF,53,12,17,9,7
2022,TOT,52,14,10,14,8
2022,WOLV,51,12,15,11,9
2022,FUL,49,13,10,15,10
2022,LIVP,49,11,16,11,11
2022,AVL,48,13,9,16,12
2022,LEIC,48,11,15,12,13
2022,CHE,47,12,11,15,14
2022,NEW,47,11,14,13,15
2022,SOU,47,10,17,11,16
2022,WHU,46,10,16,12,17
2022,BHA,45,11,12,15,18
2022,EVE,36,9,9,20,19
2022,BOU,35,7,14,17,20
2023,AVL,61,18,7,13,1
2023,LIVP,59,16,11,11,2
2023,MANU,59,16,11,11,3
2023,WOLV,59,17,8,13,4
2023,BRNT,57,15,12,11,5
2023,BUR,56,15,11,12,6
2023,EVE,54,13,15,10,7
2023,SHU,54,13,15,10,8
2023,WHU,53,13,14,11,9
2023,CHE,52,12,16,10,10
2023,BOU,50,14,8,16,11
2023,CRY,50,13,11,14,12
2023,FUL,49,13,10,15,13
2023,BHA,48,12,12,14,14
2023,MANC,48,10,18,10,15
2023,LUT,44,11,11,16,16
2023,NEW,43,9,16,13,17
2023,TOT,43,9,16,13,18
2023,NOTF,39,8,15,15,19
2023,ARS,37,8,13,17,20
2024,MANU,66,18,12,8,1
2024,FUL,62,17,11,10,2
2024,BOU,58,16,10,12,3
2024,NEW,58,17,7,14,4
2024,TOT,58,16,10,12,5
2024,ARS,56,16,8,14,6
2024,NOTF,56,14,14,10,7
2024,WOLV,53,14,11,13,8
2024,AVL,52,13,13,12,9
2024,LIVP,52,13,13,12,10
2024,LEIC,50,12,14,12,11
2024,CHE,46,11,13,14,12
2024,CRY,46,11,13,14,13
2024,IPS,46,9,19,10,14
2024,MANC,46,11,13,14,15
2024,EVE,45,10,15,13,16
2024,SOU,44,10,14,14,17
2024,WHU,44,9,17,12,18
2024,BHA,43,11,10,17,19
2024,BRNT,36,9,9,20,20
