league,season,team,first_half_win_pct,second_half_win_pct,n_first,n_second
MLB,1996,FLO,0.2593,0.1358,81,81
MLB,1996,HOU,0.2469,0.284,81,81
MLB,1996,KCA,0.1125,0.1111,80,81
MLB,1996,LAN,0.4444,0.4074,81,81
MLB,1996,MIL,0.2469,0.1975,81,81
MLB,1996,MIN,0.2346,0.1605,81,81
MLB,1996,MON,0.4074,0.3704,81,81
MLB,1996,NYA,0.4321,0.4815,81,81
MLB,1996,NYN,0.037,0.1111,81,81
MLB,1996,OAK,0.2222,0.0864,81,81
MLB,1996,PHI,0.0,0.0,81,81
MLB,1996,PIT,0.1358,0.0741,81,81
MLB,1996,SDN,0.4815,0.4321,81,81
MLB,1996,SEA,0.3875,0.2963,80,81
MLB,1996,SFN,0.037,0.037,81,81
MLB,1996,SLN,0.358,0.3457,81,81
MLB,1996,TEX,0.4568,0.3902,81,82
MLB,1996,TOR,0.0617,0.0864,81,81
MLB,1997,ANA,0.2963,0.3827,81,81
MLB,1997,ATL,0.4691,0.5309,81,81
MLB,1997,BAL,0.4691,0.5309,81,81
MLB,1997,BOS,0.1481,0.2346,81,81
MLB,1997,CHA,0.3125,0.3086,80,81
MLB,1997,CHN,0.037,0.0988,81,81
MLB,1997,CIN,0.1605,0.0988,81,81
MLB,1997,CLE,0.4,0.4074,80,81
MLB,1997,COL,0.2222,0.321,81,81
MLB,1997,DET,0.2469,0.2469,81,81
MLB,1997,FLO,0.3951,0.4568,81,81
MLB,1997,HOU,0.2963,0.358,81,81
MLB,1997,KCA,0.025,0.0494,80,81
MLB,1997,LAN,0.4815,0.284,81,81
MLB,1997,MIL,0.225,0.2346,80,81
MLB,1997,MIN,0.0741,0.0617,81,81
MLB,1997,MON,0.1975,0.1728,81,81
MLB,1997,NYA,0.4444,0.4321,81,81
MLB,1997,NYN,0.358,0.358,81,81
MLB,1997,OAK,0.0,0.0,81,81
MLB,1997,PHI,0.0,0.0,81,81
MLB,1997,PIT,0.2716,0.1728,81,81
MLB,1997,SDN,0.2099,0.0864,81,81
MLB,1997,SEA,0.4444,0.4321,81,81
MLB,1997,SFN,0.3951,0.4444,81,81
MLB,1997,SLN,0.0864,0.0864,81,81
MLB,1997,TEX,0.1605,0.1358,81,81
MLB,1997,TOR,0.1358,0.0617,81,81
MLB,1998,ANA,0.3704,0.2469,81,81
MLB,1998,ARI,0.0494,0.0,81,81
MLB,1998,ATL,0.5432,0.4321,81,81
MLB,1998,BAL,0.2222,0.2222,81,81
MLB,1998,BOS,0.4568,0.4691,81,81
MLB,1998,CHA,0.2716,0.2683,81,82
MLB,1998,CHN,0.4568,0.4146,81,82
MLB,1998,CIN,0.1605,0.3457,81,81
MLB,1998,CLE,0.3951,0.4321,81,81
MLB,1998,COL,0.1358,0.2346,81,81
MLB,1998,DET,0.0123,0.0494,81,81
MLB,1998,FLO,0.0,0.0,81,81
MLB,1998,HOU,0.4074,0.5185,81,81
MLB,1998,KCA,0.125,0.1235,80,81
MLB,1998,LAN,0.3086,0.284,81,81
MLB,1998,MIL,0.1728,0.0864,81,81
MLB,1998,MIN,0.0617,0.0864,81,81
MLB,1998,MON,0.037,0.1111,81,81
MLB,1998,NYA,0.4815,0.5185,81,81
MLB,1998,NYN,0.3827,0.358,81,81
MLB,1998,OAK,0.1728,0.1481,81,81
MLB,1998,PHI,0.1728,0.1975,81,81
MLB,1998,PIT,0.0864,0.0976,81,82
MLB,1998,SDN,0.4321,0.4568,81,81
MLB,1998,SEA,0.1875,0.1481,80,81
MLB,1998,SFN,0.3951,0.4146,81,82
MLB,1998,SLN,0.3086,0.3415,81,82
MLB,1998,TBA,0.0247,0.0,81,81
MLB,1998,TEX,0.3827,0.3704,81,81
MLB,1998,TOR,0.3333,0.3293,81,82
MLB,1999,ANA,0.1111,0.1605,81,81
MLB,1999,ARI,0.4691,0.4938,81,81
MLB,1999,ATL,0.5062,0.4938,81,81
MLB,1999,BAL,0.2593,0.2346,81,81
MLB,1999,BOS,0.3457,0.3951,81,81
MLB,1999,CHA,0.2099,0.1728,81,81
MLB,1999,CHN,0.037,0.0741,81,81
MLB,1999,CIN,0.2593,0.4268,81,82
MLB,1999,CLE,0.5556,0.3951,81,81
MLB,1999,COL,0.0864,0.0988,81,81
MLB,1999,DET,0.075,0.1111,80,81
MLB,1999,FLO,0.0,0.0,81,81
MLB,1999,HOU,0.4321,0.4198,81,81
MLB,1999,KCA,0.0375,0.037,80,81
MLB,1999,LAN,0.2963,0.2222,81,81
MLB,1999,MIL,0.1875,0.1111,80,81
MLB,1999,MIN,0.0,0.0,80,81
MLB,1999,MON,0.037,0.0741,81,81
MLB,1999,NYA,0.5309,0.4321,81,81
MLB,1999,NYN,0.3827,0.3902,81,82
MLB,1999,OAK,0.2963,0.4074,81,81
MLB,1999,PHI,0.1975,0.2222,81,81
MLB,1999,PIT,0.375,0.2469,80,81
MLB,1999,SDN,0.1235,0.1235,81,81
MLB,1999,SEA,0.2716,0.284,81,81
MLB,1999,SFN,0.3704,0.2963,81,81
MLB,1999,SLN,0.15,0.3333,80,81
MLB,1999,TBA,0.0988,0.0864,81,81
MLB,1999,TEX,0.358,0.4568,81,81
MLB,1999,TOR,0.358,0.2346,81,81
MLB,2000,ANA,0.284,0.1358,81,81
MLB,2000,ARI,0.3951,0.1852,81,81
MLB,2000,ATL,0.4074,0.4691,81,81
MLB,2000,BAL,0.1358,0.0864,81,81
MLB,2000,BOS,0.2963,0.2716,81,81
MLB,2000,CHA,0.4938,0.5062,81,81
MLB,2000,CHN,0.0,0.0,81,81
MLB,2000,CIN,0.3457,0.3537,81,82
MLB,2000,CLE,0.4074,0.4074,81,81
MLB,2000,COL,0.2222,0.2963,81,81
MLB,2000,DET,0.0988,0.284,81,81
MLB,2000,FLO,0.2125,0.2346,80,81
MLB,2000,HOU,0.1481,0.1605,81,81
MLB,2000,KCA,0.1852,0.2222,81,81
MLB,2000,LAN,0.321,0.4198,81,81
MLB,2000,MIL,0.1852,0.1707,81,82
MLB,2000,MIN,0.0,0.037,81,81
MLB,2000,MON,0.1481,0.0,81,81
MLB,2000,NYA,0.3125,0.3951,80,81
MLB,2000,NYN,0.4815,0.3457,81,81
MLB,2000,OAK,0.4375,0.4568,80,81
MLB,2000,PHI,0.0,0.037,81,81
MLB,2000,PIT,0.0741,0.1111,81,81
MLB,2000,SDN,0.1481,0.1975,81,81
MLB,2000,SEA,0.4568,0.3827,81,81
MLB,2000,SFN,0.5062,0.4938,81,81
MLB,2000,SLN,0.4815,0.4444,81,81
MLB,2000,TBA,0.0,0.0864,80,81
MLB,2000,TEX,0.1481,0.0,81,81
MLB,2000,TOR,0.2469,0.321,81,81
MLB,2001,ANA,0.1605,0.1481,81,81
