league,season,team,metric_name,metric_real,metric_skill,metric_luck,q_skill,luck_share
MLB,2010,all,spearman_r,0.4002,0.8965,-0.1441,0.5231,0.4769
MLB,2011,all,spearman_r,0.6561,0.9072,-0.2091,0.7751,0.2249
MLB,2012,all,spearman_r,0.3439,0.8695,0.6117,-1.0388,2.0388
MLB,2013,all,spearman_r,0.6531,0.9319,-0.1902,0.7515,0.2485
MLB,2014,all,spearman_r,0.3087,0.9328,-0.2535,0.4739,0.5261
MLB,2015,all,spearman_r,0.6251,0.8655,0.2271,0.6234,0.3766
MLB,2016,all,spearman_r,0.633,0.885,0.1817,0.6417,0.3583
MLB,2017,all,spearman_r,0.6766,0.8798,-0.2805,0.8249,0.1751
MLB,2018,all,spearman_r,0.605,0.9143,0.0713,0.6331,0.3669
MLB,2019,all,spearman_r,0.5941,0.9435,-0.0135,0.6349,0.3651
MLB,2020,all,spearman_r,0.5152,0.7109,0.0518,0.7031,0.2969
MLB,2021,all,spearman_r,0.5228,0.9194,-0.0893,0.6068,0.3932
MLB,2022,all,spearman_r,0.5998,0.9103,0.1722,0.5793,0.4207
MLB,2023,all,spearman_r,0.4032,0.9184,0.1904,0.2923,0.7077
MLB,2024,all,spearman_r,0.4094,0.9557,0.2238,0.2536,0.7464
NBA,1949,all,spearman_r,0.734,0.8847,0.2534,0.7613,0.2387
NBA,1950,all,spearman_r,0.843,0.9522,0.1876,0.8572,0.1428
NBA,1951,all,spearman_r,0.644,0.9025,-0.1415,0.7524,0.2476
NBA,1952,all,spearman_r,0.75,0.9451,-0.192,0.8284,0.1716
NBA,1953,all,spearman_r,0.7373,0.7647,-0.0464,0.9662,0.0338
NBA,1954,all,spearman_r,0.4546,0.9027,0.7091,-1.3146,2.3146
NBA,1955,all,spearman_r,0.0781,0.8796,0.0061,0.0824,0.9176
NBA,1956,all,spearman_r,-0.2822,0.9518,0.0788,-0.4135,1.4135
NBA,1957,all,spearman_r,0.482,0.9701,0.439,0.081,0.919
NBA,1958,all,spearman_r,0.7451,0.994,0.75,-0.0201,1.0201
NBA,1959,all,spearman_r,0.8735,0.8982,0.5309,0.9328,0.0672
NBA,1960,all,spearman_r,0.7186,0.9222,0.488,0.5311,0.4689
NBA,1961,all,spearman_r,0.928,0.954,0.4012,0.953,0.047
NBA,1962,all,spearman_r,0.8487,0.9916,0.4085,0.7549,0.2451
NBA,1963,all,spearman_r,0.8018,0.9493,-0.0515,0.8526,0.1474
NBA,1964,all,spearman_r,0.8565,0.9958,-0.2966,0.8922,0.1078
NBA,1965,all,spearman_r,0.7782,0.8403,0.1064,0.9154,0.0846
NBA,1966,all,spearman_r,0.6116,0.9725,-0.0311,0.6404,0.3596
NBA,1967,all,spearman_r,0.7236,0.8496,-0.0631,0.8619,0.1381
NBA,1968,all,spearman_r,0.7922,0.9323,-0.0251,0.8537,0.1463
NBA,1969,all,spearman_r,0.5784,0.9701,0.2867,0.4268,0.5732
NBA,1970,all,spearman_r,0.6239,0.9242,-0.0237,0.6832,0.3168
NBA,1971,all,spearman_r,0.8481,0.9753,-0.4477,0.9106,0.0894
NBA,1972,all,spearman_r,0.8801,0.9153,-0.0718,0.9643,0.0357
NBA,1973,all,spearman_r,0.8102,0.8958,0.3611,0.8399,0.1601
NBA,1974,all,spearman_r,0.6739,0.965,-0.3604,0.7804,0.2196
NBA,1975,all,spearman_r,0.4886,0.985,-0.1586,0.5659,0.4341
NBA,1976,all,spearman_r,0.5036,0.9427,0.0333,0.5172,0.4828
NBA,1977,all,spearman_r,0.5148,0.899,-0.0508,0.5955,0.4045
NBA,1978,all,spearman_r,0.478,0.9019,-0.0661,0.5621,0.4379
NBA,1979,all,spearman_r,0.9073,0.895,0.0286,1.0142,-0.0142
NBA,1980,all,spearman_r,0.8234,0.9167,0.281,0.8532,0.1468
NBA,1981,all,spearman_r,0.7595,0.9278,-0.0735,0.8319,0.1681
NBA,1982,all,spearman_r,0.7047,0.9417,-0.1528,0.7835,0.2165
NBA,1983,all,spearman_r,0.773,0.9547,-0.096,0.8271,0.1729
NBA,1984,all,spearman_r,0.6652,0.9398,0.2154,0.6209,0.3791
NBA,1985,all,spearman_r,0.6545,0.9291,-0.0053,0.7061,0.2939
NBA,1986,all,spearman_r,0.9094,0.9667,0.1958,0.9257,0.0743
NBA,1987,all,spearman_r,0.7325,0.9252,0.3181,0.6826,0.3174
NBA,1988,all,spearman_r,0.7933,0.9464,-0.1458,0.8598,0.1402
NBA,1989,all,spearman_r,0.8521,0.9311,0.0417,0.9112,0.0888
NBA,1990,all,spearman_r,0.7515,0.9108,-0.4185,0.8802,0.1198
NBA,1991,all,spearman_r,0.8012,0.9128,-0.3365,0.9107,0.0893
NBA,1992,all,spearman_r,0.6914,0.9616,0.1305,0.6749,0.3251
NBA,1993,all,spearman_r,0.787,0.9455,-0.0658,0.8433,0.1567
NBA,1994,all,spearman_r,0.8128,0.9526,0.0872,0.8385,0.1615
NBA,1995,all,spearman_r,0.8503,0.9299,-0.2956,0.935,0.065
NBA,1996,all,spearman_r,0.8622,0.881,-0.2064,0.9827,0.0173
NBA,1997,all,spearman_r,0.9417,0.9569,-0.1272,0.986,0.014
NBA,1998,all,spearman_r,0.6904,0.8532,-0.0956,0.8284,0.1716
NBA,1999,all,spearman_r,0.7878,0.8338,0.2822,0.9166,0.0834
NBA,2000,all,spearman_r,0.7366,0.8863,0.0324,0.8247,0.1753
NBA,2001,all,spearman_r,0.6596,0.8422,-0.3035,0.8406,0.1594
NBA,2002,all,spearman_r,0.629,0.9461,-0.1943,0.7219,0.2781
NBA,2003,all,spearman_r,0.6956,0.9026,-0.3031,0.8283,0.1717
NBA,2004,all,spearman_r,0.5721,0.9,-0.1024,0.6729,0.3271
NBA,2005,all,spearman_r,0.7803,0.9282,0.0375,0.834,0.166
NBA,2006,all,spearman_r,0.5961,0.8688,-0.1583,0.7345,0.2655
NBA,2007,all,spearman_r,0.8064,0.819,0.2678,0.9771,0.0229
NBA,2008,all,spearman_r,0.8654,0.8967,0.0438,0.9633,0.0367
NBA,2009,all,spearman_r,0.7426,0.8566,0.0087,0.8656,0.1344
NBA,2010,all,spearman_r,0.7474,0.8972,-0.1159,0.8521,0.1479
NBA,2011,all,spearman_r,0.6523,0.8794,0.1176,0.7019,0.2981
NBA,2012,all,spearman_r,0.7731,0.8551,-0.3533,0.9321,0.0679
NBA,2013,all,spearman_r,0.7544,0.9113,-0.116,0.8473,0.1527
NBA,2014,all,spearman_r,0.6333,0.8567,-0.0795,0.7614,0.2386
NBA,2015,all,spearman_r,0.7644,0.9055,0.0979,0.8253,0.1747
NBA,2016,all,spearman_r,0.6458,0.9079,-0.2343,0.7705,0.2295
NBA,2017,all,spearman_r,0.6027,0.9151,0.5589,0.123,0.877
NBA,2018,all,spearman_r,0.75,0.9,0.2123,0.7819,0.2181
NBA,2019,all,spearman_r,0.7461,0.8757,-0.0784,0.8642,0.1358
NBA,2020,all,spearman_r,0.7132,0.8899,0.0176,0.7974,0.2026
NBA,2021,all,spearman_r,0.5863,0.9031,-0.5117,0.7761,0.2239
NBA,2022,all,spearman_r,0.5791,0.9263,0.1782,0.5359,0.4641
NBA,2023,all,spearman_r,0.7155,0.8989,0.0067,0.7944,0.2056
NBA,2024,all,spearman_r,0.7555,0.8952,-0.0895,0.8581,0.1419
NFL,1966,all,spearman_r,0.5803,0.5632,0.0131,1.0311,-0.0311
NFL,1967,all,spearman_r,0.4976,0.5599,-0.1359,0.9105,0.0895
NFL,1968,all,spearman_r,0.7048,0.6746,-0.201,1.0345,-0.0345
NFL,1969,all,spearman_r,0.6497,0.5703,0.2677,1.2624,-0.2624
NFL,1970,all,spearman_r,0.437,0.5777,0.144,0.6756,0.3244
NFL,1971,all,spearman_r,0.4588,0.6784,0.2952,0.4269,0.5731
NFL,1972,all,spearman_r,0.6527,0.7673,-0.1879,0.88,0.12
NFL,1973,all,spearman_r,0.786,0.237,-0.2856,2.0505,-1.0505
NFL,1974,all,spearman_r,0.2489,0.631,0.2225,0.0646,0.9354
NFL,1975,all,spearman_r,0.6511,0.5813,0.0247,1.1254,-0.1254
NFL,1976,all,spearman_r,0.6294,0.5374,0.1619,1.245,-0.245
NFL,1977,all,spearman_r,0.5921,0.5141,0.0416,1.1651,-0.1651
NFL,1978,all,spearman_r,0.1651,0.4216,-0.1757,0.5706,0.4294
NFL,1979,all,spearman_r,0.5186,0.634,-0.1341,0.8498,0.1502
NFL,1980,all,spearman_r,0.7023,0.6923,0.1276,1.0177,-0.0177
NFL,1981,all,spearman_r,0.232,0.6656,-0.3091,0.5551,0.4449
NFL,1982,all,spearman_r,0.4727,0.1014,0.1232,-16.0321,17.0321
NFL,1983,all,spearman_r,0.2222,0.475,0.0902,0.343,0.657
NFL,1984,all,spearman_r,0.419,0.5812,0.0569,0.6906,0.3094
NFL,1985,all,spearman_r,0.6179,0.5406,0.3793,1.4792,-0.4792
NFL,1986,all,spearman_r,0.4276,0.6514,0.2898,0.3811,0.6189
NFL,1987,all,spearman_r,0.2365,0.4147,-0.0299,0.5992,0.4008
NFL,1988,all,spearman_r,0.4086,0.6292,0.1548,0.535,0.465
NFL,1989,all,spearman_r,0.3324,0.5453,0.0655,0.5563,0.4437
NFL,1990,all,spearman_r,0.6091,0.6741,0.419,0.7452,0.2548
NFL,1991,all,spearman_r,0.5375,0.7019,0.1139,0.7204,0.2796
NFL,1992,all,spearman_r,0.6619,0.7123,0.1618,0.9084,0.0916
NFL,1993,all,spearman_r,0.2972,0.7301,-0.0601,0.4522,0.5478
NFL,1994,all,spearman_r,0.2379,0.4301,-0.3084,0.7397,0.2603
NFL,1995,all,spearman_r,0.121,0.6913,0.0981,0.0386,0.9614
NFL,1996,all,spearman_r,0.3433,0.5995,-0.0594,0.6112,0.3888
NFL,1997,all,spearman_r,0.4262,0.4658,-0.1666,0.9374,0.0626
NFL,1998,all,spearman_r,0.6106,0.66,0.4301,0.7851,0.2149
NFL,1999,all,spearman_r,0.2367,0.704,0.025,0.3118,0.6882
NFL,2000,all,spearman_r,0.3662,0.6593,-0.0466,0.5848,0.4152
NFL,2001,all,spearman_r,0.6073,0.722,-0.0284,0.8471,0.1529
NFL,2002,all,spearman_r,0.2627,0.5199,0.0966,0.3924,0.6076
NFL,2003,all,spearman_r,0.485,0.7025,0.0915,0.644,0.356
NFL,2004,all,spearman_r,0.4728,0.6275,0.1635,0.6666,0.3334
NFL,2005,all,spearman_r,0.6082,0.6562,-0.1537,0.9407,0.0593
NFL,2006,all,spearman_r,0.2562,0.7214,-0.1713,0.4789,0.5211
NFL,2007,all,spearman_r,0.4398,0.7276,0.0598,0.569,0.431
NFL,2008,all,spearman_r,0.4329,0.6338,0.0172,0.6742,0.3258
NFL,2009,all,spearman_r,0.4291,0.6441,0.0953,0.6082,0.3918
NFL,2010,all,spearman_r,0.5877,0.6225,0.1095,0.9322,0.0678
NFL,2011,all,spearman_r,0.3561,0.6045,-0.062,0.6273,0.3727
NFL,2012,all,spearman_r,0.3255,0.6186,0.099,0.4359,0.5641
NFL,2013,all,spearman_r,0.3231,0.6685,-0.1207,0.5623,0.4377
NFL,2014,all,spearman_r,0.6662,0.5515,0.3068,1.4687,-0.4687
NFL,2015,all,spearman_r,0.3666,0.694,0.061,0.4828,0.5172
NFL,2016,all,spearman_r,0.6657,0.5272,-0.0279,1.2495,-0.2495
NFL,2017,all,spearman_r,0.6235,0.5473,-0.2983,1.0901,-0.0901
NFL,2018,all,spearman_r,0.2806,0.613,0.0885,0.3663,0.6337
NFL,2019,all,spearman_r,0.2496,0.5767,0.017,0.4156,0.5844
NFL,2020,all,spearman_r,0.6287,0.7378,0.3074,0.7465,0.2535
NFL,2021,all,spearman_r,0.2491,0.5663,-0.2476,0.6103,0.3897
NFL,2022,all,spearman_r,0.2027,0.6147,-0.0531,0.383,0.617
NFL,2023,all,spearman_r,0.3041,0.6654,-0.1993,0.5822,0.4178
NFL,2024,all,spearman_r,0.6697,0.665,0.2647,1.0117,-0.0117
MLB,1980,all,upset_frequency,0.4138,0.0,0.457,0.0945,0.9055
MLB,1981,all,upset_frequency,0.4103,0.0036,0.4362,0.0599,0.9401
MLB,1982,all,upset_frequency,0.4271,0.0,0.4537,0.0586,0.9414
MLB,1983,all,upset_frequency,0.422,0.0,0.4552,0.0729,0.9271
MLB,1984,all,upset_frequency,0.4413,0.0057,0.4703,0.0624,0.9376
MLB,1985,all,upset_frequency,0.4137,0.0,0.4494,0.0794,0.9206
MLB,1986,all,upset_frequency,0.4318,0.0,0.4503,0.0411,0.9589
MLB,1987,all,upset_frequency,0.439,0.0114,0.4656,0.0586,0.9414
MLB,1988,all,upset_frequency,0.4138,0.0057,0.4524,0.0864,0.9136
MLB,1989,all,upset_frequency,0.4307,0.0,0.462,0.0677,0.9323
MLB,1990,all,upset_frequency,0.4432,0.0,0.447,0.0085,0.9915
MLB,1991,all,upset_frequency,0.4434,0.0,0.4748,0.0661,0.9339
MLB,1992,all,upset_frequency,0.4274,0.0,0.4492,0.0485,0.9515
MLB,1993,all,upset_frequency,0.4187,0.0,0.4592,0.0882,0.9118
MLB,1994,all,upset_frequency,0.4325,0.0138,0.4431,0.0247,0.9753
MLB,1995,all,upset_frequency,0.4274,0.0084,0.4541,0.0599,0.9401
MLB,1996,all,upset_frequency,0.4349,0.0,0.4614,0.0574,0.9426
MLB,1997,all,upset_frequency,0.4422,0.0013,0.4629,0.0448,0.9552
MLB,1998,all,upset_frequency,0.4005,0.0045,0.4609,0.1323,0.8677
MLB,1999,all,upset_frequency,0.4069,0.0062,0.458,0.1131,0.8869
MLB,2000,all,upset_frequency,0.4294,0.0049,0.4566,0.0602,0.9398
MLB,2001,all,upset_frequency,0.4113,0.0276,0.4599,0.1124,0.8876
MLB,2002,all,upset_frequency,0.3986,0.0235,0.4678,0.1558,0.8442
MLB,2003,all,upset_frequency,0.4078,0.0202,0.4679,0.1342,0.8658
MLB,2004,all,upset_frequency,0.4053,0.0148,0.4568,0.1165,0.8835
MLB,2005,all,upset_frequency,0.4159,0.0214,0.4599,0.1003,0.8997
MLB,2006,all,upset_frequency,0.436,0.0247,0.4492,0.0311,0.9689
MLB,2007,all,upset_frequency,0.4303,0.0288,0.448,0.0422,0.9578
MLB,2008,all,upset_frequency,0.4205,0.0198,0.4605,0.0908,0.9092
MLB,2009,all,upset_frequency,0.4185,0.0255,0.4333,0.0363,0.9637
MLB,2010,all,upset_frequency,0.4272,0.0305,0.4724,0.1023,0.8977
MLB,2011,all,upset_frequency,0.4245,0.0111,0.4743,0.1075,0.8925
MLB,2012,all,upset_frequency,0.4165,0.0263,0.4465,0.0714,0.9286
MLB,2013,all,upset_frequency,0.4204,0.0185,0.4484,0.0651,0.9349
MLB,2014,all,upset_frequency,0.4387,0.0202,0.458,0.0441,0.9559
MLB,2015,all,upset_frequency,0.4175,0.0325,0.4529,0.0842,0.9158
MLB,2016,all,upset_frequency,0.4259,0.0111,0.4555,0.0666,0.9334
MLB,2017,all,upset_frequency,0.4251,0.0206,0.4617,0.083,0.917
MLB,2018,all,upset_frequency,0.4015,0.0177,0.4447,0.1012,0.8988
MLB,2019,all,upset_frequency,0.3948,0.0239,0.4632,0.1557,0.8443
MLB,2020,all,upset_frequency,0.392,0.0122,0.4254,0.0808,0.9192
MLB,2021,all,upset_frequency,0.4035,0.0177,0.4541,0.1159,0.8841
MLB,2022,all,upset_frequency,0.4029,0.0218,0.4588,0.1279,0.8721
MLB,2023,all,upset_frequency,0.4091,0.0214,0.465,0.126,0.874
MLB,2024,all,upset_frequency,0.4129,0.0074,0.4553,0.0947,0.9053
NBA,1949,all,upset_frequency,0.2906,0.0107,0.4153,0.3082,0.6918
NBA,1950,all,upset_frequency,0.3955,0.0,0.4237,0.0666,0.9334
NBA,1951,all,upset_frequency,0.3879,0.0,0.4394,0.1172,0.8828
NBA,1952,all,upset_frequency,0.2841,0.0,0.4403,0.3548,0.6452
NBA,1953,all,upset_frequency,0.3426,0.0,0.4352,0.2128,0.7872
NBA,1954,all,upset_frequency,0.4271,0.0,0.3924,-0.0884,1.0884
NBA,1955,all,upset_frequency,0.4375,0.0,0.4653,0.0597,0.9403
NBA,1956,all,upset_frequency,0.4236,0.0312,0.4132,-0.0272,1.0272
NBA,1957,all,upset_frequency,0.3889,0.0,0.4306,0.0968,0.9032
NBA,1958,all,upset_frequency,0.3333,0.0,0.4201,0.2066,0.7934
NBA,1959,all,upset_frequency,0.2967,0.0,0.4367,0.3206,0.6794
NBA,1960,all,upset_frequency,0.3323,0.0,0.4146,0.1985,0.8015
NBA,1961,all,upset_frequency,0.3139,0.0,0.4333,0.2756,0.7244
NBA,1962,all,upset_frequency,0.325,0.0,0.4389,0.2595,0.7405
NBA,1963,all,upset_frequency,0.325,0.0,0.4528,0.2822,0.7178
NBA,1964,all,upset_frequency,0.3278,0.0,0.4806,0.3179,0.6821
NBA,1965,all,upset_frequency,0.3306,0.0,0.4528,0.2699,0.7301
NBA,1966,all,upset_frequency,0.3235,0.0,0.442,0.2681,0.7319
NBA,1967,all,upset_frequency,0.3211,0.0,0.439,0.2686,0.7314
NBA,1968,all,upset_frequency,0.3328,0.0,0.4652,0.2846,0.7154
NBA,1969,all,upset_frequency,0.3798,0.0,0.453,0.1616,0.8384
NBA,1970,all,upset_frequency,0.3314,0.0115,0.4175,0.2121,0.7879
NBA,1971,all,upset_frequency,0.2869,0.0,0.4548,0.3692,0.6308
NBA,1972,all,upset_frequency,0.2726,0.0,0.4591,0.4062,0.5938
NBA,1973,all,upset_frequency,0.3472,0.0,0.4261,0.1852,0.8148
NBA,1974,all,upset_frequency,0.3875,0.0108,0.4607,0.1627,0.8373
NBA,1975,all,upset_frequency,0.3618,0.0108,0.439,0.1803,0.8197
NBA,1976,all,upset_frequency,0.3803,0.0,0.4357,0.1272,0.8728
NBA,1977,all,upset_frequency,0.3769,0.0,0.4279,0.1192,0.8808
NBA,1978,all,upset_frequency,0.4002,0.0,0.4435,0.0976,0.9024
NBA,1979,all,upset_frequency,0.347,0.0089,0.4545,0.2412,0.7588
NBA,1980,all,upset_frequency,0.316,0.0085,0.4337,0.2768,0.7232
NBA,1981,all,upset_frequency,0.334,0.0148,0.4464,0.2604,0.7396
NBA,1982,all,upset_frequency,0.3097,0.0021,0.4517,0.3158,0.6842
NBA,1983,all,upset_frequency,0.3648,0.017,0.4252,0.148,0.852
NBA,1984,all,upset_frequency,0.3404,0.0021,0.4486,0.2423,0.7577
NBA,1985,all,upset_frequency,0.334,0.0127,0.4454,0.2575,0.7425
NBA,1986,all,upset_frequency,0.3245,0.0064,0.4146,0.2207,0.7793
NBA,1987,all,upset_frequency,0.3181,0.0085,0.4305,0.2664,0.7336
NBA,1988,all,upset_frequency,0.3171,0.0195,0.4429,0.2971,0.7029
NBA,1989,all,upset_frequency,0.2981,0.0072,0.4481,0.3402,0.6598
NBA,1990,all,upset_frequency,0.3216,0.0054,0.439,0.2708,0.7292
NBA,1991,all,upset_frequency,0.3089,0.009,0.4616,0.3374,0.6626
NBA,1992,all,upset_frequency,0.3243,0.0108,0.4201,0.2341,0.7659
NBA,1993,all,upset_frequency,0.2927,0.0072,0.4219,0.3116,0.6884
NBA,1994,all,upset_frequency,0.3044,0.0072,0.4372,0.3088,0.6912
NBA,1995,all,upset_frequency,0.3019,0.0017,0.4584,0.3427,0.6573
NBA,1996,all,upset_frequency,0.2666,0.0067,0.4643,0.432,0.568
NBA,1997,all,upset_frequency,0.2826,0.0084,0.45,0.3791,0.6209
NBA,1998,all,upset_frequency,0.3103,0.0124,0.4124,0.2552,0.7448
NBA,1999,all,upset_frequency,0.307,0.0067,0.4474,0.3186,0.6814
NBA,2000,all,upset_frequency,0.3179,0.0168,0.4357,0.2812,0.7188
NBA,2001,all,upset_frequency,0.3406,0.0118,0.4474,0.2452,0.7548
NBA,2002,all,upset_frequency,0.3423,0.0135,0.4441,0.2364,0.7636
NBA,2003,all,upset_frequency,0.3482,0.0202,0.4601,0.2544,0.7456
NBA,2004,all,upset_frequency,0.3179,0.0098,0.4488,0.2982,0.7018
NBA,2005,all,upset_frequency,0.339,0.0081,0.439,0.2321,0.7679
NBA,2006,all,upset_frequency,0.3528,0.0049,0.4447,0.209,0.791
NBA,2007,all,upset_frequency,0.3041,0.0146,0.4276,0.299,0.701
NBA,2008,all,upset_frequency,0.3081,0.0098,0.4455,0.3154,0.6846
NBA,2009,all,upset_frequency,0.3024,0.0049,0.426,0.2935,0.7065
NBA,2010,all,upset_frequency,0.3114,0.0098,0.426,0.2753,0.7247
NBA,2011,all,upset_frequency,0.3061,0.0111,0.4333,0.3013,0.6987
NBA,2012,all,upset_frequency,0.3181,0.0065,0.4296,0.2635,0.7365
NBA,2013,all,upset_frequency,0.3228,0.013,0.439,0.2728,0.7272
NBA,2014,all,upset_frequency,0.2984,0.0098,0.4488,0.3426,0.6574
NBA,2015,all,upset_frequency,0.2935,0.0065,0.435,0.3302,0.6698
NBA,2016,all,upset_frequency,0.3528,0.0081,0.4447,0.2105,0.7895
NBA,2017,all,upset_frequency,0.322,0.0033,0.4293,0.2519,0.7481
NBA,2018,all,upset_frequency,0.3388,0.0081,0.421,0.1991,0.8009
NBA,2019,all,upset_frequency,0.3211,0.0151,0.424,0.2517,0.7483
NBA,2020,all,upset_frequency,0.3417,0.0037,0.4361,0.2183,0.7817
NBA,2021,all,upset_frequency,0.3398,0.0065,0.4585,0.2626,0.7374
NBA,2022,all,upset_frequency,0.3602,0.0049,0.4341,0.1722,0.8278
NBA,2023,all,upset_frequency,0.3274,0.0122,0.4362,0.2566,0.7434
NBA,2024,all,upset_frequency,0.3071,0.0049,0.446,0.3149,0.6851
NFL,1966,all,upset_frequency,0.25,0.0,0.3929,0.3637,0.6363
NFL,1967,all,upset_frequency,0.2057,0.0057,0.3943,0.4853,0.5147
NFL,1968,all,upset_frequency,0.1758,0.0055,0.3681,0.5303,0.4697
NFL,1969,all,upset_frequency,0.1758,0.0165,0.3132,0.4631,0.5369
NFL,1970,all,upset_frequency,0.2088,0.0385,0.2967,0.3404,0.6596
NFL,1971,all,upset_frequency,0.2747,0.022,0.3462,0.2205,0.7795
NFL,1972,all,upset_frequency,0.2033,0.022,0.4066,0.5286,0.4714
NFL,1973,all,upset_frequency,0.2253,0.022,0.3681,0.4126,0.5874
NFL,1974,all,upset_frequency,0.2802,0.011,0.3516,0.2096,0.7904
NFL,1975,all,upset_frequency,0.2527,0.0165,0.3352,0.2589,0.7411
NFL,1976,all,upset_frequency,0.1786,0.0255,0.3163,0.4735,0.5265
NFL,1977,all,upset_frequency,0.2449,0.0051,0.3929,0.3816,0.6184
NFL,1978,all,upset_frequency,0.2902,0.0268,0.3527,0.1918,0.8082
NFL,1979,all,upset_frequency,0.308,0.0179,0.3973,0.2354,0.7646
NFL,1980,all,upset_frequency,0.3036,0.0089,0.3348,0.0957,0.9043
NFL,1981,all,upset_frequency,0.2768,0.0268,0.4107,0.3488,0.6512
NFL,1982,all,upset_frequency,0.246,0.0238,0.3016,0.2001,0.7999
NFL,1983,all,upset_frequency,0.3393,0.0223,0.375,0.1012,0.8988
NFL,1984,all,upset_frequency,0.2634,0.0179,0.3705,0.3037,0.6963
NFL,1985,all,upset_frequency,0.2634,0.0357,0.3125,0.1774,0.8226
NFL,1986,all,upset_frequency,0.25,0.0268,0.3393,0.2858,0.7142
NFL,1987,all,upset_frequency,0.3095,0.0417,0.3631,0.1668,0.8332
NFL,1988,all,upset_frequency,0.2812,0.0089,0.3348,0.1645,0.8355
NFL,1989,all,upset_frequency,0.3125,0.0402,0.3705,0.1756,0.8244
NFL,1990,all,upset_frequency,0.2857,0.0268,0.3393,0.1715,0.8285
NFL,1991,all,upset_frequency,0.2277,0.0089,0.3705,0.3949,0.6051
NFL,1992,all,upset_frequency,0.2723,0.0134,0.375,0.284,0.716
NFL,1993,all,upset_frequency,0.317,0.0179,0.3839,0.1828,0.8172
NFL,1994,all,upset_frequency,0.2768,0.0179,0.3393,0.1945,0.8055
NFL,1995,all,upset_frequency,0.3333,0.025,0.3583,0.075,0.925
NFL,1996,all,upset_frequency,0.3208,0.0292,0.3625,0.1251,0.8749
NFL,1997,all,upset_frequency,0.3042,0.0333,0.3708,0.1973,0.8027
NFL,1998,all,upset_frequency,0.2667,0.0083,0.3625,0.2705,0.7295
NFL,1999,all,upset_frequency,0.3306,0.0202,0.3468,0.0496,0.9504
NFL,2000,all,upset_frequency,0.2944,0.0282,0.3468,0.1645,0.8355
NFL,2001,all,upset_frequency,0.2702,0.0161,0.3831,0.3076,0.6924
NFL,2002,all,upset_frequency,0.3125,0.0156,0.3555,0.1265,0.8735
NFL,2003,all,upset_frequency,0.25,0.0039,0.3398,0.2673,0.7327
NFL,2004,all,upset_frequency,0.2773,0.0156,0.3516,0.2211,0.7789
NFL,2005,all,upset_frequency,0.2617,0.0273,0.3477,0.2684,0.7316
NFL,2006,all,upset_frequency,0.2852,0.0156,0.3633,0.2246,0.7754
NFL,2007,all,upset_frequency,0.2461,0.0273,0.3711,0.3636,0.6364
NFL,2008,all,upset_frequency,0.2695,0.0117,0.3555,0.2501,0.7499
NFL,2009,all,upset_frequency,0.2539,0.0078,0.3945,0.3636,0.6364
NFL,2010,all,upset_frequency,0.3008,0.0195,0.3711,0.1999,0.8001
