season,team,actual_rank,simulated_rank_1,simulated_rank_2,simulated_rank_3,simulated_rank_4,simulated_rank_5,simulated_rank_6,simulated_rank_7,simulated_rank_8,simulated_rank_9,simulated_rank_10
2006,ROM,2,9,8,15,8,16,1,20,14,8,18
2006,FIO,3,6,1,17,17,14,11,10,10,15,7
2006,MIL,4,13,3,9,15,10,2,9,18,1,1
2006,LAZ,5,2,14,14,9,13,8,19,7,13,9
2006,PAL,6,5,4,3,10,5,19,11,12,10,10
2006,EMP,7,7,18,6,2,7,10,7,13,7,20
2006,REG,8,19,19,2,5,6,6,17,5,4,13
2006,ATA,9,20,17,7,18,12,14,6,17,16,12
2006,SAM,10,14,2,13,13,4,15,3,19,2,8
2006,UDI,11,12,20,5,1,3,7,8,8,20,3
2006,LIVO,12,18,16,8,7,9,4,1,1,14,6
2006,PAR,13,10,15,11,19,18,5,4,15,5,19
2006,SIE,14,17,9,20,3,8,17,5,11,3,5
2006,CAT,15,16,13,10,4,1,13,2,9,11,11
2006,CAG,16,3,5,18,14,2,3,12,2,12,4
2006,TOR,17,1,10,4,12,17,20,14,3,9,15
2006,CHI,18,4,12,16,16,15,16,15,6,19,16
2006,ASC,19,8,11,12,6,19,18,18,20,17,14
2006,MES,20,15,6,19,11,20,12,13,4,6,17
2007,INT,1,11,18,2,11,15,14,13,16,11,19
2007,ROM,2,15,9,14,7,2,12,10,17,19,13
2007,JUV,3,3,20,17,4,20,16,3,2,5,5
2007,FIO,4,17,19,9,6,7,8,14,6,1,16
2007,MIL,5,13,7,12,13,9,18,19,12,13,15
2007,SAM,6,14,15,19,14,10,19,8,3,7,10
2007,UDI,7,19,6,18,9,8,4,15,9,18,2
2007,NAP,8,9,10,4,2,5,1,7,19,3,9
2007,ATA,9,4,5,15,3,13,20,6,1,17,12
2007,GEN,10,8,12,16,17,11,7,4,15,4,6
2007,PAL,11,20,3,20,18,12,6,17,20,20,1
2007,LAZ,12,6,17,7,12,19,2,5,13,8,11
2007,SIE,13,16,13,13,10,17,9,16,5,15,7
2007,CAG,14,10,16,1,8,16,5,11,14,9,17
2007,TOR,15,12,1,3,5,18,13,20,11,2,4
2007,REG,16,5,11,5,19,4,15,1,8,16,3
2007,CAT,17,1,14,6,1,3,11,12,4,10,14
2007,EMP,18,2,4,10,16,14,3,18,7,14,18
2007,PAR,19,7,8,8,20,6,17,2,10,12,20
2007,LIVO,20,18,2,11,15,1,10,9,18,6,8
2008,INT,1,6,12,6,17,7,4,11,7,16,1
2008,MIL,2,8,4,17,20,18,10,18,2,8,15
2008,JUV,3,10,14,19,9,20,7,8,12,1,20
2008,GEN,4,14,17,20,15,14,12,14,11,14,4
2008,FIO,5,18,1,5,7,8,2,12,19,2,7
2008,ROM,6,12,13,3,1,13,13,13,6,9,10
2008,UDI,7,16,7,10,13,17,5,3,9,7,11
2008,PAL,8,13,8,8,2,16,16,5,13,18,8
2008,CAG,9,3,2,4,3,3,3,16,10,17,2
2008,LAZ,10,9,15,18,12,19,8,10,5,6,19
2008,ATA,11,2,18,15,8,9,20,7,17,19,18
2008,NAP,12,17,16,7,18,12,9,1,1,20,17
2008,SAM,13,4,9,11,16,10,1,20,16,10,5
2008,SIE,14,7,3,12,10,6,14,15,20,5,16
2008,CAT,15,1,20,1,19,11,15,2,8,15,6
2008,CHI,16,5,5,9,6,15,11,4,3,3,14
2008,BOLG,17,15,19,2,4,5,6,9,4,12,12
2008,TOR,18,11,10,13,5,2,18,6,14,11,13
2008,REG,19,20,11,14,14,4,19,17,15,4,3
2008,LEC,20,19,6,16,11,1,17,19,18,13,9
2009,INT,1,1,15,20,7,18,15,6,16,14,17
2009,ROM,2,5,14,17,9,20,2,5,2,15,3
2009,MIL,3,3,13,16,6,14,18,16,1,10,7
2009,SAM,4,15,8,7,14,17,17,20,19,6,10
2009,PAL,5,9,11,9,11,10,9,15,3,9,5
2009,NAP,6,16,16,4,15,1,20,8,20,12,8
2009,JUV,7,11,6,1,20,15,16,14,5,2,4
2009,PAR,8,18,9,14,17,8,5,13,4,19,20
2009,GEN,9,19,1,12,18,4,14,9,6,20,6
2009,BARI,10,4,4,8,5,2,4,4,10,16,14
2009,FIO,11,8,7,10,3,16,12,3,18,18,19
2009,LAZ,12,10,5,3,19,13,11,7,15,17,1
2009,CAT,13,7,17,11,1,11,6,18,9,5,12
2009,CAG,14,20,10,5,13,7,1,17,8,4,2
2009,UDI,15,6,3,15,2,9,10,11,11,8,16
2009,CHI,16,14,12,6,16,19,13,19,14,7,11
2009,BOLG,17,17,19,18,12,5,8,10,7,3,15
2009,ATA,18,13,20,2,4,3,3,1,13,1,18
2009,SIE,19,12,18,13,10,6,7,12,17,11,9
2009,LIVO,20,2,2,19,8,12,19,2,12,13,13
2010,MIL,1,19,3,19,5,10,12,3,10,19,9
2010,INT,2,12,16,9,1,12,8,12,15,15,19
2010,NAP,3,10,15,20,11,4,4,17,3,3,12
2010,UDI,4,1,2,13,6,13,14,11,5,5,6
2010,LAZ,5,18,20,14,17,16,20,13,20,16,15
2010,ROM,6,11,1,4,18,20,5,16,2,2,18
2010,JUV,7,13,19,7,14,17,15,19,8,14,2
2010,PAL,8,4,7,12,20,5,2,5,4,8,17
2010,FIO,9,15,6,3,19,11,17,15,19,7,11
2010,GEN,10,2,10,10,15,6,18,7,7,20,14
2010,CHI,11,20,14,8,10,14,1,4,13,12,1
2010,PAR,12,9,18,11,7,19,16,10,6,13,20
2010,CAT,13,17,4,15,2,1,11,2,16,4,13
2010,CAG,14,3,8,16,13,18,10,9,1,10,7
2010,BOLG,15,16,13,2,9,9,19,1,14,6,8
2010,CES,16,14,5,1,3,15,13,14,12,17,3
2010,LEC,17,7,12,5,16,7,9,20,17,11,10
2010,SAM,18,5,9,6,4,8,7,6,18,18,4
2010,BRES,19,6,11,18,8,2,6,8,11,9,5
2010,BARI,20,8,17,17,12,3,3,18,9,1,16
2011,JUV,1,16,2,17,11,16,4,4,5,14,19
2011,MIL,2,17,4,3,14,19,8,13,14,7,11
2011,UDI,3,5,1,6,20,18,19,16,4,1,14
2011,LAZ,4,20,11,9,1,13,5,18,13,16,9
2011,NAP,5,9,19,19,6,3,18,14,6,9,4
2011,INT,6,3,14,7,3,7,13,7,18,6,2
2011,ROM,7,12,17,10,17,14,9,12,17,20,20
2011,PAR,8,15,13,1,8,11,10,1,20,13,17
2011,ATA,9,13,9,15,2,1,1,6,19,8,12
2011,BOLG,10,14,20,14,13,4,2,8,8,3,16
2011,CHI,11,19,16,16,18,17,6,19,15,10,18
2011,CAT,12,18,10,2,10,5,14,20,1,15,5
2011,FIO,13,7,3,11,15,8,17,11,7,5,6
2011,SIE,14,4,15,5,7,2,3,9,2,17,13
2011,CAG,15,8,18,13,16,10,20,3,3,11,7
2011,PAL,16,11,12,8,9,12,15,17,9,12,1
2011,GEN,17,6,6,12,12,15,7,15,12,19,3
2011,LEC,18,10,7,18,19,6,16,2,10,4,8
2011,NOV,19,2,5,20,5,9,12,10,16,18,10
2011,CES,20,1,8,4,4,20,11,5,11,2,15
2012,JUV,1,2,20,13,12,17,10,3,4,2,20
2012,NAP,2,16,5,4,13,5,9,8,12,15,11
2012,MIL,3,14,10,19,6,4,4,9,19,12,12
2012,FIO,4,19,15,9,10,20,6,4,17,1,14
2012,UDI,5,15,8,2,7,1,20,17,5,8,5
2012,ROM,6,18,1,20,9,3,2,6,20,5,10
2012,LAZ,7,20,14,8,3,18,13,18,9,19,18
2012,CAT,8,1,12,12,20,19,3,2,16,7,13
2012,INT,9,17,17,18,19,8,19,1,15,14,16
2012,PAR,10,3,18,10,11,15,14,16,1,17,2
2012,CAG,11,9,16,3,14,16,12,13,11,20,1
2012,CHI,12,6,13,11,5,13,16,19,3,13,19
2012,BOLG,13,13,11,17,2,12,8,10,7,18,9
2012,SAM,14,11,4,7,17,11,5,5,14,6,15
2012,ATA,15,12,6,14,8,10,18,20,10,3,17
2012,TOR,16,10,19,16,16,6,15,14,18,10,6
2012,GEN,17,8,7,15,18,2,1,12,6,11,8
2012,SIE,18,5,3,6,15,7,7,11,13,4,3
2012,PAL,19,7,9,1,1,14,17,15,8,16,4
2012,PES,20,4,2,5,4,9,11,7,2,9,7
2013,JUV,1,16,19,8,6,14,10,8,16,14,18
2013,ROM,2,15,17,18,17,19,14,1,11,11,8
2013,NAP,3,12,11,15,4,5,8,6,17,5,3
2013,FIO,4,17,13,19,18,3,2,13,20,2,7
2013,INT,5,10,7,9,1,9,12,18,18,16,4
2013,PAR,6,7,8,17,12,15,3,9,12,8,12
2013,TOR,7,6,20,6,9,12,9,15,4,13,19
2013,MIL,8,18,6,3,13,8,18,11,13,1,15
2013,LAZ,9,3,3,11,15,16,17,7,10,9,5
2013,VER,10,14,4,7,2,13,7,20,8,18,9
2013,ATA,11,19,9,10,19,4,20,3,6,7,14
2013,SAM,12,20,12,12,3,7,6,4,19,15,13
2013,GEN,13,5,10,16,8,11,15,14,15,4,17
2013,UDI,14,11,18,4,7,2,5,17,7,19,2
2013,CAG,15,1,14,5,16,6,13,10,1,3,16
2013,CHI,16,2,15,14,14,17,4,2,5,17,6
2013,SAS,17,4,16,1,11,10,11,12,14,10,11
2013,CAT,18,13,2,13,5,1,19,5,9,20,20
2013,BOLG,19,9,1,20,10,20,1,19,2,12,1
2013,LIVO,20,8,5,2,20,18,16,16,3,6,10
2014,JUV,1,5,3,17,17,10,4,17,19,17,4
2014,ROM,2,16,1,4,13,3,6,2,17,18,16
2014,LAZ,3,6,9,1,20,6,9,14,20,9,12
2014,FIO,4,7,5,5,10,14,14,20,15,19,11
2014,NAP,5,20,20,9,2,1,7,11,14,1,17
2014,GEN,6,17,14,19,19,20,1,13,8,2,13
2014,SAM,7,15,13,3,18,8,11,10,12,10,7
2014,INT,8,1,19,11,14,19,8,5,16,14,20
2014,TOR,9,8,11,7,15,16,13,16,10,3,14
2014,MIL,10,3,2,16,12,11,15,6,5,11,19
2014,PAL,11,13,16,14,3,2,5,18,7,4,18
2014,SAS,12,12,6,12,6,17,12,15,9,13,9
2014,VER,13,19,17,8,7,13,20,1,6,20,3
2014,CHI,14,18,18,6,4,9,3,12,11,8,10
2014,EMP,15,10,15,13,1,15,16,8,18,6,6
2014,UDI,16,11,7,18,5,12,2,3,2,5,5
2014,ATA,17,4,10,2,11,4,17,7,1,16,2
2014,CAG,18,9,8,20,16,18,10,4,4,12,15
2014,PAR,19,2,12,10,9,7,18,9,3,15,8
2014,CES,20,14,4,15,8,5,19,19,13,7,1
2015,JUV,1,3,3,2,5,10,12,13,7,1,13
2015,NAP,2,20,14,6,19,3,9,7,8,20,7
2015,ROM,3,1,8,9,6,17,16,2,15,16,8
2015,INT,4,9,5,10,4,18,18,16,3,8,10
2015,FIO,5,11,7,4,8,4,5,9,13,3,1
2015,SAS,6,7,11,16,11,2,3,11,16,2,5
2015,MIL,7,12,4,17,17,15,17,8,19,14,14
2015,LAZ,8,15,18,19,13,13,13,6,18,5,17
2015,CHI,9,14,9,8,15,11,20,1,5,12,3
2015,GEN,10,16,20,12,12,20,2,20,2,11,12
2015,EMP,11,6,17,7,14,16,1,4,4,13,4
2015,TOR,12,13,1,11,20,5,11,14,6,19,18
2015,ATA,13,19,16,3,1,7,15,12,12,9,19
2015,BOLG,14,17,10,15,7,1,4,15,9,7,9
2015,SAM,15,4,15,18,18,8,19,17,1,18,20
2015,UDI,16,10,6,14,3,14,6,19,11,15,16
2015,PAL,17,2,13,13,16,6,8,5,17,4,6
2015,CARP,18,8,19,20,9,9,7,10,20,10,15
2015,FRO,19,5,12,1,2,19,14,3,14,6,11
2015,VER,20,18,2,5,10,12,10,18,10,17,2
2016,JUV,1,20,5,18,17,15,6,5,19,5,13
2016,ROM,2,17,19,2,8,14,14,20,13,15,9
2016,NAP,3,18,8,14,14,11,13,8,9,14,14
2016,ATA,4,12,15,9,15,5,9,3,10,18,15
2016,LAZ,5,8,6,16,2,1,16,16,15,7,19
2016,MIL,6,13,4,20,9,9,12,14,12,20,18
2016,INT,7,1,2,17,4,4,19,2,6,6,16
2016,FIO,8,6,7,7,16,17,8,4,2,19,8
2016,TOR,9,10,10,1,10,6,20,7,11,16,11
2016,SAM,10,7,17,13,19,18,11,1,7,17,10
2016,CAG,11,3,9,3,7,7,7,13,14,12,4
2016,SAS,12,15,12,19,5,20,17,9,17,10,20
2016,UDI,13,9,16,5,13,8,15,12,4,13,17
2016,CHI,14,2,1,4,12,16,4,15,18,3,5
2016,BOLG,15,14,14,12,1,10,5,11,1,2,1
2016,GEN,16,16,20,6,3,19,1,18,5,4,7
2016,CRO,17,19,3,8,18,13,18,6,8,8,12
2016,EMP,18,11,13,10,6,2,3,10,20,1,2
2016,PAL,19,5,11,11,11,3,10,17,3,11,6
2016,PES,20,4,18,15,20,12,2,19,16,9,3
2017,JUV,1,10,8,12,5,16,2,17,13,15,15
2017,NAP,2,17,1,20,10,5,9,14,5,20,4
2017,ROM,3,13,2,18,20,2,10,5,7,2,6
2017,LAZ,4,9,7,16,9,17,13,3,16,3,12
2017,INT,5,19,14,9,15,14,12,1,11,9,1
2017,MIL,6,1,11,10,18,3,8,4,4,13,7
2017,ATA,7,11,15,11,17,20,18,13,10,10,10
2017,FIO,8,7,10,7,1,18,5,12,14,4,5
2017,TOR,9,12,18,6,8,10,17,19,19,18,20
2017,SAM,10,4,13,13,13,13,15,9,8,1,8
2017,SAS,11,8,12,14,6,15,7,10,18,19,11
2017,GEN,12,14,19,19,14,8,11,16,6,7,2
2017,UDI,13,20,5,15,2,12,6,18,2,17,17
2017,CHI,14,18,16,3,11,4,14,20,3,6,9
2017,BOLG,15,16,17,17,12,7,4,15,9,16,16
2017,CAG,16,15,9,8,19,11,19,8,12,14,3
2017,SPA,17,5,20,4,7,9,20,7,17,12,14
2017,CRO,18,3,4,2,16,6,16,2,20,11,18
2017,VER,19,2,6,5,4,1,3,6,1,8,13
2017,BEN,20,6,3,1,3,19,1,11,15,5,19
2018,JUV,1,16,9,17,5,10,7,18,13,14,5
2018,NAP,2,1,16,13,14,8,14,2,16,12,19
2018,ATA,3,19,5,4,11,16,15,3,20,5,16
2018,INT,4,2,18,8,16,1,5,5,15,1,9
2018,MIL,5,6,15,6,4,11,4,11,9,16,15
2018,ROM,6,4,20,2,7,18,19,13,7,11,8
2018,TOR,7,11,14,3,20,15,2,17,6,20,6
2018,LAZ,8,15,13,1,15,3,1,8,4,4,18
2018,SAM,9,5,11,11,19,5,12,14,5,6,10
2018,BOLG,10,18,8,18,8,14,16,1,11,8,11
2018,SAS,11,3,6,9,10,12,20,9,12,17,2
2018,UDI,12,17,3,12,13,4,13,20,8,18,7
2018,SPA,13,8,4,16,1,2,3,4,10,10,14
2018,FIO,14,12,2,20,3,7,17,10,1,15,13
2018,CAG,15,13,1,19,12,6,8,19,19,13,1
2018,PAR,16,20,10,10,6,13,10,7,18,3,3
2018,GEN,17,10,19,7,9,9,18,16,3,9,17
2018,EMP,18,14,7,15,18,20,9,6,2,2,4
2018,FRO,19,7,17,14,17,17,6,15,17,7,12
2018,CHI,20,9,12,5,2,19,11,12,14,19,20
2019,JUV,1,20,13,19,3,1,18,2,16,13,3
2019,INT,2,11,14,1,5,11,11,4,7,10,4
2019,ATA,3,3,18,17,8,12,7,10,18,7,9
2019,LAZ,4,10,9,9,18,10,13,13,12,5,6
2019,ROM,5,9,8,8,11,4,2,14,20,19,13
2019,MIL,6,12,5,6,15,18,4,20,5,3,8
2019,NAP,7,6,11,2,20,6,8,5,14,17,7
2019,SAS,8,15,15,14,19,19,3,17,4,9,2
2019,FIO,9,5,2,3,6,16,1,16,13,14,10
2019,PAR,10,4,12,4,7,14,17,6,1,2,1
2019,VER,11,19,20,7,1,15,16,12,19,6,18
2019,BOLG,12,16,7,18,10,17,19,11,9,8,19
2019,CAG,13,18,3,13,4,13,5,1,8,12,16
2019,UDI,14,7,1,10,12,7,10,19,2,18,20
2019,SAM,15,17,16,16,2,20,20,7,6,15,5
2019,TOR,16,14,17,5,9,5,9,15,15,1,15
2019,GEN,17,13,10,15,17,3,12,9,3,16,12
2019,LEC,18,1,6,20,16,8,14,18,11,20,11
2019,BRES,19,2,19,12,13,9,6,3,10,11,14
2019,SPA,20,8,4,11,14,2,15,8,17,4,17
2020,INT,1,5,2,5,18,10,9,15,20,6,13
2020,MIL,2,19,18,8,2,17,6,12,19,20,7
2020,ATA,3,4,15,20,13,3,16,17,1,1,15
2020,JUV,4,14,12,18,5,9,13,2,16,19,14
2020,NAP,5,13,11,16,15,16,14,11,12,11,20
2020,LAZ,6,6,3,10,14,13,8,8,3,2,1
2020,ROM,7,17,4,17,12,5,4,14,17,16,18
2020,SAS,8,1,10,14,19,20,10,3,8,3,3
2020,SAM,9,2,20,6,9,4,1,18,14,9,17
2020,VER,10,8,8,12,1,12,18,4,15,4,6
2020,GEN,11,10,5,11,3,15,5,7,5,13,19
2020,BOLG,12,7,14,1,6,8,7,1,2,12,16
2020,FIO,13,18,16,15,20,7,2,5,10,8,11
2020,UDI,14,3,19,13,7,11,3,10,11,15,2
2020,SPE,15,12,6,9,11,1,20,9,7,18,12
2020,CAG,16,11,7,4,17,19,17,6,6,17,10
2020,TOR,17,20,13,19,8,14,12,20,9,10,5
2020,BEN,18,15,9,2,4,18,11,19,4,5,9
2020,CRO,19,9,17,3,10,6,19,16,13,7,4
2020,PAR,20,16,1,7,16,2,15,13,18,14,8
2021,MIL,1,9,8,7,16,10,3,6,5,6,8
2021,INT,2,16,7,18,14,1,11,7,10,12,13
2021,NAP,3,1,13,9,8,19,9,10,13,9,18
2021,JUV,4,10,3,1,15,8,7,2,6,7,16
2021,LAZ,5,18,10,14,10,14,1,17,1,13,15
2021,ROM,6,2,18,11,12,3,8,12,4,8,9
2021,FIO,7,8,5,3,13,6,18,19,19,18,17
2021,ATA,8,17,2,12,5,13,14,5,15,14,7
2021,VER,9,14,4,6,6,17,10,1,8,15,12
2021,TOR,10,19,19,20,4,12,13,13,3,20,10
2021,SAS,11,5,14,13,9,4,5,14,16,16,11
2021,UDI,12,13,15,19,19,16,2,18,17,5,6
2021,BOLG,13,4,12,2,2,18,15,9,11,10,20
2021,EMP,14,7,1,5,7,9,6,20,14,2,19
2021,SAM,15,6,20,15,18,2,17,16,20,1,5
2021,SPE,16,15,16,16,3,15,16,8,9,19,14
2021,SAL,17,20,6,8,17,7,12,11,7,17,2
2021,CAG,18,12,9,4,1,20,4,15,12,4,3
2021,GEN,19,3,17,10,20,11,19,3,18,11,1
2021,VEN,20,11,11,17,11,5,20,4,2,3,4
2022,NAP,1,2,11,18,14,13,17,2,13,2,5
2022,LAZ,2,4,12,5,4,4,8,10,4,9,12
2022,INT,3,1,4,10,12,19,20,8,5,15,17
2022,JUV,4,18,9,14,16,6,5,9,9,20,15
2022,MIL,5,12,16,3,10,5,13,18,6,3,16
2022,ATA,6,3,13,2,3,10,1,5,12,6,2
2022,ROM,7,14,2,20,15,14,3,7,15,16,19
2022,FIO,8,5,19,17,17,8,6,14,20,5,4
2022,BOLG,9,7,6,7,18,9,7,4,7,13,1
2022,TOR,10,16,10,8,8,1,9,1,11,8,9
2022,MON,11,17,17,16,5,17,16,6,8,10,10
2022,UDI,12,19,7,6,2,18,14,19,18,19,18
2022,SAS,13,10,20,11,11,2,18,17,19,1,6
2022,EMP,14,11,1,19,1,12,4,3,3,7,7
2022,SAL,15,9,14,1,20,3,19,11,1,4,8
2022,LEC,16,13,3,13,19,11,15,20,17,17,11
2022,VER,17,6,15,4,13,20,10,16,2,18,14
2022,SPE,18,20,18,9,9,16,11,12,10,11,20
2022,CRE,19,8,5,15,7,15,12,15,16,14,3
2022,SAM,20,15,8,12,6,7,2,13,14,12,13
2023,INT,1,16,17,20,5,1,10,19,5,12,13
2023,MIL,2,18,12,18,8,14,7,11,1,18,17
2023,JUV,3,9,6,7,10,13,5,15,11,5,2
2023,ATA,4,19,1,11,17,18,2,17,10,17,9
2023,BOLG,5,15,11,17,19,4,6,20,8,14,7
2023,ROM,6,3,9,15,13,12,8,16,12,13,18
2023,LAZ,7,20,19,19,20,20,3,2,20,1,14
2023,FIO,8,6,13,4,15,6,9,1,17,3,6
2023,NAP,9,12,10,13,1,17,4,8,6,19,4
2023,TOR,10,10,18,5,18,9,1,3,2,20,19
2023,GEN,11,17,4,16,14,8,13,18,9,9,8
2023,MON,12,5,3,8,3,16,12,10,18,10,20
2023,VER,13,13,20,1,16,2,14,9,3,4,1
2023,LEC,14,1,7,14,7,10,19,5,19,2,3
2023,UDI,15,8,15,6,4,3,16,4,4,11,15
2023,EMP,16,2,14,9,9,15,11,14,7,16,11
2023,CAG,17,11,8,12,11,7,17,12,15,15,16
2023,FRO,18,4,2,2,12,19,18,6,16,6,5
2023,SAS,19,7,16,10,2,11,20,13,13,7,12
2023,SAL,20,14,5,3,6,5,15,7,14,8,10
2024,NAP,1,13,4,17,6,3,2,2,5,8,15
2024,INT,2,6,14,18,17,2,1,4,16,18,4
2024,ATA,3,20,9,14,2,1,20,8,17,7,2
2024,JUV,4,3,15,4,15,17,6,12,11,1,10
2024,ROM,5,17,11,6,14,19,13,1,3,4,20
2024,FIO,6,7,5,11,5,4,17,13,15,13,8
2024,LAZ,7,15,1,16,1,6,16,15,9,15,18
2024,MIL,8,4,12,20,3,15,3,14,20,10,16
2024,BOLG,9,9,16,3,13,13,18,11,19,17,1
2024,COM,10,16,3,7,9,10,9,10,10,3,17
2024,TOR,11,11,6,15,7,20,4,3,8,16,19
2024,UDI,12,14,13,12,20,16,10,17,7,2,14
2024,GEN,13,5,10,19,16,18,5,16,1,14,12
2024,VER,14,2,18,10,4,7,12,20,18,5,9
2024,PAR,15,18,7,5,11,9,7,7,2,9,6
2024,CAG,16,19,20,9,8,5,14,9,12,6,13
2024,LEC,17,1,8,8,18,11,15,18,4,12,5
2024,EMP,18,10,19,2,19,8,11,6,14,19,3
2024,VEN,19,8,2,1,10,14,8,5,6,11,7
2024,MON,20,12,17,13,12,12,19,19,13,20,11
