season,date,home_team,away_team,true_home_team_result,simulated_home_team_result_seed_1,simulated_home_team_result_seed_2,simulated_home_team_result_seed_3,simulated_home_team_result_seed_4,simulated_home_team_result_seed_5,simulated_home_team_result_seed_6,simulated_home_team_result_seed_7,simulated_home_team_result_seed_8,simulated_home_team_result_seed_9,simulated_home_team_result_seed_10
2000,2000-11-01,JUV,UDI,-1,-1,0,1,-1,-1,1,1,1,0,1
2000,2000-11-01,LAZ,BRES,1,1,1,-1,-1,0,0,0,1,1,1
2000,2000-11-01,LEC,NAP,0,0,0,0,-1,1,-1,-1,0,-1,1
2000,2000-11-01,PAR,MIL,1,-1,-1,-1,0,-1,1,0,1,1,0
2000,2000-11-01,VIC,PER,1,0,1,1,1,0,0,-1,1,1,0
2000,2000-11-04,FIO,PER,-1,0,0,1,1,1,1,-1,1,-1,0
2000,2000-11-04,LAZ,BOLG,1,-1,-1,1,1,0,1,-1,0,1,1
2000,2000-11-05,BARI,PAR,-1,1,1,1,-1,1,1,0,0,1,1
2000,2000-11-05,BRES,ROM,-1,1,1,-1,1,1,-1,1,0,1,0
2000,2000-11-05,MIL,ATA,0,-1,1,1,0,-1,0,1,1,1,-1
2000,2000-11-05,NAP,VIC,-1,1,-1,1,0,0,1,0,-1,1,1
2000,2000-11-05,REG,JUV,-1,-1,1,-1,0,0,-1,0,1,0,0
2000,2000-11-05,UDI,LEC,1,-1,0,-1,-1,0,1,-1,0,0,-1
2000,2000-11-05,VER,INT,0,1,-1,-1,1,1,1,-1,-1,0,1
2000,2000-11-11,ATA,BRES,1,1,0,1,-1,0,0,0,-1,1,1
2000,2000-11-11,JUV,LAZ,0,1,0,1,0,1,1,-1,0,-1,1
2000,2000-11-12,BARI,MIL,-1,1,1,0,1,1,1,-1,-1,1,1
2000,2000-11-12,BOLG,FIO,0,1,-1,-1,0,1,1,1,-1,1,-1
2000,2000-11-12,INT,LEC,-1,1,-1,1,0,0,1,-1,1,1,-1
2000,2000-11-12,PAR,UDI,1,1,-1,1,-1,-1,-1,0,-1,1,1
2000,2000-11-12,PER,NAP,0,1,1,-1,1,0,1,0,1,0,1
2000,2000-11-12,ROM,REG,1,-1,0,-1,0,1,0,1,-1,1,-1
2000,2000-11-12,VIC,VER,0,-1,0,1,1,0,0,1,-1,0,1
2000,2000-11-18,INT,PER,1,0,-1,1,0,1,1,0,0,1,0
2000,2000-11-18,LAZ,MIL,0,-1,1,1,-1,1,-1,-1,0,0,-1
2000,2000-11-19,BOLG,PAR,1,-1,1,-1,0,1,0,0,1,1,-1
2000,2000-11-19,BRES,JUV,0,0,1,1,1,-1,-1,1,-1,1,1
2000,2000-11-19,FIO,VIC,1,0,-1,1,0,1,-1,0,-1,1,0
2000,2000-11-19,LEC,BARI,1,1,1,-1,0,1,0,-1,1,1,0
2000,2000-11-19,NAP,ATA,0,1,1,0,-1,1,1,1,0,-1,-1
2000,2000-11-19,UDI,REG,1,-1,1,-1,-1,1,-1,1,1,1,-1
2000,2000-11-19,VER,ROM,-1,1,1,-1,1,0,-1,1,-1,-1,0
2000,2000-11-25,ATA,LEC,1,1,1,1,1,-1,0,1,1,1,0
2000,2000-11-25,MIL,NAP,1,1,1,1,0,-1,0,-1,0,1,-1
2000,2000-11-26,BARI,UDI,1,0,0,-1,1,-1,-1,0,0,1,-1
2000,2000-11-26,JUV,VER,1,1,0,0,-1,-1,-1,-1,-1,1,1
2000,2000-11-26,PAR,LAZ,1,0,1,0,1,1,1,0,0,-1,0
2000,2000-11-26,PER,BOLG,-1,1,0,1,1,1,-1,-1,1,1,1
2000,2000-11-26,REG,BRES,-1,0,1,0,1,0,1,0,0,-1,1
2000,2000-11-26,ROM,FIO,1,-1,1,-1,1,0,0,0,1,0,1
2000,2000-11-26,VIC,INT,0,0,1,1,-1,0,0,0,0,-1,1
2000,2000-12-02,LAZ,REG,1,0,0,1,1,-1,-1,1,1,1,1
2000,2000-12-02,PAR,ATA,1,-1,1,0,0,-1,0,-1,0,-1,1
2000,2000-12-03,BOLG,VIC,0,-1,1,1,-1,0,1,1,1,0,0
2000,2000-12-03,INT,JUV,0,0,1,0,0,1,0,1,0,1,1
2000,2000-12-03,LEC,FIO,0,1,1,1,-1,1,0,0,0,1,1
2000,2000-12-03,NAP,BARI,1,1,-1,1,1,-1,1,1,0,-1,-1
2000,2000-12-03,PER,ROM,0,0,1,-1,-1,1,1,1,1,1,0
2000,2000-12-03,UDI,MIL,-1,0,0,1,-1,-1,1,-1,1,-1,-1
2000,2000-12-03,VER,BRES,1,1,1,1,-1,1,1,-1,1,-1,0
2000,2000-12-09,BRES,NAP,0,-1,-1,0,1,1,-1,1,0,1,1
2000,2000-12-09,REG,VER,0,1,-1,1,1,0,0,1,-1,0,0
2000,2000-12-10,ATA,PER,0,0,-1,1,1,-1,1,0,-1,1,-1
2000,2000-12-10,BARI,BOLG,1,-1,-1,1,1,-1,1,1,0,1,1
2000,2000-12-10,FIO,INT,1,1,-1,0,1,1,1,-1,-1,1,1
2000,2000-12-10,JUV,PAR,1,1,1,1,-1,0,-1,1,-1,-1,0
2000,2000-12-10,MIL,LEC,1,1,-1,1,1,1,1,-1,0,-1,-1
2000,2000-12-10,ROM,UDI,1,0,1,0,1,-1,1,1,-1,0,1
2000,2000-12-10,VIC,LAZ,-1,1,-1,0,1,0,0,1,-1,1,0
2000,2000-12-16,NAP,REG,1,1,1,-1,1,0,1,-1,-1,1,-1
2000,2000-12-16,PER,BARI,1,1,1,1,0,0,0,1,0,-1,1
2000,2000-12-17,BOLG,ATA,-1,1,1,-1,0,1,0,1,1,1,1
2000,2000-12-17,INT,BRES,0,1,0,1,1,-1,1,-1,-1,1,0
2000,2000-12-17,LAZ,ROM,-1,1,0,-1,0,1,-1,0,-1,1,0
2000,2000-12-17,LEC,JUV,-1,-1,1,1,-1,1,1,1,0,0,1
2000,2000-12-17,PAR,VIC,-1,0,1,1,1,1,-1,-1,1,0,-1
2000,2000-12-17,UDI,FIO,-1,1,-1,0,-1,-1,0,1,1,1,-1
2000,2000-12-17,VER,MIL,0,1,0,0,1,1,1,1,-1,-1,1
2000,2000-12-22,BARI,LAZ,-1,1,1,0,1,-1,1,1,0,-1,-1
2000,2000-12-22,ROM,JUV,0,0,1,-1,0,-1,0,0,1,0,0
2000,2000-12-23,ATA,INT,-1,1,1,1,1,0,0,1,-1,1,1
2000,2000-12-23,BRES,LEC,0,1,1,-1,1,0,0,1,1,1,-1
2000,2000-12-23,FIO,VER,1,1,-1,1,1,1,0,1,1,-1,0
2000,2000-12-23,MIL,PER,-1,-1,1,0,1,1,0,1,0,1,1
2000,2000-12-23,NAP,PAR,0,1,1,-1,0,-1,-1,1,1,1,1
2000,2000-12-23,REG,VIC,1,1,1,1,-1,1,1,-1,-1,-1,-1
2000,2000-12-23,UDI,BOLG,1,1,1,0,-1,-1,0,0,0,1,1
2000,2001-01-06,JUV,FIO,0,1,1,1,1,1,0,1,-1,1,-1
2000,2001-01-06,VIC,BARI,1,0,1,0,1,-1,1,-1,1,-1,-1
2000,2001-01-07,ATA,ROM,-1,0,-1,1,1,1,0,1,0,1,1
2000,2001-01-07,BOLG,BRES,1,1,1,0,1,-1,1,0,1,1,1
2000,2001-01-07,LAZ,NAP,-1,0,1,-1,0,-1,1,-1,0,-1,1
2000,2001-01-07,LEC,VER,1,0,1,1,0,0,1,1,1,1,-1
2000,2001-01-07,MIL,INT,0,1,1,0,0,1,1,-1,-1,1,1
2000,2001-01-07,PAR,REG,-1,1,0,1,-1,1,0,1,0,-1,-1
2000,2001-01-07,PER,UDI,1,1,1,1,1,0,1,1,-1,1,0
2000,2001-01-13,BRES,PER,1,-1,1,1,1,-1,0,0,1,-1,-1
2000,2001-01-13,FIO,MIL,1,-1,0,0,1,0,1,0,1,1,1
2000,2001-01-14,INT,PAR,0,0,-1,0,-1,0,1,0,0,1,0
2000,2001-01-14,JUV,BOLG,1,1,-1,1,-1,1,1,1,-1,1,1
2000,2001-01-14,LEC,VIC,1,1,1,0,1,1,-1,1,-1,1,1
2000,2001-01-14,REG,ATA,1,1,1,1,1,-1,1,0,0,-1,0
2000,2001-01-14,ROM,BARI,0,0,1,0,1,0,-1,1,0,-1,1
2000,2001-01-14,UDI,LAZ,-1,-1,0,1,-1,1,1,1,1,-1,1
2000,2001-01-14,VER,NAP,1,-1,1,-1,-1,1,0,-1,1,0,1
2000,2001-01-20,BOLG,VER,1,0,1,1,1,1,1,-1,-1,1,-1
2000,2001-01-20,LAZ,INT,1,1,1,0,1,1,0,1,0,0,1
2000,2001-01-21,ATA,FIO,0,1,0,1,1,0,1,-1,-1,1,1
2000,2001-01-21,BARI,REG,1,0,-1,-1,1,-1,1,0,-1,0,1
2000,2001-01-21,MIL,ROM,1,1,-1,-1,1,1,0,-1,1,1,1
2000,2001-01-21,NAP,UDI,-1,1,1,-1,1,0,-1,1,-1,1,1
2000,2001-01-21,PAR,LEC,0,1,1,1,1,1,0,0,-1,1,-1
2000,2001-01-21,PER,JUV,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1
2000,2001-01-21,VIC,BRES,0,1,0,1,1,-1,0,0,0,0,1
2000,2001-01-27,LEC,BOLG,0,0,1,1,-1,1,0,0,0,0,0
2000,2001-01-27,REG,PER,-1,0,0,1,1,1,1,0,0,-1,1
2000,2001-01-28,BRES,MIL,0,1,0,0,1,1,1,1,1,-1,1
2000,2001-01-28,FIO,LAZ,-1,1,1,0,1,1,0,1,1,-1,0
2000,2001-01-28,INT,BARI,1,1,-1,1,1,-1,0,1,0,1,-1
2000,2001-01-28,JUV,VIC,1,0,-1,0,0,0,1,1,0,0,-1
2000,2001-01-28,ROM,NAP,1,-1,1,1,1,1,1,-1,-1,-1,0
2000,2001-01-28,UDI,ATA,-1,1,0,1,0,1,1,0,1,1,0
2000,2001-01-28,VER,PAR,-1,1,-1,0,1,0,-1,1,0,1,1
2000,2001-02-03,ATA,JUV,1,1,-1,1,-1,1,1,-1,0,1,-1
2000,2001-02-03,PER,VER,1,-1,1,-1,1,-1,-1,-1,-1,1,0
2000,2001-02-04,BARI,BRES,-1,0,-1,-1,1,1,-1,-1,0,-1,0
2000,2001-02-04,BOLG,INT,-1,-1,0,-1,1,1,1,1,1,-1,0
2000,2001-02-04,LAZ,LEC,1,1,0,1,1,1,1,-1,0,1,1
2000,2001-02-04,MIL,REG,1,1,0,0,-1,-1,-1,-1,0,1,1
2000,2001-02-04,NAP,FIO,1,-1,1,1,1,1,-1,1,0,0,1
2000,2001-02-04,PAR,ROM,-1,0,0,1,0,1,-1,-1,-1,1,1
2000,2001-02-04,VIC,UDI,-1,-1,1,-1,-1,-1,1,1,0,1,0
2000,2001-02-10,INT,REG,0,1,1,0,1,1,-1,1,1,1,-1
2000,2001-02-10,LAZ,ATA,0,1,1,1,0,0,1,1,-1,1,1
2000,2001-02-11,BOLG,ROM,-1,1,1,1,-1,-1,-1,1,1,-1,1
2000,2001-02-11,BRES,UDI,1,-1,0,0,-1,0,0,0,-1,1,-1
2000,2001-02-11,FIO,PAR,-1,1,-1,1,1,1,-1,1,0,1,0
2000,2001-02-11,JUV,NAP,1,1,0,1,1,1,-1,-1,-1,0,0
2000,2001-02-11,LEC,PER,0,-1,-1,1,-1,-1,1,1,-1,1,1
2000,2001-02-11,VER,BARI,1,-1,0,-1,1,-1,1,0,-1,1,1
2000,2001-02-11,VIC,MIL,1,1,1,-1,1,0,1,0,1,1,1
2000,2001-02-17,MIL,BOLG,0,-1,-1,0,-1,-1,1,0,0,1,-1
2000,2001-02-17,UDI,VER,1,1,1,-1,0,0,-1,1,1,1,1
2000,2001-02-18,ATA,VIC,0,0,0,1,1,1,0,-1,1,0,1
2000,2001-02-18,BARI,JUV,-1,-1,1,1,0,1,1,1,1,1,-1
2000,2001-02-18,NAP,INT,1,1,-1,1,1,-1,0,0,1,0,1
2000,2001-02-18,PAR,BRES,1,1,1,-1,1,0,0,1,-1,0,1
2000,2001-02-18,PER,LAZ,-1,1,1,0,-1,-1,1,-1,1,-1,1
2000,2001-02-18,REG,FIO,0,-1,1,-1,-1,1,-1,1,-1,1,0
2000,2001-02-18,ROM,LEC,1,-1,1,1,1,0,1,-1,1,0,1
2000,2001-02-24,ATA,BARI,0,1,0,-1,-1,1,0,-1,-1,1,0
2000,2001-02-24,FIO,BRES,0,0,1,1,1,1,1,1,1,1,-1
2000,2001-02-25,BOLG,NAP,1,1,0,1,1,0,1,-1,1,1,1
2000,2001-02-25,INT,UDI,1,1,0,-1,-1,1,1,1,1,1,-1
2000,2001-02-25,JUV,MIL,1,0,1,-1,0,1,0,-1,1,1,0
2000,2001-02-25,LAZ,VER,1,0,1,1,1,1,1,0,1,1,1
2000,2001-02-25,LEC,REG,1,0,1,1,1,-1,-1,-1,0,0,-1
2000,2001-02-25,PAR,PER,1,1,1,1,0,1,0,-1,1,-1,1
2000,2001-02-25,VIC,ROM,-1,0,-1,-1,0,1,0,-1,1,-1,-1
2000,2001-03-03,BRES,LAZ,-1,-1,1,1,1,1,1,1,0,1,1
2000,2001-03-03,REG,BOLG,1,0,1,-1,1,1,-1,1,-1,0,1
2000,2001-03-04,BARI,FIO,1,1,1,1,-1,-1,-1,-1,1,1,1
2000,2001-03-04,MIL,PAR,0,-1,-1,0,1,0,1,1,1,1,1
2000,2001-03-04,NAP,LEC,0,1,1,1,0,1,1,0,0,1,1
2000,2001-03-04,PER,VIC,1,-1,0,-1,1,-1,-1,1,0,-1,-1
2000,2001-03-04,ROM,INT,1,1,1,-1,-1,1,1,1,1,1,0
2000,2001-03-04,UDI,JUV,-1,0,0,-1,1,0,1,0,1,1,1
2000,2001-03-04,VER,ATA,1,1,1,1,0,1,1,0,1,1,1
2000,2001-03-10,ATA,MIL,0,1,1,-1,1,1,0,1,0,-1,1
2000,2001-03-10,VIC,NAP,1,1,0,0,0,1,0,1,0,1,-1
2000,2001-03-11,BOLG,LAZ,1,1,1,-1,1,0,0,1,0,0,0
2000,2001-03-11,INT,VER,1,-1,1,1,1,1,1,1,1,1,-1
2000,2001-03-11,JUV,REG,1,1,-1,1,0,0,0,-1,0,0,1
2000,2001-03-11,LEC,UDI,1,0,0,0,1,-1,1,0,1,0,1
2000,2001-03-11,PAR,BARI,1,-1,1,1,1,1,-1,1,1,-1,-1
2000,2001-03-11,PER,FIO,0,0,0,1,-1,0,0,1,0,1,1
2000,2001-03-11,ROM,BRES,1,1,1,-1,0,1,1,1,1,1,-1
2000,2001-03-18,FIO,BOLG,0,-1,1,1,-1,1,-1,0,1,-1,1
2000,2001-03-18,LAZ,JUV,1,0,-1,0,1,1,0,-1,0,0,-1
2000,2001-03-18,LEC,INT,-1,1,-1,0,1,1,1,-1,0,0,-1
2000,2001-03-18,MIL,BARI,1,1,-1,0,0,0,-1,0,-1,-1,-1
2000,2001-03-18,NAP,PER,0,1,1,1,0,0,1,0,1,-1,0
2000,2001-03-18,REG,ROM,0,0,-1,-1,1,1,0,-1,0,0,1
2000,2001-03-18,UDI,PAR,-1,-1,1,1,0,-1,1,1,0,-1,1
2000,2001-03-18,VER,VIC,1,-1,0,-1,-1,1,1,-1,1,-1,1
2000,2001-03-19,BRES,ATA,-1,0,1,1,0,1,1,-1,1,0,0
2000,2001-03-31,BARI,LEC,1,0,1,0,-1,1,1,1,0,0,-1
2000,2001-03-31,VIC,FIO,0,1,0,-1,0,1,1,0,1,-1,1
2000,2001-04-01,ATA,NAP,0,0,0,0,0,1,-1,-1,-1,-1,0
2000,2001-04-01,JUV,BRES,0,1,1,0,1,-1,1,-1,1,0,-1
2000,2001-04-01,MIL,LAZ,1,1,1,1,-1,-1,1,-1,0,1,-1
2000,2001-04-01,PAR,BOLG,0,1,0,-1,1,1,0,0,1,1,1
2000,2001-04-01,PER,INT,-1,0,1,0,1,-1,-1,-1,0,0,1
2000,2001-04-01,REG,UDI,0,1,1,-1,1,1,1,-1,1,-1,1
2000,2001-04-01,ROM,VER,1,1,0,1,-1,1,1,0,-1,1,1
2000,2001-04-08,BOLG,PER,1,-1,0,-1,-1,-1,-1,0,-1,1,0
2000,2001-04-08,BRES,REG,1,1,1,1,1,1,-1,1,1,1,-1
2000,2001-04-08,INT,VIC,0,0,1,0,1,1,1,1,0,-1,1
2000,2001-04-08,LEC,ATA,-1,1,1,0,1,1,1,1,-1,-1,-1
2000,2001-04-08,NAP,MIL,0,1,-1,-1,-1,-1,1,0,-1,-1,-1
2000,2001-04-08,UDI,BARI,1,1,0,-1,1,-1,1,1,1,-1,1
2000,2001-04-08,VER,JUV,-1,1,1,0,-1,-1,-1,1,-1,-1,1
2000,2001-04-09,FIO,ROM,1,-1,-1,1,0,1,1,-1,-1,-1,0
2000,2001-04-14,ATA,PAR,-1,1,1,1,0,1,1,1,1,1,0
2000,2001-04-14,BARI,NAP,-1,-1,1,0,1,1,1,1,1,1,0
2000,2001-04-14,BRES,VER,1,0,-1,-1,1,0,-1,1,-1,-1,0
2000,2001-04-14,FIO,LEC,1,0,1,-1,1,-1,1,1,1,0,1
2000,2001-04-14,JUV,INT,1,0,-1,-1,0,1,1,-1,0,0,0
2000,2001-04-14,MIL,UDI,1,1,1,1,1,0,-1,1,1,1,0
2000,2001-04-14,REG,LAZ,-1,-1,-1,0,1,1,-1,0,-1,1,-1
2000,2001-04-14,ROM,PER,0,-1,1,-1,1,0,1,1,0,1,-1
2000,2001-04-14,VIC,BOLG,1,1,1,-1,1,1,1,0,1,1,1
2000,2001-04-18,LAZ,PAR,1,0,-1,1,0,1,-1,1,1,0,-1
2000,2001-04-21,INT,FIO,1,1,1,1,1,1,0,0,1,-1,1
2000,2001-04-21,NAP,BRES,0,1,-1,1,-1,1,1,-1,1,1,1
2000,2001-04-22,BOLG,BARI,1,1,-1,1,1,1,0,-1,1,1,-1
2000,2001-04-22,LAZ,VIC,1,1,0,-1,0,1,1,-1,1,1,-1
2000,2001-04-22,LEC,MIL,0,0,1,0,1,0,0,1,1,1,0
2000,2001-04-22,PAR,JUV,0,1,1,-1,0,0,-1,0,-1,-1,1
2000,2001-04-22,PER,ATA,0,1,-1,0,1,0,-1,0,1,0,1
2000,2001-04-22,UDI,ROM,-1,1,0,1,0,1,1,1,1,1,-1
2000,2001-04-22,VER,REG,-1,-1,1,0,1,1,1,-1,1,1,-1
2000,2001-04-28,REG,NAP,1,1,-1,0,1,1,1,0,0,0,1
2000,2001-04-28,VIC,PAR,-1,1,-1,-1,0,0,-1,-1,1,-1,1
2000,2001-04-29,ATA,BOLG,0,1,-1,-1,1,-1,1,1,1,0,1
2000,2001-04-29,BARI,PER,-1,1,1,1,-1,-1,0,1,0,1,-1
2000,2001-04-29,BRES,INT,1,1,-1,0,1,0,1,0,1,1,1
2000,2001-04-29,FIO,UDI,1,1,0,0,1,-1,-1,1,-1,-1,1
2000,2001-04-29,JUV,LEC,0,-1,0,1,1,-1,1,1,1,1,1
2000,2001-04-29,MIL,VER,1,1,-1,-1,1,0,0,0,0,0,1
2000,2001-04-29,ROM,LAZ,0,1,0,-1,1,1,-1,0,-1,1,-1
2000,2001-05-05,BOLG,UDI,0,1,1,1,1,-1,-1,-1,0,0,1
2000,2001-05-05,LEC,BRES,-1,-1,1,1,0,1,1,1,1,1,-1
2000,2001-05-06,INT,ATA,1,1,1,1,1,1,1,0,1,0,0
2000,2001-05-06,JUV,ROM,0,-1,1,0,1,1,-1,-1,1,1,1
2000,2001-05-06,LAZ,BARI,1,1,1,-1,1,-1,-1,-1,1,0,0
2000,2001-05-06,PAR,NAP,1,-1,-1,0,0,1,1,1,1,1,0
2000,2001-05-06,PER,MIL,1,-1,-1,0,1,1,1,0,0,1,-1
2000,2001-05-06,VER,FIO,1,-1,-1,1,1,1,-1,-1,1,0,1
2000,2001-05-06,VIC,REG,1,0,-1,1,-1,1,0,-1,0,1,-1
2000,2001-05-11,FIO,JUV,-1,1,-1,-1,-1,-1,0,1,1,-1,1
2000,2001-05-11,INT,MIL,-1,1,1,1,1,0,1,0,-1,1,1
2000,2001-05-12,BARI,VIC,0,1,1,-1,1,1,0,0,0,0,0
2000,2001-05-12,BRES,BOLG,0,1,1,1,-1,0,1,1,1,-1,0
2000,2001-05-12,NAP,LAZ,-1,0,-1,1,1,0,1,1,0,1,1
2000,2001-05-12,REG,PAR,1,1,1,1,-1,-1,-1,0,0,-1,1
2000,2001-05-12,ROM,ATA,1,1,1,1,0,1,1,1,-1,0,0
2000,2001-05-12,UDI,PER,0,-1,1,0,0,0,1,-1,0,0,0
2000,2001-05-12,VER,LEC,0,-1,1,-1,0,-1,1,1,0,-1,1
2000,2001-05-17,MIL,FIO,-1,0,1,0,1,1,-1,0,0,1,1
2000,2001-05-17,PAR,INT,1,-1,-1,1,-1,1,-1,1,0,-1,1
2000,2001-05-20,ATA,REG,0,-1,1,1,-1,1,1,0,-1,1,0
2000,2001-05-20,BARI,ROM,-1,0,1,0,1,0,1,0,1,1,-1
2000,2001-05-20,BOLG,JUV,-1,1,0,1,1,1,-1,-1,-1,0,-1
2000,2001-05-20,LAZ,UDI,1,1,0,1,0,1,1,1,0,0,1
2000,2001-05-20,NAP,VER,1,1,-1,1,1,1,0,-1,1,1,1
2000,2001-05-20,PER,BRES,0,0,1,1,1,0,1,1,-1,0,-1
2000,2001-05-20,VIC,LEC,0,1,0,0,-1,0,0,1,-1,-1,1
2000,2001-05-27,BRES,VIC,1,1,1,0,1,0,-1,-1,0,0,0
2000,2001-05-27,FIO,ATA,0,1,1,1,-1,1,-1,1,-1,-1,1
2000,2001-05-27,INT,LAZ,0,-1,0,-1,0,1,1,0,-1,-1,0
2000,2001-05-27,JUV,PER,1,-1,1,1,1,1,1,1,-1,0,1
2000,2001-05-27,LEC,PAR,-1,1,1,0,1,1,-1,1,-1,1,1
2000,2001-05-27,REG,BARI,1,1,1,0,0,1,-1,-1,0,-1,-1
2000,2001-05-27,ROM,MIL,0,1,-1,0,-1,1,0,0,1,-1,1
2000,2001-05-27,UDI,NAP,0,1,1,1,1,1,1,1,0,-1,1
2000,2001-05-27,VER,BOLG,1,0,1,1,0,1,-1,0,1,-1,-1
2000,2001-06-10,ATA,UDI,-1,0,-1,1,-1,-1,1,0,0,1,0
2000,2001-06-10,BARI,INT,-1,1,-1,1,0,-1,1,0,-1,-1,0
2000,2001-06-10,BOLG,LEC,0,1,0,1,0,1,0,0,-1,1,1
2000,2001-06-10,LAZ,FIO,1,-1,1,0,0,-1,1,1,1,-1,-1
2000,2001-06-10,MIL,BRES,0,1,-1,1,1,0,1,1,0,-1,0
2000,2001-06-10,NAP,ROM,0,-1,-1,1,-1,1,1,-1,1,1,1
2000,2001-06-10,PAR,VER,-1,1,1,1,0,0,0,-1,1,-1,0
2000,2001-06-10,PER,REG,0,-1,1,1,-1,0,0,1,-1,1,-1
2000,2001-06-10,VIC,JUV,-1,-1,1,1,1,-1,1,0,1,1,0
2000,2001-06-17,BRES,BARI,1,-1,1,1,1,1,1,1,-1,1,0
2000,2001-06-17,FIO,NAP,-1,-1,1,-1,0,-1,0,-1,1,1,-1
2000,2001-06-17,INT,BOLG,1,1,0,0,1,1,0,-1,1,1,0
2000,2001-06-17,JUV,ATA,1,1,-1,1,1,0,1,1,0,1,-1
2000,2001-06-17,LEC,LAZ,1,1,1,-1,0,-1,-1,1,1,1,1
2000,2001-06-17,REG,MIL,1,1,-1,-1,0,1,0,-1,1,1,0
2000,2001-06-17,ROM,PAR,1,-1,0,1,1,1,-1,-1,-1,1,0
2000,2001-06-17,UDI,VIC,-1,1,0,1,-1,1,1,0,1,-1,0
2000,2001-06-17,VER,PER,1,0,-1,1,0,-1,1,1,-1,1,1
2001,2001-08-25,BOLG,ATA,1,1,1,-1,0,-1,0,1,0,-1,-1
2001,2001-08-26,BRES,MIL,0,1,1,1,1,0,1,-1,1,1,1
2001,2001-08-26,FIO,CHI,-1,0,0,1,-1,1,0,-1,0,0,0
2001,2001-08-26,INT,PER,1,-1,1,1,1,0,-1,1,1,-1,1
2001,2001-08-26,JUV,VEN,1,1,0,1,0,1,-1,-1,1,0,-1
2001,2001-08-26,LAZ,PIA,0,0,1,1,1,0,1,1,1,-1,-1
2001,2001-08-26,LEC,PAR,0,1,1,1,1,1,1,-1,1,1,-1
2001,2001-08-26,UDI,TOR,0,0,0,0,1,0,1,1,-1,1,1
2001,2001-08-26,VER,ROM,0,-1,1,0,1,1,1,1,1,0,-1
2001,2001-09-08,PER,LAZ,0,0,1,-1,0,1,0,1,-1,-1,0
2001,2001-09-08,ROM,UDI,0,1,1,1,-1,1,-1,0,1,-1,1
2001,2001-09-09,ATA,JUV,-1,1,-1,0,1,-1,1,0,1,-1,0
2001,2001-09-09,CHI,BOLG,1,1,0,1,1,1,-1,1,-1,-1,1
2001,2001-09-09,MIL,FIO,1,-1,-1,1,-1,0,0,0,1,-1,-1
