season,team,rank,simulation_seed
2010,WERB,13,2
2010,M'G,14,2
2010,FRE,15,2
2010,SCH,16,2
2010,NUR,17,2
2010,HAM,18,2
2011,BAY,1,2
2011,AUG,2,2
2011,MAI,3,2
2011,HAN,4,2
2011,KOL,5,2
2011,HOF,6,2
2011,WERB,7,2
2011,DOR,8,2
2011,STU,9,2
2011,HAM,10,2
2011,WOB,11,2
2011,HERT,12,2
2011,SCH,13,2
2011,KAI,14,2
2011,NUR,15,2
2011,M'G,16,2
2011,FRE,17,2
2011,LEVK,18,2
2012,FRE,1,2
2012,LEVK,2,2
2012,HOF,3,2
2012,WOB,4,2
2012,STU,5,2
2012,MAI,6,2
2012,BAY,7,2
2012,NUR,8,2
2012,GREF,9,2
2012,M'G,10,2
2012,AUG,11,2
2012,SCH,12,2
2012,EINF,13,2
2012,HAN,14,2
2012,HAM,15,2
2012,WERB,16,2
2012,FORD,17,2
2012,DOR,18,2
2013,NUR,1,2
2013,FRE,2,2
2013,HOF,3,2
2013,AUG,4,2
2013,HAM,5,2
2013,SCH,6,2
2013,EINF,7,2
2013,WERB,8,2
2013,MAI,9,2
2013,WOB,10,2
2013,HAN,11,2
2013,BAY,12,2
2013,M'G,13,2
2013,BRA,14,2
2013,LEVK,15,2
2013,DOR,16,2
2013,HERT,17,2
2013,STU,18,2
2014,MAI,1,2
2014,STU,2,2
2014,KOL,3,2
2014,HERT,4,2
2014,PAD,5,2
2014,SCH,6,2
2014,DOR,7,2
2014,FRE,8,2
2014,WOB,9,2
2014,HOF,10,2
2014,AUG,11,2
2014,BAY,12,2
2014,LEVK,13,2
2014,WERB,14,2
2014,HAN,15,2
2014,EINF,16,2
2014,M'G,17,2
2014,HAM,18,2
2015,DAR,1,2
2015,HOF,2,2
2015,HAN,3,2
2015,BAY,4,2
2015,MAI,5,2
2015,HAM,6,2
2015,HERT,7,2
2015,KOL,8,2
2015,STU,9,2
2015,SCH,10,2
2015,WERB,11,2
2015,LEVK,12,2
2015,M'G,13,2
2015,AUG,14,2
2015,EINF,15,2
2015,WOB,16,2
2015,ING,17,2
2015,DOR,18,2
2016,LEVK,1,2
2016,FRE,2,2
2016,HOF,3,2
2016,KOL,4,2
2016,EINF,5,2
2016,AUG,6,2
2016,RBL,7,2
2016,HAM,8,2
2016,DOR,9,2
2016,SCH,10,2
2016,BAY,11,2
2016,WERB,12,2
2016,WOB,13,2
2016,M'G,14,2
2016,MAI,15,2
2016,DAR,16,2
2016,ING,17,2
2016,HERT,18,2
2017,MAI,1,2
2017,BAY,2,2
2017,FRE,3,2
2017,AUG,4,2
2017,WOB,5,2
2017,EINF,6,2
2017,KOL,7,2
2017,HERT,8,2
2017,M'G,9,2
2017,HOF,10,2
2017,SCH,11,2
2017,HAN,12,2
2017,HAM,13,2
2017,STU,14,2
2017,LEVK,15,2
2017,WERB,16,2
2017,RBL,17,2
2017,DOR,18,2
2018,DOR,1,2
2018,M'G,2,2
2018,LEVK,3,2
2018,WOB,4,2
2018,AUG,5,2
2018,NUR,6,2
2018,EINF,7,2
2018,MAI,8,2
2018,STU,9,2
2018,HERT,10,2
2018,BAY,11,2
2018,HAN,12,2
2018,HOF,13,2
2018,FORD,14,2
2018,SCH,15,2
2018,RBL,16,2
2018,FRE,17,2
2018,WERB,18,2
2019,WOB,1,2
2019,HERT,2,2
2019,WERB,3,2
2019,LEVK,4,2
2019,FORD,5,2
2019,AUG,6,2
2019,UNI,7,2
2019,KOL,8,2
2019,SCH,9,2
2019,FRE,10,2
2019,BAY,11,2
2019,DOR,12,2
2019,HOF,13,2
2019,PAD,14,2
2019,M'G,15,2
2019,RBL,16,2
2019,EINF,17,2
2019,MAI,18,2
2020,BIE,1,2
2020,HERT,2,2
2020,LEVK,3,2
2020,EINF,4,2
2020,MAI,5,2
2020,WERB,6,2
2020,UNI,7,2
2020,M'G,8,2
2020,KOL,9,2
2020,FRE,10,2
2020,WOB,11,2
2020,BAY,12,2
2020,AUG,13,2
2020,DOR,14,2
2020,RBL,15,2
2020,SCH,16,2
2020,STU,17,2
2020,HOF,18,2
2021,EINF,1,2
2021,HERT,2,2
2021,FRE,3,2
2021,M'G,4,2
2021,MAI,5,2
2021,KOL,6,2
2021,LEVK,7,2
2021,AUG,8,2
2021,UNI,9,2
2021,DOR,10,2
2021,WOB,11,2
2021,BIE,12,2
2021,GREF,13,2
2021,BAY,14,2
2021,RBL,15,2
2021,STU,16,2
2021,HOF,17,2
2021,BOC,18,2
2022,UNI,1,2
2022,BOC,2,2
2022,STU,3,2
2022,EINF,4,2
2022,HERT,5,2
2022,FRE,6,2
2022,KOL,7,2
2022,AUG,8,2
2022,RBL,9,2
2022,WOB,10,2
2022,BAY,11,2
2022,DOR,12,2
2022,HOF,13,2
2022,MAI,14,2
2022,WERB,15,2
2022,LEVK,16,2
2022,SCH,17,2
2022,M'G,18,2
2023,DAR,1,2
2023,KOL,2,2
2023,HOF,3,2
2023,WOB,4,2
2023,WERB,5,2
2023,AUG,6,2
2023,STU,7,2
2023,DOR,8,2
2023,LEVK,9,2
2023,RBL,10,2
2023,M'G,11,2
2023,EINF,12,2
2023,FRE,13,2
2023,HEI,14,2
2023,UNI,15,2
2023,BAY,16,2
2023,BOC,17,2
2023,MAI,18,2
2024,BOC,1,2
2024,STU,2,2
2024,MAI,3,2
2024,STP,4,2
2024,RBL,5,2
2024,WOB,6,2
2024,LEVK,7,2
2024,EINF,8,2
2024,FRE,9,2
2024,WERB,10,2
2024,DOR,11,2
2024,AUG,12,2
2024,UNI,13,2
2024,HEI,14,2
2024,BAY,15,2
2024,M'G,16,2
2024,HOLK,17,2
2024,HOF,18,2
2004,FRE,1,3
2004,BAY,2,3
2004,BOC,3,3
2004,DOR,4,3
2004,WERB,5,3
2004,MAI,6,3
2004,BIE,7,3
2004,LEVK,8,3
2004,STU,9,3
2004,HERT,10,3
2004,KAI,11,3
2004,NUR,12,3
2004,M'G,13,3
2004,HAM,14,3
2004,SCH,15,3
2004,HAN,16,3
2004,WOB,17,3
2004,HANR,18,3
2005,NUR,1,3
2005,WERB,2,3
2005,EINF,3,3
2005,HAM,4,3
2005,BAY,5,3
2005,HERT,6,3
2005,MAI,7,3
2005,HAN,8,3
2005,LEVK,9,3
2005,DUI,10,3
2005,DOR,11,3
2005,STU,12,3
2005,WOB,13,3
2005,KOL,14,3
2005,M'G,15,3
2005,BIE,16,3
2005,KAI,17,3
2005,SCH,18,3
2006,SCH,1,3
2006,WOB,2,3
2006,BAY,3,3
2006,LEVK,4,3
2006,AAC,5,3
2006,COT,6,3
2006,WERB,7,3
2006,HAN,8,3
2006,HERT,9,3
2006,EINF,10,3
2006,DOR,11,3
2006,MAI,12,3
2006,NUR,13,3
2006,BIE,14,3
2006,BOC,15,3
2006,STU,16,3
2006,HAM,17,3
2006,M'G,18,3
2007,NUR,1,3
2007,STU,2,3
2007,HAN,3,3
2007,HERT,4,3
2007,BOC,5,3
2007,WERB,6,3
2007,COT,7,3
2007,DUI,8,3
2007,HAM,9,3
2007,DOR,10,3
2007,WOB,11,3
2007,HANR,12,3
2007,KAR,13,3
2007,SCH,14,3
2007,EINF,15,3
2007,BAY,16,3
2007,BIE,17,3
2007,LEVK,18,3
2008,WOB,1,3
2008,HOF,2,3
2008,COT,3,3
2008,BAY,4,3
2008,SCH,5,3
2008,DOR,6,3
2008,BOC,7,3
2008,WERB,8,3
2008,HERT,9,3
2008,HAN,10,3
2008,KOL,11,3
2008,EINF,12,3
2008,M'G,13,3
2008,KAR,14,3
2008,LEVK,15,3
2008,STU,16,3
2008,HAM,17,3
2008,BIE,18,3
2009,WOB,1,3
2009,LEVK,2,3
2009,STU,3,3
2009,FRE,4,3
2009,HOF,5,3
2009,HAM,6,3
2009,KOL,7,3
2009,HAN,8,3
2009,WERB,9,3
2009,EINF,10,3
2009,BOC,11,3
2009,BAY,12,3
2009,HERT,13,3
2009,SCH,14,3
2009,MAI,15,3
2009,M'G,16,3
2009,DOR,17,3
2009,NUR,18,3
2010,MAI,1,3
2010,STP,2,3
2010,STU,3,3
2010,SCH,4,3
2010,DOR,5,3
2010,HOF,6,3
2010,KAI,7,3
2010,M'G,8,3
2010,FRE,9,3
2010,WOB,10,3
2010,KOL,11,3
2010,EINF,12,3
2010,HAM,13,3
2010,HAN,14,3
2010,NUR,15,3
2010,LEVK,16,3
2010,BAY,17,3
2010,WERB,18,3
2011,WERB,1,3
2011,KAI,2,3
2011,STU,3,3
2011,KOL,4,3
2011,HERT,5,3
2011,FRE,6,3
2011,AUG,7,3
2011,BAY,8,3
2011,HOF,9,3
2011,NUR,10,3
2011,SCH,11,3
2011,LEVK,12,3
2011,WOB,13,3
2011,M'G,14,3
2011,DOR,15,3
2011,HAM,16,3
2011,MAI,17,3
2011,HAN,18,3
2012,WOB,1,3
2012,DOR,2,3
2012,FORD,3,3
2012,M'G,4,3
2012,HOF,5,3
2012,FRE,6,3
2012,MAI,7,3
2012,HAN,8,3
2012,LEVK,9,3
2012,AUG,10,3
2012,STU,11,3
2012,GREF,12,3
2012,SCH,13,3
2012,WERB,14,3
2012,HAM,15,3
2012,BAY,16,3
2012,EINF,17,3
2012,NUR,18,3
2013,HAM,1,3
2013,WERB,2,3
2013,AUG,3,3
2013,M'G,4,3
2013,BAY,5,3
2013,LEVK,6,3
2013,STU,7,3
2013,BRA,8,3
2013,NUR,9,3
2013,MAI,10,3
2013,SCH,11,3
2013,EINF,12,3
2013,WOB,13,3
2013,FRE,14,3
2013,HOF,15,3
2013,DOR,16,3
2013,HERT,17,3
2013,HAN,18,3
2014,PAD,1,3
2014,M'G,2,3
2014,WOB,3,3
2014,AUG,4,3
2014,EINF,5,3
2014,HERT,6,3
2014,HAN,7,3
2014,MAI,8,3
2014,KOL,9,3
2014,LEVK,10,3
2014,BAY,11,3
2014,FRE,12,3
2014,HOF,13,3
2014,WERB,14,3
2014,DOR,15,3
2014,SCH,16,3
2014,STU,17,3
2014,HAM,18,3
2015,ING,1,3
2015,HERT,2,3
2015,DOR,3,3
2015,DAR,4,3
2015,HOF,5,3
2015,MAI,6,3
2015,WOB,7,3
2015,HAN,8,3
2015,STU,9,3
2015,HAM,10,3
2015,KOL,11,3
2015,EINF,12,3
2015,SCH,13,3
2015,LEVK,14,3
2015,AUG,15,3
2015,M'G,16,3
2015,WERB,17,3
2015,BAY,18,3
2016,KOL,1,3
2016,LEVK,2,3
2016,ING,3,3
2016,MAI,4,3
2016,DOR,5,3
2016,EINF,6,3
2016,RBL,7,3
2016,BAY,8,3
2016,HAM,9,3
2016,DAR,10,3
2016,FRE,11,3
2016,AUG,12,3
2016,WOB,13,3
2016,WERB,14,3
2016,HOF,15,3
2016,HERT,16,3
2016,M'G,17,3
2016,SCH,18,3
2017,HAM,1,3
2017,MAI,2,3
2017,HOF,3,3
2017,HERT,4,3
2017,KOL,5,3
2017,WOB,6,3
2017,BAY,7,3
2017,EINF,8,3
2017,STU,9,3
2017,LEVK,10,3
2017,HAN,11,3
2017,FRE,12,3
2017,RBL,13,3
2017,DOR,14,3
2017,WERB,15,3
2017,M'G,16,3
2017,AUG,17,3
2017,SCH,18,3
2018,HOF,1,3
2018,MAI,2,3
2018,FORD,3,3
2018,EINF,4,3
2018,AUG,5,3
2018,DOR,6,3
2018,WERB,7,3
2018,STU,8,3
2018,FRE,9,3
2018,BAY,10,3
2018,HAN,11,3
2018,SCH,12,3
2018,HERT,13,3
2018,NUR,14,3
2018,M'G,15,3
2018,RBL,16,3
2018,WOB,17,3
2018,LEVK,18,3
2019,BAY,1,3
2019,SCH,2,3
2019,WERB,3,3
2019,WOB,4,3
2019,DOR,5,3
2019,LEVK,6,3
2019,FORD,7,3
2019,HOF,8,3
2019,KOL,9,3
2019,M'G,10,3
2019,AUG,11,3
2019,PAD,12,3
2019,EINF,13,3
2019,MAI,14,3
2019,HERT,15,3
2019,RBL,16,3
2019,FRE,17,3
2019,UNI,18,3
2020,WERB,1,3
2020,WOB,2,3
2020,EINF,3,3
2020,M'G,4,3
2020,MAI,5,3
2020,STU,6,3
2020,KOL,7,3
2020,FRE,8,3
2020,LEVK,9,3
2020,HOF,10,3
2020,AUG,11,3
2020,HERT,12,3
2020,DOR,13,3
2020,RBL,14,3
2020,BIE,15,3
2020,BAY,16,3
2020,SCH,17,3
2020,UNI,18,3
2021,FRE,1,3
2021,AUG,2,3
2021,BAY,3,3
2021,MAI,4,3
2021,RBL,5,3
2021,BIE,6,3
2021,DOR,7,3
2021,LEVK,8,3
2021,BOC,9,3
2021,EINF,10,3
2021,WOB,11,3
2021,KOL,12,3
2021,HOF,13,3
2021,STU,14,3
2021,UNI,15,3
2021,M'G,16,3
2021,GREF,17,3
2021,HERT,18,3
2022,BOC,1,3
2022,KOL,2,3
2022,WERB,3,3
2022,FRE,4,3
2022,AUG,5,3
2022,LEVK,6,3
2022,HOF,7,3
2022,SCH,8,3
2022,MAI,9,3
2022,HERT,10,3
2022,UNI,11,3
2022,M'G,12,3
2022,WOB,13,3
2022,DOR,14,3
2022,BAY,15,3
2022,EINF,16,3
2022,RBL,17,3
2022,STU,18,3
2023,EINF,1,3
2023,AUG,2,3
2023,WOB,3,3
2023,WERB,4,3
2023,BOC,5,3
2023,BAY,6,3
2023,HEI,7,3
2023,DOR,8,3
2023,DAR,9,3
2023,UNI,10,3
2023,RBL,11,3
2023,HOF,12,3
2023,STU,13,3
2023,FRE,14,3
2023,M'G,15,3
2023,MAI,16,3
2023,KOL,17,3
2023,LEVK,18,3
2024,STU,1,3
2024,WERB,2,3
2024,HEI,3,3
2024,MAI,4,3
2024,HOLK,5,3
2024,UNI,6,3
2024,LEVK,7,3
2024,STP,8,3
2024,DOR,9,3
2024,RBL,10,3
2024,HOF,11,3
2024,M'G,12,3
2024,EINF,13,3
2024,BOC,14,3
2024,AUG,15,3
2024,WOB,16,3
2024,FRE,17,3
2024,BAY,18,3
2004,HAN,1,4
2004,BOC,2,4
2004,NUR,3,4
2004,MAI,4,4
2004,DOR,5,4
2004,HERT,6,4
2004,HAM,7,4
2004,LEVK,8,4
2004,KAI,9,4
2004,FRE,10,4
2004,STU,11,4
2004,BAY,12,4
2004,M'G,13,4
2004,BIE,14,4
2004,WERB,15,4
2004,HANR,16,4
2004,WOB,17,4
2004,SCH,18,4
2005,BAY,1,4
2005,KAI,2,4
2005,HAM,3,4
2005,NUR,4,4
2005,DOR,5,4
2005,DUI,6,4
2005,HERT,7,4
2005,LEVK,8,4
2005,EINF,9,4
2005,KOL,10,4
2005,WOB,11,4
2005,BIE,12,4
2005,SCH,13,4
2005,M'G,14,4
2005,MAI,15,4
2005,STU,16,4
2005,HAN,17,4
2005,WERB,18,4
2006,COT,1,4
2006,LEVK,2,4
2006,STU,3,4
2006,AAC,4,4
2006,BOC,5,4
2006,HAM,6,4
2006,EINF,7,4
2006,BAY,8,4
2006,SCH,9,4
2006,M'G,10,4
2006,MAI,11,4
2006,HERT,12,4
2006,NUR,13,4
2006,HAN,14,4
2006,WOB,15,4
2006,DOR,16,4
2006,WERB,17,4
2006,BIE,18,4
2007,LEVK,1,4
2007,STU,2,4
2007,HAM,3,4
2007,WERB,4,4
2007,COT,5,4
2007,EINF,6,4
2007,DUI,7,4
2007,SCH,8,4
2007,BOC,9,4
2007,BIE,10,4
2007,DOR,11,4
2007,KAR,12,4
2007,HAN,13,4
2007,HANR,14,4
2007,WOB,15,4
2007,HERT,16,4
2007,NUR,17,4
2007,BAY,18,4
2008,HERT,1,4
2008,KOL,2,4
2008,EINF,3,4
2008,BOC,4,4
2008,LEVK,5,4
2008,DOR,6,4
2008,SCH,7,4
2008,HAN,8,4
2008,KAR,9,4
2008,WOB,10,4
2008,COT,11,4
2008,WERB,12,4
2008,BAY,13,4
2008,HOF,14,4
2008,BIE,15,4
2008,STU,16,4
2008,M'G,17,4
2008,HAM,18,4
2009,NUR,1,4
2009,LEVK,2,4
2009,SCH,3,4
2009,KOL,4,4
2009,FRE,5,4
2009,HOF,6,4
2009,WERB,7,4
2009,HAM,8,4
2009,HAN,9,4
2009,MAI,10,4
2009,M'G,11,4
2009,EINF,12,4
2009,BAY,13,4
2009,BOC,14,4
2009,WOB,15,4
2009,STU,16,4
2009,DOR,17,4
2009,HERT,18,4
2010,HOF,1,4
2010,KOL,2,4
2010,HAM,3,4
2010,STP,4,4
2010,M'G,5,4
2010,FRE,6,4
2010,EINF,7,4
2010,STU,8,4
2010,WERB,9,4
2010,BAY,10,4
2010,LEVK,11,4
2010,SCH,12,4
2010,DOR,13,4
2010,HAN,14,4
2010,MAI,15,4
2010,NUR,16,4
2010,KAI,17,4
2010,WOB,18,4
2011,BAY,1,4
2011,WERB,2,4
2011,HOF,3,4
2011,HAN,4,4
2011,MAI,5,4
2011,DOR,6,4
2011,SCH,7,4
2011,KOL,8,4
2011,HERT,9,4
2011,HAM,10,4
2011,NUR,11,4
