season,team,actual_rank,simulated_rank_1,simulated_rank_2,simulated_rank_3,simulated_rank_4,simulated_rank_5,simulated_rank_6,simulated_rank_7,simulated_rank_8,simulated_rank_9,simulated_rank_10
2002,BOLN,17,12,9,10,19,19,3,13,2,8,15
2002,WHU,18,14,1,8,2,12,19,9,4,20,5
2002,WBA,19,20,16,3,11,20,14,17,10,4,4
2002,SUN,20,9,5,13,16,5,12,2,6,17,6
2005,CHE,1,1,12,15,4,6,8,7,3,8,15
2005,MANU,2,7,7,18,17,17,18,14,12,20,17
2005,LIVP,3,12,3,20,15,19,10,6,6,15,12
2005,ARS,4,5,20,4,2,1,17,17,20,5,5
2005,TOT,5,11,5,1,6,10,9,16,11,19,8
2005,BLBN,6,10,6,3,9,13,20,3,17,13,10
2005,NEW,7,17,9,6,19,12,11,13,4,18,6
2005,BOLN,8,3,19,8,8,8,15,9,1,7,18
2005,WHU,9,13,1,5,11,5,16,15,18,4,3
2005,WIG,10,9,10,16,10,4,4,2,19,14,13
2005,EVE,11,19,4,9,13,11,7,11,2,11,1
2005,FUL,12,15,16,19,7,14,1,12,15,10,7
2005,CHA,13,6,17,14,3,20,2,20,13,17,9
2005,MID,14,8,15,17,18,18,5,4,14,6,2
2005,MANC,15,18,13,10,20,7,3,19,9,3,11
2005,AVL,16,16,11,12,5,2,14,18,7,2,14
2005,POR,17,20,18,7,16,16,6,5,16,9,19
2005,BIR,18,4,14,13,12,15,13,8,10,16,20
2005,WBA,19,2,2,11,1,9,12,10,5,1,4
2005,SUN,20,14,8,2,14,3,19,1,8,12,16
2006,MANU,1,5,6,20,19,6,1,19,7,19,17
2006,CHE,2,16,14,12,12,9,19,9,14,3,20
2006,LIVP,3,7,19,11,14,18,4,5,8,7,8
2006,ARS,4,20,16,10,1,14,6,18,12,10,10
2006,TOT,5,11,12,2,17,5,12,13,18,15,13
2006,EVE,6,19,3,7,13,1,5,14,13,5,3
2006,BOLN,7,9,17,3,16,20,13,12,2,1,15
2006,REA,8,6,9,6,18,12,11,6,5,4,12
2006,POR,9,2,13,5,5,16,10,7,20,17,9
2006,BLBN,10,15,18,15,10,8,7,17,4,13,16
2006,AVL,11,4,1,16,7,10,20,10,16,11,1
2006,MID,12,3,15,18,9,3,3,15,11,8,6
2006,NEW,13,18,11,9,20,13,17,8,3,14,2
2006,MANC,14,12,5,1,3,15,14,2,17,12,4
2006,WHU,15,13,20,13,2,2,9,3,6,18,7
2006,FUL,16,1,4,4,6,19,18,16,10,16,11
2006,WIG,17,8,10,8,8,11,16,1,19,6,14
2006,SHU,18,14,2,19,11,17,2,11,1,9,18
2006,CHA,19,10,8,17,4,4,15,4,15,20,19
2006,WAT,20,17,7,14,15,7,8,20,9,2,5
2007,MANU,1,8,20,11,8,16,2,2,7,19,1
2007,CHE,2,1,11,2,11,1,11,1,9,5,9
2007,ARS,3,19,13,5,17,9,12,17,8,9,7
2007,LIVP,4,12,16,14,3,6,3,6,1,13,10
2007,EVE,5,2,17,8,15,20,1,10,12,4,14
2007,AVL,6,3,4,1,5,14,20,8,20,8,19
2007,BLBN,7,11,7,15,13,18,17,14,17,10,13
2007,POR,8,15,2,13,18,7,7,3,4,14,4
2007,MANC,9,13,6,7,16,11,10,7,11,11,2
2007,WHU,10,18,18,12,20,17,8,18,5,12,6
2007,TOT,11,10,15,3,19,10,9,9,2,3,16
2007,NEW,12,20,8,10,9,2,6,12,10,18,8
2007,MID,13,14,19,20,14,8,5,5,3,20,18
2007,WIG,14,4,12,18,1,13,14,19,18,16,12
2007,SUN,15,16,9,16,2,3,19,4,15,15,20
2007,BOLN,16,17,3,17,12,15,4,16,19,7,15
2007,FUL,17,5,1,4,4,19,13,15,6,1,17
2007,REA,18,9,10,19,10,12,18,20,14,2,11
2007,BIR,19,7,5,9,7,5,16,11,16,17,3
2007,DER,20,6,14,6,6,4,15,13,13,6,5
2008,MANU,1,5,17,5,7,14,20,20,15,19,6
2008,LIVP,2,1,8,2,16,1,12,11,9,7,2
2008,CHE,3,11,4,7,18,17,5,4,16,2,3
2008,ARS,4,19,15,3,17,8,19,9,1,11,18
2008,EVE,5,6,20,14,2,2,7,12,8,13,17
2008,AVL,6,4,19,16,1,15,13,17,14,20,1
2008,FUL,7,7,11,4,11,10,17,14,11,3,5
2008,TOT,8,2,1,15,19,19,1,8,18,8,7
2008,WHU,9,12,5,17,14,20,9,1,13,18,11
2008,MANC,10,3,9,9,6,5,10,10,2,9,10
2008,WIG,11,14,7,12,13,18,15,2,10,15,19
2008,STO,12,20,3,19,12,13,8,19,17,12,15
2008,BOLN,13,18,18,10,3,11,3,6,7,17,4
2008,POR,14,16,16,18,5,6,2,5,20,14,9
2008,BLBN,15,10,12,13,4,16,4,7,5,6,12
2008,SUN,16,8,2,6,8,4,6,15,6,5,8
2008,HUL,17,13,10,11,10,7,11,13,12,1,20
2008,NEW,18,17,14,8,9,12,18,3,3,16,16
2008,MID,19,9,6,1,20,3,16,16,4,4,13
2008,WBA,20,15,13,20,15,9,14,18,19,10,14
2009,CHE,1,4,4,2,8,13,17,20,17,1,3
2009,MANU,2,16,5,8,7,17,8,4,3,16,6
2009,ARS,3,10,15,16,16,20,14,19,7,17,10
2009,TOT,4,13,9,15,1,19,15,15,8,8,9
2009,MANC,5,19,13,20,9,12,4,5,19,12,15
2009,AVL,6,9,20,13,15,5,18,2,4,14,14
2009,LIVP,7,17,10,4,2,8,12,8,9,11,8
2009,EVE,8,11,2,6,20,18,1,12,15,3,16
2009,BIR,9,15,18,19,13,9,10,7,11,10,5
2009,BLBN,10,3,1,14,5,10,6,16,10,7,2
2009,STO,11,20,14,11,14,4,20,11,20,13,1
2009,FUL,12,18,6,9,12,14,5,14,12,18,13
2009,SUN,13,2,7,17,19,2,16,3,16,2,18
2009,BOLN,14,12,16,18,11,11,11,18,1,6,17
2009,WOLV,15,6,3,12,17,6,7,13,6,20,7
2009,WIG,16,7,17,3,18,16,3,1,2,4,11
2009,WHU,17,5,19,1,3,15,19,10,5,5,20
2009,BUR,18,14,11,7,10,3,9,6,14,15,4
2009,HUL,19,8,8,5,4,7,2,9,18,9,19
2009,POR,20,1,12,10,6,1,13,17,13,19,12
2010,MANU,1,13,12,19,11,19,10,19,4,18,11
2010,CHE,2,16,20,17,1,1,9,14,13,9,5
2010,MANC,3,9,3,6,4,18,3,1,18,6,13
2010,ARS,4,20,17,3,13,3,13,2,16,2,3
2010,TOT,5,5,13,13,15,9,2,4,19,13,19
2010,LIVP,6,2,4,5,2,12,5,17,10,12,6
2010,EVE,7,14,8,7,10,6,7,11,15,20,9
2010,FUL,8,12,7,10,12,17,14,15,9,3,17
2010,AVL,9,1,18,20,20,16,20,6,1,1,10
2010,SUN,10,11,14,18,18,5,17,3,11,4,20
2010,WBA,11,4,16,2,17,7,11,8,8,10,18
2010,NEW,12,8,10,14,7,20,16,9,6,15,8
2010,STO,13,15,11,11,5,11,6,12,12,17,7
2010,BOLN,14,19,9,4,9,4,4,20,17,14,4
2010,BLBN,15,6,2,9,3,10,19,5,5,7,2
2010,WIG,16,17,19,8,8,14,18,10,7,11,16
2010,WOLV,17,7,15,16,14,15,12,7,14,8,14
2010,BIR,18,3,5,12,16,13,8,13,2,5,1
2010,BLPL,19,18,1,15,6,8,1,16,3,16,12
2010,WHU,20,10,6,1,19,2,15,18,20,19,15
2011,MANC,1,11,7,13,7,6,4,10,2,18,17
2011,MANU,2,9,6,6,17,8,17,8,6,7,8
2011,ARS,3,18,18,7,16,15,6,11,1,3,1
2011,TOT,4,20,19,1,4,7,16,18,18,8,18
2011,NEW,5,1,8,3,8,1,11,5,10,15,11
2011,CHE,6,15,5,14,9,9,19,19,12,12,9
2011,EVE,7,10,4,2,6,20,5,16,20,10,20
2011,LIVP,8,14,17,5,12,13,14,6,16,9,19
2011,FUL,9,17,14,4,11,18,18,17,4,5,16
2011,WBA,10,8,11,11,10,16,1,9,15,16,15
2011,SWA,11,16,10,16,18,11,13,2,5,4,7
2011,NOR,12,3,13,8,13,4,7,13,3,1,10
2011,SUN,13,7,9,18,3,2,12,20,11,2,13
2011,STO,14,13,20,17,5,5,3,15,13,20,2
2011,WIG,15,5,3,20,1,17,10,4,8,6,14
2011,AVL,16,4,2,19,15,19,20,1,7,11,6
2011,QPR,17,6,12,9,19,3,15,14,17,13,5
2011,BOLN,18,2,15,15,2,10,9,7,14,19,4
2011,BLBN,19,12,16,12,20,12,8,3,9,17,3
2011,WOLV,20,19,1,10,14,14,2,12,19,14,12
2012,MANU,1,4,6,1,14,4,4,12,8,9,15
2012,MANC,2,17,11,7,13,8,19,9,1,16,8
2012,CHE,3,18,2,10,1,11,16,19,14,20,11
2012,ARS,4,19,20,20,4,9,15,8,9,4,2
2012,TOT,5,15,4,11,16,10,8,11,5,5,9
2012,EVE,6,7,5,13,17,13,20,17,17,8,19
2012,LIVP,7,3,19,19,6,14,7,1,19,6,18
2012,WBA,8,8,1,4,19,5,6,2,3,10,16
2012,SWA,9,6,3,15,8,7,11,20,20,19,1
2012,WHU,10,9,7,16,5,2,5,6,10,18,20
2012,NOR,11,2,9,2,12,15,3,7,16,13,13
2012,FUL,12,13,16,6,15,1,2,14,11,11,5
2012,STO,13,1,18,18,18,6,17,4,6,2,12
2012,SOU,14,5,10,12,20,19,1,16,2,12,14
2012,AVL,15,11,13,14,7,16,18,13,7,17,10
2012,NEW,16,10,14,8,11,18,10,10,15,1,6
2012,SUN,17,12,12,17,10,17,14,15,18,14,7
2012,WIG,18,14,8,5,9,12,9,18,4,3,17
2012,REA,19,16,17,9,2,20,13,3,13,7,4
2012,QPR,20,20,15,3,3,3,12,5,12,15,3
2013,MANC,1,12,3,9,14,18,16,4,12,1,20
2013,LIVP,2,10,9,17,11,12,3,2,3,20,18
2013,CHE,3,20,5,8,12,11,12,10,2,10,7
2013,ARS,4,6,14,11,2,15,10,9,15,2,13
2013,EVE,5,15,20,15,18,14,15,11,5,17,8
2013,TOT,6,17,4,2,8,16,17,17,7,19,19
2013,MANU,7,3,15,10,3,17,2,8,17,8,1
2013,SOU,8,18,18,16,6,9,18,13,13,4,12
2013,STO,9,5,11,18,9,1,8,18,9,9,10
2013,NEW,10,14,2,1,19,20,20,15,14,11,16
2013,CRY,11,16,12,7,7,10,13,20,11,14,15
2013,SWA,12,9,7,12,1,4,5,5,20,3,6
2013,WHU,13,19,16,5,13,2,1,19,8,5,11
2013,SUN,14,11,1,6,10,13,14,3,19,6,5
2013,AVL,15,1,13,19,17,5,4,6,16,16,14
2013,HUL,16,7,8,4,20,8,7,14,10,18,3
2013,WBA,17,4,19,3,5,7,19,7,1,15,4
2013,NOR,18,13,10,13,16,6,11,16,18,7,17
2013,FUL,19,8,6,14,4,3,6,12,4,12,9
2013,CARD,20,2,17,20,15,19,9,1,6,13,2
2014,CHE,1,2,8,9,5,7,2,8,13,20,15
2014,MANC,2,16,15,1,10,20,11,19,19,14,20
2014,ARS,3,4,17,10,12,3,19,4,6,19,16
2014,MANU,4,13,13,16,14,14,8,13,15,15,18
2014,TOT,5,20,18,15,18,2,4,6,8,7,5
2014,LIVP,6,14,3,8,1,8,18,20,5,1,14
2014,SOU,7,11,16,17,9,18,10,5,1,4,9
2014,SWA,8,10,4,13,3,11,16,9,2,18,8
2014,STO,9,8,20,14,8,17,13,16,9,12,19
2014,CRY,10,18,11,4,17,15,20,18,4,3,17
2014,EVE,11,15,19,5,6,6,17,2,7,9,11
2014,WHU,12,1,12,6,2,16,5,11,18,17,3
2014,WBA,13,19,2,7,7,5,6,15,11,8,2
2014,LEIC,14,6,6,2,16,10,9,10,12,5,1
2014,NEW,15,5,9,20,15,4,14,7,10,2,10
2014,SUN,16,3,1,3,19,19,12,12,14,11,4
2014,AVL,17,7,14,11,11,9,1,14,16,10,13
2014,HUL,18,17,7,19,20,12,3,3,17,6,6
2014,BUR,19,9,5,18,4,1,15,1,20,16,12
2014,QPR,20,12,10,12,13,13,7,17,3,13,7
2015,LEIC,1,6,10,13,20,9,17,15,16,20,15
2015,ARS,2,18,8,6,3,11,9,17,6,8,14
2015,TOT,3,9,4,8,1,5,19,12,10,6,12
2015,MANC,4,14,17,3,13,2,4,16,7,5,19
2015,MANU,5,1,7,9,14,17,18,13,15,16,18
2015,SOU,6,12,11,19,17,15,14,8,20,3,2
2015,WHU,7,10,19,5,6,3,8,20,4,17,11
2015,LIVP,8,2,16,4,11,18,13,18,14,19,13
2015,STO,9,11,1,7,8,1,11,2,3,14,8
2015,CHE,10,16,20,14,9,6,12,11,5,15,4
2015,EVE,11,20,18,11,15,16,3,1,18,7,5
2015,SWA,12,3,6,20,4,10,5,7,2,10,1
2015,WAT,13,8,2,12,2,7,6,9,1,4,7
2015,WBA,14,15,9,16,19,14,16,3,12,1,9
2015,CRY,15,5,14,17,18,12,15,19,17,11,17
2015,BOU,16,13,15,18,5,19,2,5,11,13,6
2015,SUN,17,19,5,10,12,8,20,4,19,18,16
2015,NEW,18,17,12,15,10,20,7,10,13,12,10
2015,NOR,19,7,13,1,16,13,1,14,8,9,3
2015,AVL,20,4,3,2,7,4,10,6,9,2,20
2016,CHE,1,11,7,17,3,4,9,17,19,19,19
2016,TOT,2,1,14,15,14,1,5,16,15,16,15
2016,MANC,3,18,12,13,6,15,4,15,12,9,11
2016,LIVP,4,7,15,6,17,11,11,12,14,17,16
2016,ARS,5,15,5,11,2,6,19,9,1,2,7
2016,MANU,6,19,16,2,10,19,12,1,6,14,3
2016,EVE,7,12,13,1,13,13,18,18,8,7,9
2016,SOU,8,10,6,16,20,2,13,10,16,10,12
2016,BOU,9,14,3,7,18,16,2,7,11,18,6
2016,WBA,10,9,9,19,8,12,14,19,3,11,4
2016,WHU,11,20,18,12,11,9,10,13,2,6,1
2016,LEIC,12,2,1,4,12,5,20,14,13,8,20
2016,STO,13,8,19,8,7,14,7,4,5,1,8
2016,CRY,14,16,11,14,16,20,15,5,20,15,14
2016,SWA,15,4,20,5,1,3,8,2,10,13,17
2016,BUR,16,13,2,10,5,17,6,11,7,4,10
2016,WAT,17,3,10,18,15,7,16,6,18,5,13
2016,HUL,18,5,17,9,9,8,3,8,17,20,5
2016,MID,19,6,8,3,19,18,17,3,4,12,2
2016,SUN,20,17,4,20,4,10,1,20,9,3,18
2017,MANC,1,16,16,20,9,10,1,13,11,17,10
2017,MANU,2,7,15,12,14,13,13,1,6,16,15
2017,TOT,3,8,2,2,11,9,20,15,16,20,20
2017,LIVP,4,6,10,19,17,11,4,3,5,19,14
2017,CHE,5,19,5,15,1,8,11,4,8,13,3
2017,ARS,6,5,4,4,15,3,18,7,2,10,9
2017,BUR,7,2,19,8,10,18,8,9,17,12,1
2017,EVE,8,11,14,11,3,20,7,19,12,6,18
2017,LEIC,9,9,9,18,13,14,15,20,9,7,7
2017,NEW,10,15,6,14,18,12,3,8,1,18,12
2017,CRY,11,13,13,17,4,17,9,10,14,14,2
2017,BOU,12,4,3,10,8,1,10,12,10,8,16
2017,WHU,13,14,12,5,19,16,17,5,19,3,6
2017,WAT,14,17,11,9,7,19,2,17,4,4,4
2017,BHA,15,12,8,13,20,7,14,6,7,15,19
2017,HUD,16,10,7,16,6,4,5,16,13,11,11
2017,SOU,17,18,1,3,16,5,19,2,20,9,17
2017,SWA,18,3,18,1,2,15,6,18,15,5,8
2017,STO,19,20,17,6,5,2,12,11,3,2,5
2017,WBA,20,1,20,7,12,6,16,14,18,1,13
2018,MANC,1,9,12,11,1,20,17,16,5,14,4
2018,LIVP,2,3,15,1,17,8,9,18,7,15,19
2018,CHE,3,1,11,4,12,19,14,13,9,16,16
2018,TOT,4,15,16,17,9,3,13,6,6,9,8
2018,ARS,5,6,7,2,6,4,4,19,8,19,12
2018,MANU,6,19,18,5,8,6,10,8,12,10,20
2018,WOLV,7,11,10,3,19,7,15,10,16,20,9
2018,EVE,8,17,14,7,4,14,1,1,19,1,15
2018,LEIC,9,10,19,14,2,16,20,15,14,8,7
2018,WHU,10,2,4,19,16,11,19,11,3,2,2
2018,WAT,11,12,5,18,15,9,7,7,13,13,1
2018,CRY,12,7,20,8,11,15,6,5,2,5,6
2018,NEW,13,13,6,9,14,2,18,2,20,3,10
2018,BOU,14,5,1,20,20,12,11,9,18,12,13
2018,BUR,15,20,3,10,3,5,5,4,15,17,3
2018,SOU,16,14,8,16,5,17,12,17,11,7,5
2018,BHA,17,16,9,12,13,10,8,3,17,11,17
2018,CARD,18,4,17,13,10,13,16,12,10,18,11
2018,FUL,19,18,13,6,7,18,2,20,4,6,18
2018,HUD,20,8,2,15,18,1,3,14,1,4,14
2019,LIVP,1,3,1,3,5,14,17,8,19,8,18
2019,MANC,2,4,18,20,2,19,20,18,13,13,9
2019,MANU,3,11,20,15,12,18,13,12,16,7,14
2019,CHE,4,9,15,11,14,15,7,17,11,15,1
2019,LEIC,5,15,8,18,13,1,16,13,9,9,20
2019,TOT,6,20,13,13,19,12,15,10,14,2,11
2019,WOLV,7,5,11,8,6,6,14,15,20,3,8
2019,ARS,8,1,2,19,7,16,12,16,1,6,15
2019,SHU,9,6,9,10,17,9,10,11,17,12,7
2019,BUR,10,17,12,9,10,8,8,3,3,5,12
2019,SOU,11,19,6,14,18,13,2,1,18,11,10
2019,EVE,12,18,4,2,20,10,4,6,6,10,19
2019,NEW,13,14,10,12,11,4,9,19,12,16,17
2019,CRY,14,12,19,7,4,11,3,20,5,18,6
2019,BHA,15,16,16,6,16,20,5,9,7,17,2
2019,WHU,16,10,14,1,15,2,6,14,2,1,13
2019,AVL,17,8,7,4,1,17,18,2,4,4,4
2019,BOU,18,7,17,17,3,7,19,4,10,20,16
2019,WAT,19,13,5,5,8,5,11,5,15,14,5
2019,NOR,20,2,3,16,9,3,1,7,8,19,3
2020,MANC,1,3,9,16,12,9,1,1,5,11,10
2020,MANU,2,6,17,5,19,13,9,8,1,8,11
2020,LIVP,3,15,13,1,5,8,11,2,12,14,16
2020,CHE,4,7,16,2,9,5,8,4,10,18,18
2020,LEIC,5,2,7,20,18,2,2,6,20,6,17
2020,WHU,6,12,5,15,3,20,16,12,19,12,12
2020,TOT,7,1,2,19,6,14,3,15,16,16,2
2020,ARS,8,4,14,7,10,16,17,3,4,7,8
2020,LEE,9,9,4,14,7,6,12,14,3,2,19
2020,EVE,10,19,3,18,14,18,18,19,14,3,20
2020,AVL,11,14,8,9,11,19,10,17,6,13,15
2020,NEW,12,17,6,4,15,4,15,18,2,19,4
2020,WOLV,13,8,1,12,1,3,19,13,15,5,5
2020,CRY,14,13,18,8,20,11,7,16,13,9,6
2020,SOU,15,20,19,13,16,7,4,20,7,1,1
2020,BHA,16,18,10,6,4,10,20,5,8,17,3
2020,BUR,17,16,15,17,17,15,5,9,17,4,7
2020,FUL,18,10,20,11,8,1,14,7,9,15,14
2020,WBA,19,5,12,3,2,12,6,10,18,20,9
2020,SHU,20,11,11,10,13,17,13,11,11,10,13
2021,MANC,1,17,1,20,3,7,15,6,4,20,16
2021,LIVP,2,6,17,6,1,1,7,11,16,13,8
2021,CHE,3,20,15,18,10,17,11,16,10,16,11
2021,TOT,4,18,20,8,2,2,18,19,9,12,12
2021,ARS,5,8,18,14,17,3,1,1,7,18,14
2021,MANU,6,1,13,19,7,20,6,12,1,7,19
2021,WHU,7,16,3,10,4,5,17,4,17,1,6
2021,LEIC,8,13,16,13,15,19,9,10,14,17,4
2021,BHA,9,19,19,3,19,15,4,18,5,2,5
2021,WOLV,10,3,5,9,9,18,16,15,19,3,7
2021,NEW,11,4,4,2,6,9,12,2,20,9,17
2021,CRY,12,7,2,11,13,11,5,13,2,8,9
2021,BRNT,13,5,12,5,8,16,8,14,18,19,18
2021,AVL,14,15,7,12,5,12,13,17,3,4,3
2021,SOU,15,2,14,7,18,8,2,7,6,15,13
2021,EVE,16,12,8,4,14,14,19,8,13,11,1
2021,LEE,17,9,11,16,20,10,3,9,15,6,2
2021,BUR,18,14,6,1,11,6,10,5,12,10,10
2021,WAT,19,11,9,17,12,13,20,20,8,14,20
2021,NOR,20,10,10,15,16,4,14,3,11,5,15
2022,MANC,1,1,10,19,19,13,13,7,11,14,5
2022,ARS,2,10,1,15,15,2,6,2,2,9,1
2022,MANU,3,15,9,18,17,18,16,13,6,8,16
2022,NEW,4,6,6,10,16,7,5,9,19,5,6
2022,LIVP,5,11,20,7,1,9,2,19,5,16,15
2022,BHA,6,19,12,14,10,16,3,16,18,15,14
2022,AVL,7,2,4,11,8,1,19,3,17,18,8
2022,TOT,8,3,18,1,5,19,7,5,7,3,9
2022,BRNT,9,5,3,4,3,14,15,17,12,10,18
2022,FUL,10,4,2,3,13,20,4,12,1,12,4
2022,CRY,11,9,16,16,7,5,11,1,4,17,20
2022,CHE,12,18,13,6,6,6,1,20,14,13,12
2022,WOLV,13,8,17,12,18,4,14,15,3,1,17
2022,WHU,14,12,19,2,4,8,9,11,13,6,11
2022,BOU,15,7,7,8,20,10,12,6,15,11,19
2022,NOTF,16,16,5,5,9,11,20,10,20,2,13
2022,EVE,17,20,15,13,12,17,10,8,9,7,7
2022,LEIC,18,13,8,20,14,15,18,14,8,20,10
2022,LEE,19,17,11,9,11,12,8,18,10,19,3
2022,SOU,20,14,14,17,2,3,17,4,16,4,2
2023,MANC,1,5,4,19,13,19,18,17,4,6,11
2023,ARS,2,11,15,20,3,14,11,12,18,9,15
2023,LIVP,3,10,20,15,19,4,3,9,17,2,1
2023,AVL,4,1,3,3,7,20,8,6,19,19,16
2023,TOT,5,2,13,7,8,9,1,16,6,11,6
2023,CHE,6,15,8,18,10,2,15,5,5,1,7
2023,NEW,7,17,6,16,4,11,10,10,11,18,9
2023,MANU,8,18,11,9,17,13,14,11,8,20,12
2023,WHU,9,8,10,13,18,17,19,2,20,13,14
2023,CRY,10,14,7,8,15,8,5,4,16,14,4
2023,BHA,11,19,5,6,14,12,20,14,2,12,13
2023,EVE,12,20,16,12,1,3,2,8,15,4,5
2023,BOU,13,3,2,2,16,6,13,1,14,15,2
2023,FUL,14,13,17,5,20,5,4,13,1,10,18
2023,WOLV,15,16,14,4,12,18,9,3,9,8,17
2023,BRNT,16,12,12,1,5,1,6,15,12,16,10
2023,NOTF,17,9,9,17,2,10,7,18,7,3,19
2023,LUT,18,7,1,14,6,7,16,20,10,5,3
2023,BUR,19,6,19,10,11,15,12,19,13,17,8
2023,SHU,20,4,18,11,9,16,17,7,3,7,20
2024,LIVP,1,8,14,6,14,12,3,6,13,16,5
2024,ARS,2,15,2,17,18,8,7,4,18,11,17
2024,MANC,3,12,13,19,11,14,6,14,8,5,8
2024,CHE,4,2,17,3,9,18,9,16,2,9,10
2024,NEW,5,14,8,13,5,4,15,2,3,4,20
2024,AVL,6,5,1,10,3,17,1,9,15,18,9
2024,NOTF,7,1,10,15,19,16,5,13,9,20,4
2024,BHA,8,18,4,5,13,19,12,8,20,15,1
2024,BOU,9,10,20,18,12,9,2,1,10,14,19
2024,BRNT,10,11,15,12,1,6,11,11,14,3,6
2024,FUL,11,7,7,11,8,5,4,15,16,19,3
2024,CRY,12,6,12,16,7,13,8,7,4,2,18
2024,EVE,13,20,11,2,4,3,16,20,12,17,13
2024,WHU,14,13,5,1,15,2,17,12,1,1,2
2024,MANU,15,3,9,4,16,7,10,10,11,7,7
2024,WOLV,16,19,19,9,2,20,13,18,5,6,14
2024,TOT,17,4,3,7,17,1,14,17,7,10,11
2024,LEIC,18,17,6,8,10,10,18,3,6,12,16
2024,IPS,19,16,16,20,20,11,20,19,19,13,15
2024,SOU,20,9,18,14,6,15,19,5,17,8,12
