season,team,points,wins,draws,losses,rank
2012,HOF,62,16,14,4,1
2012,DOR,57,15,12,7,2
2012,HAN,55,16,7,11,3
2012,WERB,54,14,12,8,4
2012,EINF,47,13,8,13,5
2012,FORD,46,11,13,10,6
2012,FRE,46,11,13,10,7
2012,WOB,46,10,16,8,8
2012,MAI,45,11,12,11,9
2012,HAM,43,11,10,13,10
2012,NUR,42,10,12,12,11
2012,M'G,41,9,14,11,12
2012,STU,41,11,8,15,13
2012,LEVK,40,9,13,12,14
2012,AUG,39,11,6,17,15
2012,BAY,37,8,13,13,16
2012,SCH,37,8,13,13,17
2012,GREF,36,8,12,14,18
2013,STU,57,17,6,11,1
2013,LEVK,53,13,14,7,2
2013,DOR,51,14,9,11,3
2013,AUG,48,12,12,10,4
2013,HOF,48,12,12,10,5
2013,BRA,47,13,8,13,6
2013,FRE,47,12,11,11,7
2013,HAN,47,13,8,13,8
2013,HERT,46,12,10,12,9
2013,BAY,45,12,9,13,10
2013,M'G,45,11,12,11,11
2013,SCH,45,12,9,13,12
2013,WERB,44,11,11,12,13
2013,WOB,44,12,8,14,14
2013,EINF,43,11,10,13,15
2013,HAM,40,10,10,14,16
2013,NUR,38,8,14,12,17
2013,MAI,37,8,13,13,18
2014,SCH,62,17,11,6,1
2014,HAM,61,16,13,5,2
2014,MAI,55,15,10,9,3
2014,STU,54,15,9,10,4
2014,BAY,53,16,5,13,5
2014,M'G,52,14,10,10,6
2014,HOF,50,13,11,10,7
2014,LEVK,49,14,7,13,8
2014,FRE,46,12,10,12,9
2014,HERT,42,11,9,14,10
2014,WOB,42,11,9,14,11
2014,DOR,41,11,8,15,12
2014,HAN,40,9,13,12,13
2014,WERB,40,9,13,12,14
2014,EINF,38,8,14,12,15
2014,KOL,36,9,9,16,16
2014,AUG,34,7,13,14,17
2014,PAD,32,8,8,18,18
2015,LEVK,66,18,12,4,1
2015,HAN,62,17,11,6,2
2015,WOB,56,14,14,6,3
2015,BAY,52,15,7,12,4
2015,WERB,52,15,7,12,5
2015,SCH,51,15,6,13,6
2015,HERT,48,13,9,12,7
2015,STU,48,10,18,6,8
2015,EINF,46,11,13,10,9
2015,AUG,43,12,7,15,10
2015,KOL,43,13,4,17,11
2015,MAI,42,9,15,10,12
2015,HOF,40,9,13,12,13
2015,ING,38,9,11,14,14
2015,DOR,36,7,15,12,15
2015,M'G,36,9,9,16,16
2015,HAM,34,8,10,16,17
2015,DAR,30,7,9,18,18
2016,EINF,53,14,11,9,1
2016,KOL,52,12,16,6,2
2016,LEVK,50,14,8,12,3
2016,WERB,50,12,14,8,4
2016,AUG,47,11,14,9,5
2016,BAY,47,11,14,9,6
2016,HAM,47,12,11,11,7
2016,RBL,47,10,17,7,8
2016,SCH,47,10,17,7,9
2016,DAR,45,12,9,13,10
2016,ING,45,11,12,11,11
2016,FRE,44,10,14,10,12
2016,DOR,43,10,13,11,13
2016,MAI,43,10,13,11,14
2016,HOF,42,9,15,10,15
2016,M'G,42,11,9,14,16
2016,WOB,31,5,16,13,17
2016,HERT,26,5,11,18,18
2017,AUG,61,18,7,9,1
2017,MAI,61,17,10,7,2
2017,HERT,54,14,12,8,3
2017,SCH,52,14,10,10,4
2017,WOB,52,14,10,10,5
2017,HAM,47,12,11,11,6
2017,RBL,47,11,14,9,7
2017,STU,47,11,14,9,8
2017,EINF,46,12,10,12,9
2017,HAN,46,12,10,12,10
2017,HOF,44,11,11,12,11
2017,KOL,44,9,17,8,12
2017,DOR,42,12,6,16,13
2017,BAY,41,10,11,13,14
2017,WERB,41,9,14,11,15
2017,M'G,36,8,12,14,16
2017,LEVK,33,8,9,17,17
2017,FRE,25,5,10,19,18
2018,RBL,64,18,10,6,1
2018,DOR,59,15,14,5,2
2018,SCH,56,15,11,8,3
2018,EINF,49,14,7,13,4
2018,FRE,48,12,12,10,5
2018,MAI,46,10,16,8,6
2018,HERT,45,11,12,11,7
2018,LEVK,45,12,9,13,8
2018,BAY,43,11,10,13,9
2018,HAN,43,9,16,9,10
2018,M'G,43,9,16,9,11
2018,FORD,42,10,12,12,12
2018,WOB,42,11,9,14,13
2018,NUR,41,9,14,11,14
2018,STU,41,11,8,15,15
2018,WERB,40,10,10,14,16
2018,AUG,34,8,10,16,17
2018,HOF,33,7,12,15,18
2019,RBL,57,16,9,9,1
2019,DOR,54,16,6,12,2
2019,FORD,53,15,8,11,3
2019,KOL,53,15,8,11,4
2019,M'G,52,14,10,10,5
2019,BAY,51,14,9,11,6
2019,FRE,51,15,6,13,7
2019,HOF,49,11,16,7,8
2019,WOB,49,12,13,9,9
2019,AUG,44,11,11,12,10
2019,LEVK,44,9,17,8,11
2019,UNI,43,13,4,17,12
2019,EINF,42,9,15,10,13
2019,PAD,41,9,14,11,14
2019,SCH,41,11,8,15,15
2019,HERT,35,8,11,15,16
2019,MAI,35,8,11,15,17
2019,WERB,30,6,12,16,18
2020,RBL,56,16,8,10,1
2020,LEVK,55,16,7,11,2
2020,EINF,54,14,12,8,3
2020,DOR,50,12,14,8,4
2020,AUG,49,12,13,9,5
2020,KOL,49,11,16,7,6
2020,BIE,48,12,12,10,7
2020,M'G,48,11,15,8,8
2020,STU,46,12,10,12,9
2020,BAY,45,10,15,9,10
2020,HOF,44,11,11,12,11
2020,UNI,43,10,13,11,12
2020,HERT,42,10,12,12,13
2020,SCH,42,9,15,10,14
2020,WOB,40,10,10,14,15
2020,MAI,35,8,11,15,16
2020,FRE,31,6,13,15,17
2020,WERB,30,5,15,14,18
2021,FRE,61,16,13,5,1
2021,STU,52,15,7,12,2
2021,BOC,50,14,8,12,3
2021,EINF,50,14,8,12,4
2021,WOB,50,12,14,8,5
2021,DOR,49,13,10,11,6
2021,UNI,49,11,16,7,7
2021,KOL,48,12,12,10,8
2021,M'G,47,11,14,9,9
2021,AUG,44,11,11,12,10
2021,HERT,44,11,11,12,11
2021,RBL,44,10,14,10,12
2021,BIE,42,10,12,12,13
2021,GREF,41,10,11,13,14
2021,BAY,38,9,11,14,15
2021,LEVK,37,9,10,15,16
2021,HOF,35,7,14,13,17
2021,MAI,34,8,10,16,18
2022,STU,58,17,7,10,1
2022,MAI,57,15,12,7,2
2022,DOR,53,15,8,11,3
2022,HERT,51,12,15,7,4
2022,SCH,50,13,11,10,5
2022,WERB,50,13,11,10,6
2022,AUG,49,13,10,11,7
2022,EINF,49,13,10,11,8
2022,HOF,48,13,9,12,9
2022,LEVK,46,13,7,14,10
2022,FRE,45,12,9,13,11
2022,RBL,45,10,15,9,12
2022,UNI,44,10,14,10,13
2022,BAY,42,10,12,12,14
2022,M'G,40,9,13,12,15
2022,KOL,35,10,5,19,16
2022,WOB,34,10,4,20,17
2022,BOC,32,8,8,18,18
2023,LEVK,59,15,14,5,1
2023,WOB,59,16,11,7,2
2023,DAR,55,14,13,7,3
2023,RBL,50,14,8,12,4
2023,DOR,49,13,10,11,5
2023,KOL,46,12,10,12,6
2023,WERB,46,10,16,8,7
2023,MAI,45,11,12,11,8
2023,EINF,43,9,16,9,9
2023,BOC,42,10,12,12,10
2023,HOF,41,11,8,15,11
2023,M'G,41,10,11,13,12
2023,STU,41,10,11,13,13
2023,HEI,39,9,12,13,14
2023,UNI,39,9,12,13,15
2023,AUG,38,7,17,10,16
2023,BAY,38,9,11,14,17
2023,FRE,38,8,14,12,18
2024,M'G,54,14,12,8,1
2024,WERB,51,14,9,11,2
2024,STU,50,14,8,12,3
2024,UNI,50,12,14,8,4
2024,EINF,49,13,10,11,5
2024,HOLK,49,14,7,13,6
2024,MAI,49,13,10,11,7
2024,BAY,48,13,9,12,8
2024,WOB,48,12,12,10,9
2024,STP,47,12,11,11,10
2024,DOR,44,11,11,12,11
2024,FRE,43,12,7,15,12
2024,HEI,43,8,19,7,13
2024,AUG,42,12,6,16,14
2024,BOC,42,9,15,10,15
2024,RBL,42,10,12,12,16
2024,HOF,38,10,8,16,17
2024,LEVK,34,8,10,16,18
